GDSP IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,0.053374887165209314,0.8364478294790714,0.6269906105875799,0.3564356144215152,0.06915986232950434,-0.7291714146373806,0.7207479334795015,-1.1473025324510904,0.5515183910268742,-0.03584010786514219,0.4349919626453205,0.8477903045676114,-0.6657584456184839,-0.6176907860514869,0.3778312847285929
2006-03-31,1.4937456982431914,0.7156622259846619,2.2919710641813507,0.2608801205857456,0.5194904779879007,-0.6223819660549827,-1.3942261039435124,-1.3337445451440295,0.835201402713681,0.5864631325734343,1.6956960570118056,2.3467682453750838,-0.7476571549093912,-0.7561592160944178,0.23571034663472343
2006-04-30,0.6456483469975229,1.5264503602225485,2.658957367292418,-0.31773879233511093,-0.3915255648044136,-0.7915560866844389,-0.3704026680322535,-1.193429718788669,1.1512196448730427,0.5617672137487019,1.698871365946955,4.738301651191785,-0.7971072132323981,-1.1669852876525786,-0.19874354127156804
2006-05-31,-1.5591952656009347,0.3798130024452175,-0.29316105789603,1.1029633803085677,0.6136750561333616,-0.752322488305811,-0.4074553371743415,-0.9718038009903975,-0.15347620755449962,-0.25046281001714954,-0.34709900954876916,-0.5001442033465235,-1.8508250587110833,-0.42784005001349573,-0.2010558293009191
2006-06-30,-1.473478439796771,-1.8094067804476026,-0.5655416885005607,0.5719129241954063,0.5728648721895949,-0.7101491853072982,-1.1369996786442063,-0.7717256297242743,-1.1394822958907391,-1.1325073397729963,-1.5282094611120347,-0.7329520061398392,-1.7034403033411112,-0.3427658694388608,-0.09707727692434495
2006-07-31,-0.8979444079361807,-2.8553475214054633,-0.7808979333419638,-1.2713425405287997,0.6186177101891371,-0.7305281158726096,-0.755336229556484,-0.6852490636700267,-1.6658190123563725,-1.6730897498283717,-1.969963610010355,-0.9074089075493266,-1.5873583563861446,-0.3070094299873696,0.26575072188710525
2006-08-31,0.7769228490006154,-1.0393150196967582,-0.4480857685178067,0.45024089918398535,0.8591050905000018,-0.6507501873872857,-0.3640671765392414,-0.8647140957218963,-0.8809542021869655,-1.1004046528937337,-1.0708196827824306,-0.6434110432824547,-1.3948285671856135,-0.3394832080165545,-0.06363077642314725
2006-09-30,-0.7467127816571344,-0.584508975833969,-0.7066170814320036,-0.016338077824102175,-0.06706456086196141,-0.6878242524713231,-0.49191429744078974,-0.6648900933795037,-1.4289059035082212,-1.668210986072989,-1.261177890257811,-0.6661305073982527,-1.3444860319908716,-0.31441151689731706,0.5208630316986905
2006-10-31,2.020930425132448,1.3575611116866952,0.879922130001904,0.862396114680339,1.3822054422811259,-0.40216246830563057,1.0257555916524994,-0.9267607022494575,0.914224633505673,0.1496816233191998,1.1560679066518085,0.19576378830007515,-1.0429594799529291,-0.3027076894228587,0.15010506433681958
2006-11-30,0.18912866820848165,0.9449593177387497,0.7914045044310885,0.8310502123190702,0.8625805314468221,-0.082836285553633,1.020215360723222,-0.8278485166778933,0.9614887096257221,0.2778110649676838,1.2538547798087376,0.27753021562892743,-1.0896390880970257,0.042630354613066114,-0.031587945150716584
