KJC IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2007-02-28,-2.8031103632793095,-2.961161950397776,-1.476233346512561,3.508480376432021,4.079497723653907,-1.06275055416661,-0.4735871486674433,2.774183020171626,-4.6750751469543745,-6.514305868111397,-3.2950811812264527,-1.4059183244504234,-1.8491859966079571,0.048279786035190855,-0.1558638581913583
2007-03-31,-1.5776230944841374,-4.134319172981359,-1.6398383314907583,-1.0055373839142991,2.041871437546891,-1.3291383735074678,-2.774394872860639,-1.9113901576013126,-4.2627148569522735,-5.323030357238927,-2.9639900548463474,-1.5046076129313486,-1.5795244557703476,0.42337625220408054,-0.04061144604069012
2007-04-30,-0.3837012985552936,-2.2282273345235666,-1.6368737416710653,0.38846314586634045,1.9185170688784277,-0.8603680606122109,-0.7395100100888831,-1.5545325033016224,-3.0926024795365117,-3.805659785961731,-2.1826738607738636,-1.458650047998754,-1.5451102493083861,0.520983943406361,-0.14639573953752577
2007-05-31,-1.3481256299753304,-1.5570310670293381,-1.5563615926165164,-0.5152207503207714,1.7438134115663038,-0.09474649417292695,0.39708549007073135,-1.1405145463224695,-2.5817115611765487,-3.292818971235762,-2.1013159923104032,-1.3837323372709387,-1.5277436583958115,0.2837491202642637,0.10954064714837151
2007-06-30,1.0773118210368489,-0.2996629238604855,-1.343086079895763,1.1508832992650775,1.4736921141440276,4.452700757549763,6.248033497468606,-1.2191257538663771,-1.7661121374523014,-2.004020726465238,-0.7777338067209244,-1.2700999034305136,-1.2882570935686197,-1.1977431150215851,-0.04681259865741215
2007-07-31,-0.3221250603536856,-0.2728871015652696,-1.3736106049265475,1.1484312693353909,1.0888795244091074,1.9017069101690656,2.9957534507670927,-1.040742655891463,-1.5126541988111786,-1.7501040319759875,-0.43873021176760707,-1.305571097921445,-1.313268322440067,-0.6182094617990778,-0.03864863075781611
2007-08-31,-0.19159964501732918,0.3084024030583065,-1.403725637729182,0.02866766792550738,0.14426875250808502,0.720947315233047,1.1565823601964003,-0.9074508041922642,-1.3050670612501445,-1.5249860592966744,-0.2654371081090054,-1.4747427937073367,-1.3355760543682498,0.513260672889467,0.027861039628818775
2007-09-30,0.4801953091991726,-0.022076586851190773,-1.4081468489805948,-1.1530811022435188,-0.2493512746482635,0.32101034727759264,-1.7292652949883065,-0.8864492680688476,-1.0568603366466047,-1.1973585508296636,0.13077555174364033,-1.5785862401105502,-1.2973782723619198,0.9764093443907277,-0.1461088672991473
2007-10-31,-1.2174243205898327,-0.483551859211316,-1.5679494784573513,0.023071820920981763,0.2503407912186887,1.4201779057758728,-0.03220049356656672,-0.613853431416963,-1.0628291515173498,-1.3112703783660964,-0.5103028882796854,-1.5823087413496777,-1.5476442982587482,-0.6664223000044949,0.09035306765153302
2007-11-30,1.1417240005165639,0.2332450160559325,-1.3447870328009721,0.8884932230074228,0.10942243585080012,3.4062443094912123,2.601020681088695,-0.7284231598354131,-0.7715996071848819,-0.8971782524939792,0.16013537417485382,-1.3847422786810761,-1.2545646842712597,-3.432933297120288,0.2738250377903547
