NMDC IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-04-30,1.2572971422985186,1.3974101675713027,2.037451803015223,-0.424271972499576,-1.1051050499284534,1.1981087669028265,0.4403146491560026,1.8012189638630878,1.196056603434881,2.032273884503722,1.8833210884446836,4.199260089212931,-0.6490246952385753,2.2795583334739047,0.06210336515428837
2006-05-31,-0.11153461955872213,0.8820352565171652,2.488524193476171,-0.15999036835060473,-0.8768977303516559,1.839284821607834,1.2097228916070024,1.8711417182550556,1.0691304879100272,1.443085077979933,1.0246735900142583,2.922480046818542,-0.6408067894785926,3.8490584498316065,-0.029617910009799988
2006-06-30,-0.5229913439639842,0.38944925615827847,2.0087549297602934,0.13887129654061078,-0.5749971531100712,3.2589703533547363,1.2614192161359117,1.686518243994722,0.6491216022780513,0.9972941121395887,0.1306766010096616,1.6181602446548784,-0.5833186370282901,5.855583996310601,-0.038794624337753145
2006-07-31,-0.754570732883321,-0.9121387898217044,1.090391668227848,-0.8245328066766674,-0.41298318116111243,-0.26722802119466516,-0.2610300651874384,2.0863780926203224,0.22791474234367998,0.4143013775159508,-0.5980226681027815,0.7136085263018418,-0.5478335472459545,-0.4381428296122078,-0.2193926832309151
2006-08-31,-1.7812307508623746,-1.7351330230487534,0.01985328316191789,-0.4157716403346794,0.020582497483414827,-0.6794537378683108,-0.9820937197898708,2.0076550042240404,-0.75145872907181,-0.7320380422032979,-1.5562004099426934,-0.3197141035935537,-0.5380803408514538,-0.5884411872208694,-0.025444126433267406
2006-09-30,-0.6715988750619571,-1.6492957526622127,-0.19821132731886953,-0.3526428410233786,0.07913186911106278,-0.7392178989733442,-1.9423117995744554,2.0197481710519387,-0.9275263984279769,-1.1855721076374384,-1.6459137667911583,-0.4469230764928742,-0.48618702254723095,-0.5667926202340634,-0.004050638449845419
2006-10-31,-0.4747567682867284,-1.406008051834201,0.08229916965408843,-0.12659966296012104,-0.9280419369742808,-0.5875726771779406,-0.6061489857233965,1.979153356194734,-0.9484194381855926,-1.3758304477895953,-1.3819110712674352,0.8953886322597255,-0.40394476982884686,-0.5465989165443826,-0.03985003340669659
2006-11-30,-0.6537797496669037,-0.8008218748644763,-0.5599407505024487,-1.9239296907728844,-1.1151432502509162,-0.5609409251523918,-0.16307951978644095,1.954735481235704,-1.0815437219691046,-1.6675496318902285,-1.198480547551844,0.33017438285898093,-0.4767751413115045,-0.34656719006425024,-0.05535868021114779
2006-12-31,-0.7145552976707497,-0.8162143973452147,-0.9212115793983086,-1.5599799437120245,-1.266589138796679,-0.5839417494882974,-0.33664991485592993,1.9819052787311826,-1.2289797563444773,-1.972751535013965,-1.0673915572847978,-0.21163980917850864,-0.48079543836246447,-0.25628304994986406,0.10127853498491997
2007-01-31,0.3354697094504459,-0.45836795534808666,-1.2433738472716909,-0.4392780155519588,-0.7573696943402424,-0.3425435556869135,0.16891298671105648,1.8953970552229948,-0.7555921550238524,-1.4257462569366972,-0.49961737253293764,-0.9489155136111627,-0.502536959346171,-0.10700084882913564,-0.016268787896684588
