FCT IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2014-03-31,-0.1759294541366048,-0.03114257825211523,1.0568189181810559,-0.7257820440674276,-1.1346484758209898,0.23320801968882318,-0.13526660091146328,0.7800665822003477,-0.3037709488871399,0.6946867624115997,0.37118965583132096,0.5136731065107414,1.0296640101021914,-0.1834143274601183,-0.004854378464798088
2014-04-30,0.1317420886834368,0.6286059972687243,0.7936888592326157,-1.197830029022128,-1.1599050720290922,-0.14924014240998695,-0.7055349848649953,0.7141148810715074,-0.12669853698194922,0.7393767812076983,0.23315789003341844,0.19800410872289392,0.7603649829711343,-0.03141583113478489,0.4143468782429448
2014-05-31,5.233974131304719,4.0017625465016105,4.153558802618579,4.511765456166126,2.412935053689411,3.642036377562367,2.019877527948032,0.6143558870579413,0.10507217469855318,6.9076814498741355,5.621128739026043,2.6291155072346695,4.573717301748231,5.748660976087612,0.22891464780613172
2014-06-30,1.9019248199723637,5.061395968069338,6.090001108372501,2.3752392766077963,2.877369347800699,2.654626509507485,2.906649292615546,0.49292029922710184,0.3309610256466795,5.05982563759102,4.937151369188905,3.775138590727863,6.473373904362834,8.546281689719867,-0.12806590261196749
2014-07-31,-1.124454977605485,2.7212534992896105,3.4097590754210336,3.2212020029325994,3.30862917354548,0.7106985294470141,1.889440628912458,0.3685683720476696,0.5693738029617884,2.544866821458329,1.4606297358486346,2.5764141395200446,3.481787133453008,1.1741565610648117,-0.08965758123290306
2014-08-31,-0.7739973117430459,-0.08510790431491383,1.466729832096463,1.3784043351094448,2.965582994560414,-0.48896164955138716,-1.3964714503795308,0.24574867936425443,0.7910182719237767,1.7070293433047767,0.28965939875073443,1.3204646984206754,1.4783554708089572,-0.6205970634973902,-0.037251270631126036
2014-09-30,-0.3458142530614912,-1.3569733024487327,1.4845562837954172,-0.9854879243295832,2.435928260955684,-0.3531047588951515,-1.6595889517795879,0.12239167909138059,0.9974881515632749,1.3876645921583504,-0.3125219784513906,1.3100784923809614,1.4963592170047344,-0.5052807254076056,-0.020000666706669543
2014-10-31,-0.15812309106940772,-0.7537482757098276,1.3562003051650398,-1.0652408755440692,2.1066114883836593,-0.5234501641258671,-1.4671094894031165,-0.057959232629834365,1.3428654076447875,1.1854307244153304,-0.6814819111607554,1.2086508614862002,1.3682013274663753,-0.7209604951403665,0.1727359181305972
2014-11-30,1.3466699061807392,0.47052876864570864,1.6307417519078842,0.16341108116263764,0.5745169114414951,0.20129500923373914,0.9945679972133001,-0.2484641735719707,1.5867882536691096,1.6148068143413494,0.25545101974116324,1.8796446763198198,1.646178548063356,0.027190779116295853,-0.033120377922451975
2014-12-31,-0.3348413229278531,0.4750459865445227,1.293364845872216,0.14734657199988024,-0.2532470008852767,-0.42265701662074806,0.017528939130444753,-0.4811286557354611,1.7795135425337016,1.2934073589947215,0.18586138415180603,2.071068112869214,1.3008173613145706,-0.6265679564008908,-0.06346540265012009
2015-01-31,-0.5419166803108234,0.24689397102860383,1.2180751726442265,0.3108967180849062,-0.4660630255671405,-0.55713793018853,0.17220993544294022,-0.871325316619641,1.9816305522279531,0.9700898418355595,-0.13935369590808835,2.1059484744387467,1.2153650407779797,-0.7657769130587456,-0.009404458027978294
2024-03-31,-0.7713434529009895,-1.2316397081066914,0.3619935840624766,-0.6736420929064546,-0.4761024627828662,-1.312329776889405,-1.1785238504498665,-1.1183039747771353,-0.9570074125117282,-1.199339022167465,-1.1769328877816603,0.5842941370631776,-0.7234565245612301,-1.5939211816511107,0.13010167839516873
