CANF IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,-0.14037667401679352,0.2808248225319197,-0.6789600991624751,-0.9391977724419386,-1.113056456513975,0.537344317078381,1.333898433098437,-0.19050029597439988,0.6148398572607756,0.27378695688021,0.10219771961776974,-0.5218503357934671,-0.6496717719552623,-0.13654321331288877,-0.047628048989254705
2006-03-31,-0.5916573359729612,-0.0145306301466625,-0.18263469077345282,-0.57946222625027,-1.0961437715169229,-1.0414380617771297,-0.7275592288772993,11.793389055295679,-1.5573061114472504,-0.4575154843391021,-0.2520087179514857,0.05889084837648664,2.4722386085374977,-0.5784059591551298,0.05500038359157833
2006-04-30,0.49016804860919555,-0.16391924326408014,-0.32033694973998744,-0.6500310660951436,-1.5790246187318846,-0.894272073899853,-0.8332597044235104,3.0780142316902253,-0.7606918333897782,-0.02854876357776034,0.1468841530042074,0.08457974751085673,1.205104034484171,-0.4769541519506736,0.09311374097066624
2006-05-31,0.9064500222947905,0.5540444562745328,0.5876304377447409,-0.24919630888262362,-1.1493909707189751,1.2801410300119482,0.11847134461130727,1.917428894718128,0.4024429504375314,1.2110055126905117,0.8592237433110365,0.9874791594535948,4.3711273725723885,1.2167493809882803,-0.21694863038254153
2006-06-30,-2.4641783067492335,-0.699183161357954,-0.8141226788184357,1.5705510609252022,0.6096362421716456,-0.8867857810379265,0.014991085580225006,1.852608564361337,-2.186501386361529,-1.7808009098382667,-1.3267674986131046,-0.6909006355093608,-0.8341634779835319,-0.44402878936807083,0.045277611693852825
2006-07-31,0.33453444717796404,-0.8238539570236685,-0.6132019752800255,1.4351328273762842,0.5267249276784456,-1.272482080399686,-1.43643334897477,1.369763923612725,-1.599303967051304,-1.2621156291641533,-0.8258208223955232,-0.5756047837206603,-0.09266688056941204,-0.545001361441808,0.0785572777180224
2006-08-31,0.6604435010242617,-1.0383057163585403,-0.679383474199378,1.2372942108200726,0.6648299359316256,-1.1299817085542583,-2.565019323516596,1.0143550859237291,-0.7647576257473978,-0.1509053062378554,-0.046908633996171144,-0.6242363997740756,-0.15349054659459987,-0.5132530218732934,0.0217963999883331
2006-09-30,0.05341775355088213,0.844426688620065,-0.9677024077636656,-1.0790641481173233,0.5586095240697516,-0.8237443860398073,-0.5236341827740099,0.8370076472034519,-0.6088543862408076,0.12131080435117073,0.0006546969453757279,-0.7793685958190004,-0.9285163463072775,-0.415702951731647,0.06363976008329893
2006-10-31,0.47646905012121576,0.9469465146644399,0.40700307764071153,-1.053375706772652,0.5456077890542619,-0.7258446417270075,0.6806008534152534,0.6387472737393457,0.14708951239038068,1.6200783578065119,0.5500507918359065,-0.047365711005164644,3.010949696411692,-0.6949738593746978,0.07513964458609122
2006-11-30,0.5640456965641767,0.8591107351255465,0.7668659755846426,-1.0706841568287415,0.44122340324274983,-0.7161787971615952,0.4607808549853204,0.46399412541570073,1.1150179600023995,3.064583004283892,1.2963951826620816,0.15294623693604728,3.167736172637949,-0.7806354535354894,0.09295140039516253
