KKB IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2008-04-30,1.4260704798481467,-0.6552891003349719,-0.6901383036154003,2.0983072607414583,2.610450958848438,2.291049864814516,0.9610611026398157,0.5111064691862018,-1.4393127546425108,-2.083103231273062,-1.3153761454841453,-0.639296481752085,-1.1003234521526701,-0.13401174106229677,-0.20550438007194777
2008-05-31,-1.1395788204487485,-1.5410367797491715,-1.0405823971357298,1.8566592949411451,2.107367842045434,-1.1172502337860062,-1.2818660648068065,0.7867098219774554,-1.4818702614006762,-2.538667329141105,-1.823978648063204,-0.9304935538896011,-2.6142391218250944,1.2798554618312186,-0.17352955976490367
2008-06-30,-0.9212739173751853,-0.42608301761677575,-1.434339594111268,0.9246141935418267,1.4815655415559283,-1.0838540183930874,-2.1673103953603587,0.9348241854599896,-1.351103649139103,-2.39235534888715,-1.5855018623870154,-1.1280162780763168,-4.121076431220782,2.1994305238913774,-0.11036820267792866
2008-07-31,-0.5127177677230714,-1.7578673110379943,-1.6498297051663968,-0.848275808486474,0.9142738070596427,-0.9719756210934026,-2.3831279735284405,0.8775304865524871,-1.1397021966628906,-2.013574547217436,-1.457848181565686,-1.2267417440000432,-3.8682593627500603,2.07081686312801,-0.18437006798169361
2008-08-31,-0.9384829793352694,-1.5693151424939167,-1.7851291333743138,-0.9096029511012534,0.7733907679024083,-1.452722616377238,-1.2855996893749735,0.9918733082059235,-1.0082406644479065,-1.821358470588214,-1.495974769107236,-1.264602348062888,-4.126226970585224,3.093214511811765,-0.16547988410076067
2008-09-30,-0.7588072372625988,-1.4075494202572774,-1.8949084827792901,-0.8988086139838675,0.20750425657635543,0.22863085437048716,1.1314616751538618,0.998194621931014,-0.869109265868466,-1.5942104766646685,-1.6634051975847628,-1.502986041812087,-4.067464018035846,-0.11813055185825036,0.016724744297100275
2008-10-31,0.39664237723046186,-0.8048448009439184,-1.6269073158430314,-0.20426761960412143,-0.7392005182998549,0.2449084031892718,1.2599535091223142,0.5443491265332401,-0.6340591577939361,-1.206410903913817,-0.8754107473837452,-2.2481347360176,-2.66534972471622,-0.2638345194049019,-0.5050706480157048
2008-11-30,-2.7416342866193513,-1.949325970263344,-1.9034244329786445,1.2522305031487848,0.40666431391554597,-1.3587149144563417,-0.6822471740671695,1.4486983812572243,-0.7069842935443884,-1.4297548361849122,-1.9644561928991249,-1.1829768133617036,-4.950854341137647,3.3083216672855644,0.13775080816723081
2008-12-31,1.1140753833479717,-0.6493893227603399,-1.7613643937861518,1.8804303398012514,0.9374959290565316,-0.2835477915842732,-0.6908592759526379,0.4290388750206285,-0.4396730920809779,-0.950217539836883,-0.8687834372790243,-0.869622619660412,-2.849831820050403,0.6954456248801065,-0.24386107068074775
2009-01-31,-0.9240468284331501,-1.5335817672453778,-1.5387756667715635,1.5113737130641172,0.9112615948935198,-0.4042657506339828,-1.0230030956959222,0.7169828501126685,-0.35004937198331443,-0.9239405180011027,-1.1002158079113513,-0.8191164306027826,-3.020713329554706,0.8350959164767177,0.1590482320713067
2009-02-28,1.1781325818615804,0.9134851697706556,-1.3229479404199451,0.5267599240652933,1.2773529220526798,1.5161377268856726,4.110650942225652,-0.19216883445906727,-0.03167327649524345,-0.565519797172245,0.009684512785573845,-0.5606844127944334,-1.9069176810414057,-2.2890628224022325,-0.03034207464067288
2009-03-31,0.17791559959633715,0.3046378983094563,-0.9536466827813044,0.24263664436345903,1.1671604281631647,0.15751820432162633,0.330571633305715,-3.5205444606771805,0.23201755153973327,-0.4275320472861919,0.28141399053639254,-0.3595466401831482,0.5006726981622073,-0.16617435920898863,0.2822292406233748
2009-04-30,1.7209559584544216,2.1048862105043233,-0.8170130923132773,-0.2235327021461448,1.6278217656473435,2.645490681186234,2.070331695764609,-3.08950751630363,0.6703997717904472,-0.04106216364919784,2.07568604987224,-0.18733323306152116,0.5660630830318826,-3.394454229802043,0.5625485742238112
2009-05-31,2.8624751185445874,3.130309005225779,0.24738872263287776,1.0661197815017895,1.224602872002154,1.2305855985313974,0.0665218852625667,-2.637741280922224,1.4895374981861431,0.5893459495203749,4.469360634852436,0.24312756429698532,0.6804473306725489,-0.5704071101546442,0.024231456710998526
2009-06-30,0.2177554791067555,2.6866525696005854,0.6752359949334176,0.7179129406401722,1.2099284526439202,-0.44019203710552346,-0.3447090026190682,-2.2031946253356915,1.519302568978385,0.6955684287776549,2.4242497732925745,0.4451753332383642,0.699403014936191,-0.005552251264865858,0.053834743721236596
2009-07-31,0.36833932687868615,1.7709135439849524,1.1402289930347143,0.982445576764144,0.2710662675209274,-0.9321198723066568,-2.732446626026086,-1.902464742046892,1.6329676062033829,0.8405390554934351,1.5922152991754512,0.7451196864411982,0.7267305575013124,-0.2515393909766938,-0.00919456379283854
2009-08-31,0.10345234293968197,0.37688731569286743,1.712480033317777,-1.7270510342104282,0.4030564994452397,-0.9896858702427606,-2.3768888086877147,-1.6766606900823475,1.618230288366628,0.9201437596777431,0.9341910170177924,1.129432547038445,0.7598624184669878,-0.6665504959811541,0.09339564365603624
