SF IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,-0.06722310267166588,-1.0990884715087024,-0.5295152643491697,-1.5009130185974138,-0.8863954955576824,0.12603732098123932,0.6314891210464605,-0.6150204576517823,0.11794631336022239,-0.1370834364214702,-0.5928677953474728,-0.2957341341984317,-0.5984228518725109,0.08946431576400517,0.09471968672546063
2006-03-31,0.8343833812128097,0.1094858561092608,-0.014613426759084029,-0.5004429127700192,-0.7478272594850629,-0.8785660281279554,-0.4541359483489046,-4.297653175054182,-0.5532568619282004,0.9803471524547088,0.4076425617960085,0.6160129142532393,-0.4254000525261349,-0.5393908039273462,-0.049026459066561834
2006-04-30,-0.8663963750124403,-0.09384892107412121,-0.3478684905202837,-0.3642658895621509,-0.5468344629182188,0.00030871606350081165,0.9326701372795486,-2.073480706170267,-1.5225058315072897,0.08991371533923428,-0.671697566587666,-0.2013381368033604,-0.5977822572537573,0.01395997371078446,-0.06762018767497927
2006-05-31,-1.0091540408870632,-1.0560965387179135,-1.1374515381074333,0.018556309809108454,-1.0890955403341598,-1.419785021374043,-1.4193113439912963,-0.973394714779966,-2.6670605693729716,-1.4152550444822793,-1.4580699957222523,-1.1422774423941962,-1.0925402167483373,-0.4724154295731308,-0.24518883485422327
2006-06-30,-2.9870957795756894,-4.953276768252188,-1.861070098144874,0.41128360975418365,0.7080975248040106,-1.5139436636015575,-1.104314890375804,1.8393172307053118,-5.305293494415691,-5.44601769940695,-4.070749744668031,-2.2744945769307248,-1.6265755309177503,-0.08194185109595373,-0.08715017912740562
2006-07-31,-0.9196800810214132,-3.6448108953436176,-2.216967146875198,0.15482306315905134,0.7065993007712381,-1.303426681045419,-1.6317151988243934,3.0100733450853348,-3.9553584430044,-4.838103878876748,-3.3576315986064036,-2.5212922022724467,-2.065954543149682,0.024536706869329867,0.21365951927820837
2006-08-31,1.9909826974696772,-1.0461305284036044,-1.798085671784987,2.938838141730031,2.133001711778248,2.017115573129175,1.7704984002824407,0.18007609572969502,-1.6457331519454155,-1.4695648263087842,-0.8123979452000678,-1.8827667661531153,-1.6685749566981205,-0.9236034532759977,0.03235576363944118
2006-09-30,0.2627119919737588,0.8916949322054009,-1.4823663387487498,1.1435963215356253,1.801530603326632,-0.5437960142751868,0.4509127484735511,-0.0452150450885318,-1.2600656653525835,-1.131877308703081,-0.053066814256741125,-1.5101192373141408,-1.4153621554202234,-0.23402963078632302,0.11987122210307848
2006-10-31,1.1508830527781233,2.2478525574171773,-0.765823622789279,0.028714821829371635,2.0943058576913773,-0.4566323867213462,0.6577552812811173,-0.895886113662702,-0.3962490313345968,-0.09061526268301552,1.3807681766060136,-1.04724899396741,-0.8588899834338666,-0.26359654135808114,0.08898845423199479
2006-11-30,0.754083604951691,1.3037203600464482,-0.9421213553019093,-0.9334183579407187,1.975586555272986,-0.3993413112035026,-1.9761990456385548,-1.217033895838736,0.23300854472289162,0.5613571591585113,2.066067181542644,-1.1014584902379776,-0.9886137814490858,-0.17519574732770135,0.056838665459621
