GUJGA IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2019-08-31,0.30578108081602207,-0.3449591921017766,0.2033912747330177,-0.6741958476538775,0.6431300785216103,-0.20967282444247765,-0.36779048711108897,-0.12074157438874245,-0.03976088543967094,0.47874142396672636,0.3829849604292358,-0.10695803435969038,0.6054107793323444,0.21417663388391825,-0.004782678971682822
2019-09-30,-0.11396651965576098,0.07576762024058635,1.0862966055404024,-1.3766807336381628,-0.4934040579900684,-0.4105682463891494,-0.119087567065087,-0.2180222325323485,0.033690995876468684,0.45466421479977986,0.04155169874093221,0.8148671977748552,1.8422314343434691,-0.5077625099951426,0.10103645957539932
2019-10-31,1.097959991737786,0.7902232176396966,1.6258571596296423,-0.6090261533782529,-0.3313236953725909,0.3838633293160199,0.14832647275031635,-0.7792956994490415,0.7351415417396366,1.1087544640724478,0.7121396999442041,1.2005546824675777,2.1893795278634838,1.6092341358799909,0.08053279325228595
2019-11-30,0.8562648016347894,1.1473112573818594,1.9448229130592327,-0.584951484946669,-0.9474629316607881,1.2250824585476727,0.7091628614027948,-1.2945190446765917,1.5045176184885236,1.4919816379068762,1.3306180815392274,1.9775094493300522,2.1669403585920746,4.676874974775175,0.11096566172508289
2019-12-31,1.1268609273063916,1.902013969340849,2.317229486764364,-1.5041337984513905,-1.3807922750062231,1.0777738646140933,0.8333241967082097,-1.936201938892281,2.3714694511548533,1.762618349527951,1.8542217309563356,3.0816133332506785,2.1217208265807166,3.6531796429724386,0.19362347701142615
2020-01-31,1.9258650220934168,2.2851526538286198,3.7586997128067527,-0.44048861638445,-0.6732646501172389,2.067615264019622,0.7828170017866207,-2.7064318802287297,3.103715170472413,2.0157141216716474,2.7635342221958656,3.446218974986099,2.701332773884668,9.407526184147512,-0.04323848570824776
2020-02-29,-0.6606179651588926,1.2603714876648815,3.0954079433127095,0.9097223822609624,-0.03755409213918918,0.10370367698680653,-0.11129164484654316,-2.36877613326706,2.093895230501573,1.3788512476244208,1.1824278666427852,2.2978872594430886,2.5507819238479166,0.5974982418194265,-0.1789949699831109
2020-03-31,-1.9695790544219902,-0.48085120273648607,0.8687675631088165,2.3896424211317133,1.9055302654144028,0.517197798394892,-0.042068035822229274,2.6270623306848147,-0.4181515244700147,0.6221417719765728,-0.626692051342927,0.23505490571385665,3.3157191779656765,0.45181483871345884,0.11505991274653983
2020-04-30,0.9407778419150139,-0.9188947160610017,0.9635019282420415,1.201309103350089,1.7777065469649476,-0.4085830070511531,-0.9554363906837926,1.1323899240981214,0.002617674535328912,0.8557816006908873,-0.09129182521062795,0.29334538333282867,2.634045752330292,-0.43476005414217683,-0.07390009355407504
2020-05-31,-0.8202518037193741,-1.035553787043608,0.21255667272483134,1.140516998912444,1.9347577861580456,-1.2051602927295892,-0.8906070442511965,0.9415558689229223,-0.1782779444908635,0.5381902740658757,-0.7646656063220943,-0.129966445228391,0.9626968979955475,-0.7289789386175708,0.2799092692920531
2020-06-30,2.402998438160395,1.5112985684696902,1.3474142155233293,1.6167726610694488,3.2850117369741683,1.0075899114281854,0.11824941800377473,-0.07987157526761468,0.830308981031606,1.1201601435627635,1.0327961521449032,0.3004515152570717,2.3853397980247344,1.2020947976070517,-0.09554587136372993
2020-07-31,-1.1028514851733562,0.2568640798860402,0.8840938410196155,2.142743783915334,2.3237016028173523,-0.13915356301366105,0.11759183674998026,0.12523242862448966,0.3902045638377853,0.664816888644093,0.1473110328601287,0.1440045843909722,1.7420384891404153,-0.18027713676937832,0.11791747394461023
2020-08-31,0.781357268615957,1.2499940551182767,1.1243079820981206,1.5078366195044295,2.149948282400989,-0.1654158961525782,0.9291742208242609,-0.2472375481993652,0.7950218871337924,0.767795450469683,0.8526669459011288,0.24309003477244756,1.7445930078925855,-0.13992489116785634,-0.05381119832922191
2020-09-30,-0.708381869080504,-0.6458222528311677,0.8591324067581586,0.12262138942538946,1.1554339088870427,-1.439133790749587,-1.2828130907022177,-0.14510305264595771,0.48974462497524435,0.49924034894130576,-0.05187219741675829,0.24331733410290488,1.43966768396957,-1.4152633604359257,-0.039013211985342564
2020-10-31,-0.6938700856944531,-0.37801229000949194,0.32312553877477473,-0.16167323873004555,1.0741906654672837,-1.7049481573504495,-1.091342299754765,-0.05283606018960158,0.24103880993175458,0.2741776382341861,-0.6612006773589244,-0.05443580725243624,0.7336356584414989,-1.2584857590864011,0.1622576006814139
2020-11-30,1.1404128303318672,-0.20566861580249468,0.5388208178960436,0.2904257162047196,1.0220720541438308,0.08727567894150486,-0.06355248020478971,-0.47082580215475045,0.8336223132605013,0.5180156383760536,0.20348439029823256,0.04523437691340995,0.7673369557742923,0.054060392994200124,0.0760103773259789
2020-12-31,0.302544231158441,0.5378060540352373,0.3518451391997976,-0.04400331811162639,-0.23834428107934172,-0.36997953139217193,0.37635174568417434,-0.6326719373627089,1.0380902180056673,0.5297021324467887,0.6277026695523271,0.2153321205899635,0.4387394719872899,-0.327693190300095,-0.016473954563316292
2021-01-31,-0.521989841480876,0.642987075396309,-0.40753669946559723,-0.314080161790448,-0.6547678227592972,-1.127011470352357,0.1561630038760912,-0.5766292734502689,0.785427558784856,0.3221748122427721,-0.055323906226204644,-0.27291390648362623,-0.374088856149814,-0.6084933033731013,0.2897730650857547
2021-02-28,2.1708607362342667,1.4004982435935074,0.7667688239039009,0.8945797555897586,0.6108462095530335,1.937713029662045,0.4567790862796504,-1.113251989115703,1.9930568894238136,1.0259741790774088,2.455629395206372,0.17659869891139895,0.3965192163102947,2.1426285173825694,0.1049662596592702
2021-03-31,0.3775034473974551,1.4735911630764604,2.2910893504075998,0.7693185520515221,0.161244917401212,0.7069323359421217,0.346668584453225,-1.0832368461712518,0.6427256753358656,1.2522517967191764,2.180829556309489,1.2141573556655418,1.4969920405459558,1.7164260515128924,-0.034249923043078466
2021-04-30,-0.7629662039758178,1.235266481543782,1.195584053352682,0.9323074029856652,0.11055638810774548,-0.44399864129901584,0.4442966635617805,-0.9318748742782682,0.3220281105278535,0.6857650981370355,0.5124171646128606,0.5881602911013857,0.7589041857880975,-0.479395627707897,0.010025851139024843
2021-05-31,-0.3411176620486253,-0.49569443755107306,1.6140162255497483,-0.7721228550104684,0.07802762506132409,-0.83158705318226,-1.3413278299821703,-0.878674629888157,0.23682503054773318,0.29191441420378483,-0.08115494871746723,0.8462201773855286,1.1056519182274376,-1.0661454093064806,0.20868184749551916
2021-06-30,1.4107788650659074,0.22047990593582126,1.0701655820545908,0.2994355825023601,0.42199864118297653,2.759474330264446,1.406466255095128,-1.103760648234118,1.1992679161310504,0.8902046030114302,1.1862582727252715,0.3219202443024904,0.1391358539852914,3.235193692640871,0.07883705669445776
2021-07-31,0.19277389618664093,0.922878258171234,2.099277581492593,-0.24073918998585173,0.11109855149543438,-0.17698456556323006,0.47862865701930835,-1.0831149954260768,1.2735564108876016,0.7396432354153681,0.8331810857057127,1.1348381686013047,0.687674176310237,-0.11626442430468777,0.010919948539216996
2021-08-31,-0.40992236114109143,0.8607920915150113,1.2173993551666173,-0.24278427851463297,-0.8531729220681327,0.13711406792466638,1.0030752482793364,-0.9844236957337016,0.9664350337420763,0.29638723246658594,0.22971868390938954,1.4607286872063232,0.04998455609537692,0.21307447725249204,-0.12565671613394205
2021-09-30,-1.5558481916143352,-1.3263457938833776,0.6981880643056929,-0.22086542316075475,-0.1306108959445001,-0.12219638906454786,-1.6427599696753425,-0.7545471503679263,0.07800538344110997,-0.7740592147938207,-1.2220762191981345,0.35101402621625455,-0.0751402693696421,-0.16528963981222666,-0.024053551008959246
