BHARTI IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2011-03-31,0.6429737917838582,-0.03347391648341149,1.3335096823647024,-0.0872448906116142,-0.6247147200484133,-0.7376811522170555,0.1296603396039863,-1.877147050521532,0.8403354861799167,1.129655529528225,0.33631217276235187,1.3183492310410254,1.053292883378779,-1.0943237600348938,0.0614369480438373
2011-04-30,0.4801944769311002,0.9760648478681352,2.043713711625936,-1.6736853729613828,-1.1631698009442193,-0.52786913823823,0.6178682431390372,-1.7444786827301333,1.4518834673955219,1.5226592680666389,0.6189771496567394,2.426140179045694,1.4093779248323455,-2.1275732367385976,-0.015624168479511008
2011-05-31,-0.1447647316836555,0.6635800555644127,2.690072109214017,-0.9849992396621383,-1.3752949448626215,-0.2852584356315395,-0.12700543179789212,-1.4830045669166618,1.608182825076653,1.3329654334998735,0.4368287246087236,3.5121655469479554,1.8416569749836473,-2.2275334246738114,0.053972008223207045
2011-06-30,0.5294943297234925,0.5886910258180424,2.668402836361259,-1.042867001641557,-1.2105111781420137,0.22993563557084992,0.5396043695512845,-1.516885578034143,1.8674992649174007,1.6863659334184362,0.85242769391823,3.148672636003099,1.7089861054113087,-0.8855030910055518,0.10187604447054058
2011-07-31,0.9340738560635079,0.9077422139319324,1.9253280146007854,-0.6950512419031518,-2.1395633431159022,1.1605990063221947,0.7562238874450286,-1.4262623589571048,2.538168021456528,2.20015087937028,1.358517210065072,4.013392260123329,1.256615819329387,2.0430207154959326,-0.07750625673061617
2011-08-31,-0.7180053951830495,0.49888412657647885,0.9152666468241186,-0.12433170323258368,-1.1681886496669298,1.8419720437618488,0.9353644413033464,-1.126499707206558,1.8420573147662451,1.4988355341847766,0.2698242833838207,0.8380331186553044,0.7636284292815939,2.276454570477832,-0.06810405736873143
2011-09-30,-0.5869607490301751,-0.2711065107495855,0.005748461764354134,-0.03210956737211227,-0.9388849972842119,-0.2734380008780878,-0.1679704146948088,-1.0366481849906977,1.5535387096121787,1.044689497488652,-0.381481332058881,-0.1267010291888222,0.19354872235261208,-0.017557846842791033,0.035836002849508546
2011-10-31,0.3536193399923673,-0.658015360680496,0.7293832764272994,-0.7902342727157717,-1.0132048083466845,-0.3848550886843167,-0.5502892831836689,-0.9144036023519826,1.7923688739237829,1.1545144600368193,-0.0896553927560908,0.592628179511419,0.6098025461725888,-0.84576637987315,-0.014634616263818555
2011-11-30,-0.31495945910633977,-0.3589400771054522,0.12589928482341092,-0.9535696920796164,-0.9397753230865119,4.438795075961146,0.5940889091087829,-0.7514226148575206,1.6770257747385269,0.9064682642471077,-0.3949568933412784,0.007105367705909034,0.252052147732391,1.2544644032546448,-0.11692846671283885
2011-12-31,-1.4980325831599675,-0.8999946100448342,-0.3878588696408248,-0.3386745162990189,-0.5688164522161371,1.7881395823231818,1.211138074765122,-0.5461135625528007,0.7552491020634563,0.03254351483926356,-1.4913797473551955,-0.4688432283380803,-0.06539587735706298,-0.32105340110908503,0.06263291762349874
2012-01-31,0.7011683474855318,-0.7962369680023579,0.4037673729249672,0.12308470732361804,-0.8671760634392165,-0.20250534202541778,0.5138208654008293,-0.502050964269357,1.3355992181026437,0.38011737083728625,-0.5093371661951472,0.3059863143291763,0.38830632344361643,-0.5006865133235794,-0.043310499449243506
2012-02-29,-0.587813776044082,-0.9882564025531934,-0.005636432462509818,0.12248122993788066,-0.9338475452668684,3.061516929684464,0.8615033600871868,-0.32253422798190334,0.6213695697276203,-0.0566233527769094,-0.772335066796836,-0.08812413698408902,0.1538385672302265,1.0047077309313273,-0.03573651690740021
2012-03-31,-0.5355707221579554,-0.29162166791049565,-0.5162742753661398,-0.8492182546721337,-1.0120970112465646,-0.4113553293993719,-1.0893371314269875,-0.2677406872494077,-0.602795500109544,-0.4741215519546687,-1.046296019071039,-0.6209644162399994,-0.16267393226086344,0.26753569346835526,-0.08458443014229462
