VBL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2020-10-31,-0.6804809562237383,-0.9388278376916773,-1.1691313342627108,-0.3642132840055637,-0.5171699236200367,-0.25433401624642527,0.0003940639261614995,0.1128500650986502,-0.8446281600868096,-1.7996281233494404,-0.9730138228751845,-1.137278251345702,-1.0744723784541332,-0.250422202931405,0.28570451280296194
2020-11-30,2.4096910595127765,1.0386685138578018,-0.1489725557692937,1.1433031654940875,0.360612905863742,1.6178991700258323,0.8508786080142986,-1.570699886130074,0.20010279295287828,1.5775004612184595,2.116411570879844,-0.8180218158720937,-0.12254767351484007,0.9202731619693367,0.04998208139243405
2020-12-31,0.2210428735031374,1.7422837419269652,0.5701278670156603,0.8681301840218484,0.32789493164674144,0.5557151535991138,0.6160955560195033,-2.9098320568942646,0.19703648722092215,1.5341858395749413,1.8186182208485429,-0.5256551574974064,-0.18287854990242372,0.5292150063801336,-0.019218246931425577
2021-01-31,-0.3331108637441449,1.9025333644933122,-0.3367539765411942,0.6269207893717316,0.34306564159817104,-0.6874720344275606,-0.2955649343503529,-2.200881718165049,0.1369010794144668,0.8560662452783546,0.8821676818259634,-0.841267351150851,-0.7014560138946516,-0.5546598072483102,0.14895083307127652
2021-02-28,1.0019096011137807,0.7689524860243435,0.47030349836395896,-0.17197216471284446,0.41370374737997256,1.374220828762863,-0.08281231309813084,-2.0396518971931688,0.7483621555633727,1.6970116481854816,1.899956306942039,-0.5830963235103755,-0.34822488001179874,1.233330656109713,-0.039155997309741494
2021-03-31,-0.5109226564365197,0.12721221503249772,4.8499357719963765,-0.007279786317977157,0.3508399813855568,-0.503491176695872,-0.5075976749658272,-1.6240105902974966,0.5561159788047569,0.8048518498626782,0.5704716128970024,0.8864832895627534,2.1858397296142535,-0.3450999431264768,-0.05368716014439605
2021-04-30,-0.5862036014744001,-0.10027445206252875,0.9226175366340006,0.0656121262518642,0.2846955732406244,-1.171122614634186,-0.28495284112743124,-1.3147004144783394,0.3527528196679038,0.09860081468424768,-0.5587839075237221,-0.21300513904541699,0.2969433171699081,-1.3654981931755508,0.06228720198062765
2021-05-31,0.3187711155824212,-0.6762310542894223,1.8195613389963394,-0.47578017594802696,-0.5159356161964902,0.021818199997965085,-0.6048264089231009,-1.23035601486882,0.6486078400455941,0.32708114229757057,-0.15489741104829532,1.3804610086675309,0.8960372068509227,0.5399079799141389,0.078673032072476
2021-06-30,0.44354668905133726,0.1577839096003232,1.6585459357531018,-0.40048966706653644,-0.5149583181648456,1.125737715443234,0.5702208853487037,-1.1661113020124396,1.0302259850690867,0.5977778373802537,0.37098614259153934,1.2769564786811753,0.6931526879586499,2.649715289492461,0.04315479773355289
2021-07-31,0.15298067954997596,0.8021493080045327,1.5349005016505992,-0.9945440759793589,-0.607680723760056,-1.6394209547003573,-0.43999142458805646,-1.064362243243626,1.2143844848582257,0.5532516958619609,0.40036992156144935,1.4320158473674343,0.5944559238893826,-2.474441156438231,0.10601994178416926
2021-08-31,0.6184576704525923,1.0533583283487682,1.8887065994626064,-0.8415927353677253,-0.8111688378003002,0.6254409055838217,0.13915642191652045,-1.0229891435599372,1.6125551236024878,0.8376750754200087,1.1586470653197247,2.4604155246153803,0.6959453560619854,1.7601286878607898,0.058053356490588216
2021-09-30,0.22425732617368369,0.8477005599604249,2.497496274304637,-0.852286722227242,-1.0092781594925797,0.5091259958308185,-0.29101135899629715,-0.9346220482633069,1.637062009911814,0.7437923230538107,1.1476621723433629,3.8841277265527254,1.0746006444860512,1.9755665145961874,-0.055223749863023815
2021-10-31,-0.6575240232431865,0.15585731858953697,2.191107415274521,-0.32709887551471195,-1.0346013306093047,-1.2661909866480272,0.3889902221045418,-0.7775532009921537,1.1987884879795419,0.11917084597671151,-0.0023160166369165067,3.0613464137319,1.1949062844073273,-2.111906436497498,0.048348565575371164
2021-11-30,0.1372210626381493,-0.2520173045356904,0.5415372875281427,-0.5762326329565259,-1.0756618806321825,-0.8392836586080208,-0.8140606733524846,-0.7233304492139812,1.2874355924478367,0.1124511421086234,0.0014089628453239267,1.0070165967787712,-0.10063240502520034,-0.8154044539231914,-0.0035398267051240623
2021-12-31,-0.22227232861402532,-0.6327615082371117,0.2543773909558282,-0.6732408080348363,-1.051444169553181,-2.303903116120176,-2.2095329017107623,-0.39970107852408476,0.7099357294350713,-0.09392491749363545,-0.32930895612649264,0.6516846449985113,0.19701219009908622,-2.086178920556522,0.018487288837650308
2022-01-31,-0.05973729544075294,-0.11942250477087754,0.425473130608706,-0.9214276704446936,-1.0349273270117787,-1.1964560997672145,-0.4583713660131957,-0.3158748684897645,0.657653655215323,-0.1750943528192854,-0.40198047431542067,0.8187422140927794,0.41859841446447565,-1.1688466997807974,0.043943516172137105
2022-02-28,0.15459390620496366,-0.10947786088892918,-0.08775740374670804,-0.9037420508673394,-1.2116970895382082,-0.9944429010217607,-0.5885637746666845,-0.267892600389151,0.6994753382179393,-0.11081910207481174,-0.11529385988726679,0.6390579666688011,-0.1703031307724359,-0.7115002825292953,-0.004451871570823085
2022-03-31,-0.21200400330876606,-0.09971203143995554,0.09130008654080324,-0.877997838958689,-1.2334976588886992,-0.2608034069079539,1.2539368534048516,-0.17553713392054565,0.5760061013422607,-0.19889588383771406,-0.20604283131852258,1.044072492055907,0.1117479199299753,-0.1678719473666359,0.1406864368689351
2022-04-30,1.1303148159118754,0.6981441654340921,1.0832937217376206,-0.2666584217948616,-0.9025537529156469,2.4605725054402448,2.534650770459267,-0.2039381728783783,1.0734233088190317,0.2790977457128939,0.8942867955205459,1.4422597648243447,1.0106035263709785,3.7911001925962005,-0.02523439426907448
