MMTC IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2008-04-30,0.3311297941650274,-0.38560351560738043,1.7945336997987917,-0.25682002692354905,-0.5140599288524498,0.7645963955490152,-0.16393296169672758,0.12390240716753391,-0.8060334749091002,-0.6114671116390626,-0.5414956829748069,2.179049250541013,-0.9289424682003803,2.912560189561742,-0.16670064087341194
2008-05-31,-0.8406713992672663,-0.5623438834842971,1.0393629800502049,-0.0621329419563321,-0.5834793410087002,-0.34728815510200367,-0.3638710767535953,0.2577069973015892,-1.079312209500207,-0.9118837819309454,-0.7092061229096168,1.4206445150766545,-0.9429779295055347,-0.09469196373741331,-0.2404220826049084
2008-06-30,-1.0013830187678088,-0.7394036058761195,0.31562698279304174,0.12631319324204648,-0.5545837946534968,-1.0044409663536196,-0.4047884266272396,0.14995801335687298,-1.355240737927843,-1.2536209169253059,-0.8740861332120008,0.5122608842438573,-0.9658555735392511,-1.0284563431970881,0.21817900870404688
2008-07-31,0.18989452782497548,-0.79704541645529,0.0914460125247177,-0.0718724493767259,-0.5615626591389752,0.4022863847008915,-0.4156268513383997,0.5276751462855296,-1.041129840474858,-1.0396900204419848,-0.5679354157830626,0.2635112996859376,-1.0984338372544853,0.40051939039046763,-0.00017398869117398022
2008-08-31,-0.3073923241212604,-0.5253081191920529,-0.5000502085248869,-0.07983645519153101,-0.5147122113452043,-0.28819169898104147,-0.23371443807677983,0.7055201796566043,-1.0407666710750165,-1.166039155481693,-0.5110755001405898,-0.36579840493428806,-1.1577896287014884,-0.3854423707833628,-0.2056240996619842
2008-09-30,-0.8741930780248818,-0.42182013681046787,-1.4504127944173035,-0.10028582707954281,-0.3915653034536028,-0.3004841637068398,0.07950325134951694,1.1097790296758225,-1.3054406378105774,-1.5934752335776967,-0.7116814328915746,-1.4146990127540422,-1.3150995622478807,-0.4385984160321548,-0.3906977304712982
2008-10-31,-1.3692629369963067,-1.1732812009647142,-1.6260350829946202,-0.11604045558309535,-0.42897111286793654,-1.2417432635266,-0.5026851371344999,1.9146198181157192,-1.6479505330241002,-2.233083276796851,-0.9497672185298383,-1.6469876783908883,-1.33360687187527,-0.3438307358716842,-0.2842657556691698
2008-11-30,-0.9777927982223017,-1.460863751851806,-1.4972286768628233,-0.6717568348151459,-0.33583381789742883,-1.1582151890939512,-0.33016331012499534,2.820878605919757,-1.7266961005093333,-2.5241730485197267,-1.0225594612155486,-1.54914419312252,-1.264686073502313,-0.35007146371544723,0.6483703296518424
2008-12-31,1.6027915582543852,-0.3026914313353798,-1.3356825368551395,1.885900672164755,0.5800700041378088,1.5231346876727534,0.2435968410353365,1.6065569203623702,-1.0281732954425045,-1.2887021061905155,-0.2618455963497221,-1.3749006618636805,-1.0979463201058284,-0.5300114912882631,-0.27860422467567525
2009-01-31,-0.9599701482979364,-0.1693976239259275,-1.2508681640899053,1.5035367649556355,0.5855534208670028,0.2905767275316995,0.19567397869920353,2.215912672013653,-1.2839672213918178,-1.6950607835885296,-0.521087206841086,-1.3221199097611485,-1.0360201188604412,-0.47421437528214544,-0.029642700116129083
