AKZO IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,1.1031800566939454,1.554543559101186,1.2137648281526499,-0.6048062164295901,-0.022361949544291677,-1.0692463357833801,-0.4123093105913561,0.5303488314386452,1.0102886183801252,0.8409668274602248,1.3328428551441247,1.2463028667001355,-0.5741616881240925,-1.767198323609314,-0.05934586395144845
2006-03-31,-1.500463927945385,0.508740053725122,1.0942009085967213,1.646058866020812,0.6133870989921423,-0.5586306062330849,0.246609740623439,0.7384460850839143,-0.23170430765703454,-0.031704743168587665,0.094372318391198,0.5957014282622669,-0.4966040625972296,-0.795508145423714,-0.007704902628822469
2006-04-30,-0.6069130261867011,-0.541920484712377,1.1162206800764063,0.9910389817711979,0.4586435193031607,-0.9511870411606773,-0.7819118524280259,0.8602646972583775,-0.5213715609342835,-0.9707890804917587,-0.3866398426271163,0.7311616721030894,-0.5026470935714848,-1.4978829945558227,-0.08763129546636247
2006-05-31,-1.87592015538654,-2.147325947052539,-0.3390996346702754,-0.3868581012265561,1.205541164970019,0.6760863726735319,0.853395822923453,1.0531404875936752,-1.3761937489017848,-1.160467060490948,-1.6730166470495873,-0.9035497661499547,-1.6923398354566355,0.7048573891386408,-0.19621267038965073
2006-06-30,-3.3396188603002566,-3.0845966325340024,-1.4853630436158751,1.4941683894587066,2.935966586870153,0.035730444308343615,0.19314592940069786,1.3857403913064053,-2.843042763507303,-2.830453770542196,-3.4602323229503065,-1.9107625707202316,-2.597578480957516,-0.017290749849758168,0.04144168754834789
2006-07-31,0.26184888593572225,-2.2280523444008304,-1.94045213327406,2.2811486627975768,1.9670464799955787,-0.6626927671449822,0.07479105027007396,1.377846428435751,-2.307997439393916,-2.271563954545692,-2.187260937893488,-2.4076194977723486,-2.841217292356547,-0.053486181513524994,0.05445401405965453
2006-08-31,0.37274376733476977,-1.1214846093256234,-1.810700882024646,2.7204683952636244,1.3255460416868867,-1.2399898371315627,-1.5470777750551752,1.436116024580472,-1.931414083255283,-1.8457042310898917,-1.208489028601184,-2.1010987147060853,-2.4555361399456057,0.006620919694005366,0.09874160146693778
2006-09-30,0.9316100087240634,0.7852475788181877,-1.3103370645647183,-0.9807289795090262,2.0071072755425616,-1.0699349726115874,-1.0776988767562252,1.376541075975492,-1.2092167626953674,-1.0762157315773722,-0.09131451607240836,-1.5988619583485495,-1.7642345338446421,-0.219344302352871,0.004718676089399119
2006-10-31,-0.25282381152311745,0.5198298139854653,-1.1421798713849978,-0.3970401176926098,1.7944974456729892,-1.0262313883647933,-0.6839125584027372,1.372000692224232,-1.1837350558683286,-1.0899664514103593,0.1283420324862512,-1.4550233013589375,-1.4805895913513387,-0.2570549187826532,0.1322288328214883
2006-11-30,1.4026950377761866,1.024499132911609,-0.47433700688771085,0.1765816301572251,1.9240594208430533,0.659836672097379,1.0406027679470684,1.1445005098815706,-0.12302431613107985,-0.028959621672216895,1.2749230749930167,-0.9985653371980668,-0.9151980176157309,0.35189659504019505,0.08971571181163845
2006-12-31,0.7800347038847408,0.949762577395249,-0.3080686561418362,0.1242715163019225,-1.209745055058003,-0.015067876582477937,0.6750479989045903,0.9683554109566536,0.4797856817419485,0.5135163446101264,1.4048598612264163,0.20695925650778527,-0.7889883272354592,-0.05072708665918151,0.032929873167632906
2007-01-31,0.06310008533489576,1.0873985435465658,-0.6818010428141817,-0.3906726991452126,-1.092567338162549,0.2605891260694709,0.7562177914124859,0.7980796652260361,0.5156067718490415,0.5138220363899291,0.9642922210545458,-0.42219564844825763,-0.9992745517704908,0.078544303920335,-0.041766793014335606
2007-02-28,-0.8550330370516311,-0.008572056690402393,-1.2275136374152074,0.06221032269820312,-0.37018001540641615,0.7818430638899649,0.019760217749955254,0.06033722543101684,-0.046001875652899434,-0.04812594378136816,0.03341564792085892,-1.3536070409353507,-1.3005593834096352,0.09394501832910386,0.06730845653811926
2007-03-31,0.5145075053518959,-0.1321460922035663,-0.6682597453795505,-0.33535701206014173,-0.578489180483384,-1.198874776236621,-0.7584255480204659,8.793324232842656,-3.245554402793015,0.4002084276644024,0.24222286870406903,-0.6544614118670167,3.473784794199383,-0.5037606216200594,-0.06869269946303903
2007-04-30,-1.208437258937176,-0.7594941735472178,-0.9055335643771784,0.19412739778151994,0.05177759236782558,-0.8308843864506164,-0.6048935108095334,3.268192757382889,-3.0622654479625266,-0.30748686438327527,-0.708818661162646,-1.0081396713927897,1.5301825982787667,-0.20607186997209886,0.19659073102273467
2007-05-31,2.0294904075733093,0.6861323410292915,0.38714714966653363,2.2485206383800658,0.8751047208702994,-0.43319425855510196,-0.7216406371165474,1.8836440661925764,-1.5670517553057537,1.2660993826430533,0.696586361070896,-0.08498252284632933,6.932103281221766,-0.5984427767089904,0.019160913060188568
2007-06-30,-0.12122944139457588,0.3619166389548088,1.6054934596143953,2.101810651360799,0.7025639668994507,-1.0109647769669354,0.022834512906950204,1.4831239481129679,-1.3701388927775764,1.0295645675217389,0.5070006043018588,0.9011311728864165,7.055128400912306,-2.0842066719311556,-0.05242500670070113
2007-07-31,-0.9337634240626522,0.45983490798676285,0.9372498374661535,1.6547460624445687,0.959549038453341,2.196392703648338,1.1107828473943864,1.2953208190711785,-1.5428357262322165,0.22127470853443323,-0.19558608026052943,0.33570361652032027,3.1823463597682577,2.45735722357567,0.03184060585565884
2007-08-31,0.1360774365300134,-0.5079565523993288,0.8752146697774651,-0.7988373592505706,0.6838306238964105,2.8156313120242684,1.4469394961885038,1.0346538574647266,-1.229413103489957,0.2808139830920952,-0.13364130753747286,0.37309885881989574,2.2924760908974298,3.0474836802105174,0.033157368540626606
2007-09-30,0.16766662848734085,-0.36190737544548646,0.5916558994034722,-0.6564397600328489,0.5806769370804604,3.0896139535174187,2.5581980545014464,0.8262325992057917,-0.9420277556554191,0.3502510796747914,-0.002308538554495624,0.17415526790669342,1.4909483461315447,2.8599715798470995,-0.043658658361289904
2007-10-31,-0.7691740980774036,-0.25407524999297537,0.3588113793500765,-0.7484411134991643,0.3190974696094987,0.47819024409110295,0.18559545438347502,0.7446374089040524,-1.1252892336037448,-0.2364138475168098,-0.677501984109713,0.08044965141063048,1.1662228275646893,0.32619448729168876,0.11808156221680235
2007-11-30,1.1658417367857494,0.31149179924100034,0.30524589810179936,0.2651955353511704,-1.0122305993899634,-0.4231440240931083,-1.043824590846032,0.474241005447846,-0.31928150189229987,0.5790485536668286,0.3504932328817374,0.6695547783862102,0.8003260283719011,-0.45296353779856,-0.02723079608948067
2007-12-31,-0.6187764113113688,-0.12919222763546415,-0.27956389347284005,0.4345210867876832,-0.8489877209884858,-0.1334903722217887,-1.3923619459088048,0.40894226654105187,-0.4650776242892816,0.05304822598791023,-0.06817297748170656,-0.09740804644044956,0.22795881926680875,-0.15063857141072187,-0.08348830039888185
2008-01-31,-1.2286633988802935,-0.4066381781336458,-0.7774928547809891,0.8247544901752214,-0.5031683015078083,0.1373955217535522,-0.23247789320320875,0.41737705860275875,-0.9094300755704993,-0.8385827842200186,-0.9330700946072313,-0.7409629885935939,-0.2503294322223159,-0.043476770671057194,0.07406714332856575
2008-02-29,0.6863811911893901,-0.6628095866695383,-0.1911063245051717,0.07052340049496451,-0.30812257239075247,-0.8827435458153717,-0.8591446785401502,0.21890611551978087,-0.27812982988104384,-0.2985643862769649,-0.2733422244192704,-0.19334563662118043,0.1945480088184239,-0.5798115550196296,0.1592936347420353
2008-03-31,1.6931445746762936,0.6819475735717283,0.34532922641723596,1.3191586321278503,0.6908396514197621,-0.5065315308292014,-0.4061553376796317,-1.0424266571030942,1.6430580905268901,0.7631768910244567,1.1138317609826756,0.017172930023056178,-0.7333115650899767,-0.5444262962296091,-0.08211309527337701
