PFIZ IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2000-04-30,-0.5661840675716644,-2.186346528032946,-1.7209055003223064,0.4139497630889946,0.6399029936976617,-1.1702772824678653,-0.9846389745570587,1.4055996050651967,-2.2125481399232627,-2.6634790895153273,-1.3109471333489333,-1.15942951695699,-0.9755205769957415,-0.15073371281026107,0.21922333414103476
2000-05-31,1.5059617203186693,0.6058585885094873,-1.5597032801661517,0.2417944823839878,1.148598953478177,-0.8612028342654733,-0.46372675707627353,0.9281123116981471,-1.1862570529461303,-0.7461494168511345,0.1907647429014406,-1.0409043700672962,-0.8786174593269891,-0.06164475132000538,0.03745960124109668
2000-06-30,0.11050116133228821,0.7707780783492293,-1.0593129897907863,0.17543186303806074,1.0303331020616942,-1.3256384302816675,-1.533463669679034,0.9548651367003003,-0.9922328969875697,-0.45956746325401565,0.34501376631938374,-0.8091063248536563,-0.6194217833002856,-0.3813305393135541,0.03318317150295128
2000-07-31,0.02507911713798474,1.2007670979101916,-0.8936473604274002,-0.22024516030628924,0.573958648516678,-1.3177653539341991,-0.8122173396187717,1.047276536756078,-0.8287345146246916,-0.1975888327582312,0.640515875173925,-0.7159232667613757,-0.5366926584358912,-0.5250795012609343,-0.005093902661501981
2000-08-31,-0.24439758933473854,-0.0758527839775199,-0.8284818996538363,-1.195249241365321,-0.6660241396761251,-1.2446787477476124,-1.66706464750289,1.223028392840099,-0.8524269214841281,-0.27220805975719403,0.2336439138395537,-0.5865339147192443,-0.47201965260571416,-0.5841495546952387,-0.023204928950368683
2000-09-30,-0.3666676701154537,-0.4317618288977422,-0.7944994882852248,-1.0556320847563287,-0.5926590492917136,-0.009074939516789246,0.8748789676572465,1.4429507877997796,-0.9559374962121828,-0.5847603484732132,-0.22043840276321408,-0.5767892407552027,-0.43862319112409176,-0.2240974592146061,0.03567767247032107
2000-10-31,0.09051044638451132,-0.3836343942824678,-0.8359872925360312,-1.0396222318112485,-0.7696724112726221,-1.0909598943095542,-0.3849981949764357,1.4607765605886083,-0.7448620644781718,-0.07193654746932696,-0.28356099187014744,-0.5838524949454215,-0.5237031736582343,-0.4511777813247363,0.05423817605315225
2000-11-30,0.22715671446098645,-0.036357069344566464,-0.5491895513305022,-0.9225767912977604,-1.771413269315491,-0.5316926402646275,1.0432917440611857,1.9598830839294523,-1.5665823444302838,0.710568436158241,-0.02315051575163734,0.1793376581276804,0.05627824625879002,-0.4835871772995256,-0.012466043212884937
2000-12-31,-0.2386246147924766,0.06106118756501249,-0.4199077406058986,-0.9940081171665006,-1.6001826986666556,0.4359944333265203,0.1990206669101612,1.7350634478201483,-1.436531571872624,0.3426617146973262,-0.18366679784424558,0.26982826548853195,0.2926507512927156,-0.11052608973224465,-0.017617593086237504
2001-01-31,-0.24247602244975672,-0.19087262014419343,-0.9376080753616048,-0.9235973164018823,-1.577838086455379,-0.027681540437676143,1.5555114248755926,1.5668568057855619,-1.3461663050669468,-0.07332278227127643,-0.30554761725424945,-0.7309601900370231,-0.9529648850768351,-0.20428392098127496,0.01318044529681814
