SUEL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2009-09-30,0.05698468924301867,-5.531199201368412e-06,-0.2519945127884916,-1.1550723316229576,-0.23003567314390816,-0.8675211512365085,-1.245571499794423,-0.7834860418999234,0.22049323640163382,0.048329783044419206,0.17259560292668716,-0.6397284740052082,0.43159384628639313,0.5381302424026745,-0.31504141678275577
2009-10-31,-0.817833168097928,-0.440014523495863,1.5931115738975858,-0.3999848274176101,-0.17350643688210368,-2.104460253544434,-1.9371139551871386,-0.7080814396081979,0.22694444208411071,-0.10273594551496368,-0.5632989153529748,1.341503550792684,0.7835525920690841,-0.102827640987794,0.16456961133550413
2009-11-30,0.7416032140375619,-0.015936535917640115,2.3658496993834666,0.02257554709372764,-0.7194907911666698,-0.033891077877285965,0.01181136781836769,-0.7915028676115996,0.4656253053066771,0.16414185279973484,-0.056782089504164995,3.258079420309422,0.8862480863936658,1.7223456357433138,0.1367049033941774
2009-12-31,0.6215255851758652,0.2910404676496442,1.3221074170288856,0.14823196347787637,-0.6409649441313322,-1.1748627748373706,-0.5904777369601351,-0.8553319800605251,0.7523683623709994,0.4456365214886834,0.42445967872306917,1.3808861705679902,0.6892789799389061,0.44751284409138786,-0.1566650887072763
2010-01-31,-0.29316830616233414,0.584626574671072,1.6697511649953891,-0.33471452752041864,-0.5901266687456818,-1.9035784221334289,-0.3558968038981385,-0.8590837164479961,1.0453264882501645,0.45702658346520175,0.12857242014926995,1.8070824789288495,0.7807661034118405,-0.17667164317116074,-0.07249338197921595
2010-02-28,-0.04518577533698358,0.15399807483116834,1.8351206251694832,-0.48483426719000344,-0.589119216708232,-1.9517185158843773,-1.9459168587626767,-0.8437327540797797,1.0265530081750627,0.49554937497018403,0.054440688319624266,2.0196378087005917,0.8432264605038337,-0.5357274707588764,0.0
2010-03-31,0.17438980502038423,-0.09076692261430731,1.6035986027766762,-0.8660351745118016,-0.582331867080328,-1.7694472120236073,-1.1642990374464823,-0.8300504771005305,1.6129544857623697,0.6061691592642034,0.1577800369512147,1.69196781247019,0.8026453948365979,-0.3247216404134283,-0.04115679867874426
2010-04-30,0.03994096077924046,0.09321720908074617,0.511327300279346,-1.0789953533164205,-0.9466749920921621,-1.655385020893257,-0.9590422906043259,-0.7756743886201123,1.631909257614749,0.6379341129476588,0.017341303155263926,0.35752747548266617,0.5562991139509373,0.6893277840484759,-0.2035530989903877
2010-05-31,-0.44329006331000315,-0.12536218609231872,-0.32382479499833794,-0.6919031975817862,-0.9791584474102991,-1.1411202375832719,-0.13471432808658848,-0.7379432919716667,1.2122046816386884,0.402082485653456,-0.35161534453908017,-1.2761943443479649,0.3610284262203294,1.3237899987371209,0.028816038279396907
2010-06-30,0.29202789753633285,-0.06052170427276331,-0.317862956107963,-0.6422468061138716,-1.1799702815851847,-1.0632270111668773,-0.2542981533136485,-0.6907686792061496,1.3306348282792702,0.8385574973514334,-0.08398368172423717,-1.696743744948661,0.36440636917304414,1.2986772687099428,-0.024372874396801306
2010-07-31,0.09393156883278841,-0.031005844092750083,-0.29237030474263387,-0.6150324605888885,-1.2119423790961406,-1.1136079414000275,-0.19747212339397927,-0.6231001788260633,1.3464674797349439,0.7942111882692717,-0.02093922145361443,-1.7220417146936946,0.36806095846301423,1.2924344887158075,-0.20013541512306335
