ACC IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,0.6959545986147173,0.8767574176867028,0.6415783863539011,-1.4556838053112684,0.24922854423405089,0.17673869951846222,0.001988062036485762,-1.0222140820994599,-0.5286801697579775,0.9307435401249478,1.201928805840559,-0.030641120508115825,-0.26943286130936117,0.08155431557602384,0.2222809727900467
2006-03-31,2.41233148555201,2.3179843272517924,2.556394661969995,0.3595671818991825,1.507658455383225,3.6795724748107252,1.059257624757403,-0.9544619846578548,0.858721126720349,1.996709168903814,3.163802342756829,0.3259039894576213,0.8564275248745853,9.997359533342543,0.2593011431082089
2006-04-30,2.509831310414317,3.4182514763958083,4.661084364898229,0.5478151724682165,0.5309413175635063,2.3402221644021433,1.212871124737997,-0.7621037692182754,2.0037002287702945,2.1221995315859647,4.106430807384125,2.025229869318126,2.72169603415655,5.3499534613920865,-0.2842846443334391
2006-05-31,-3.565042997127329,0.37476488890117327,1.2307596270693204,6.878133485659939,6.449232182249863,1.715920358194177,1.328767790852795,-0.6163217738271384,-0.25835074135133373,-0.021877078364030345,-0.4018287790130777,-0.5420531901389493,0.7648405247256755,1.5703913686187898,0.02721828171027582
2006-06-30,-0.19773059074644447,-0.9566931323052544,1.2585577706202389,3.3798555860578117,3.7921500628589766,0.777220889748638,-0.11058294764851975,-0.47423496325490516,-0.28164713768128447,-0.3011650331826469,-0.7198557716361537,-0.494029743842144,1.008240720616618,0.640792042185721,0.07357025688377884
2006-07-31,0.22640049970170723,-2.218870189073467,0.8757913870151777,1.5803838300047977,2.880618649546552,0.12835652558364835,-0.5927920513058497,-0.3449252528842205,-0.00777131586769413,-0.24695258885377505,-0.6344546936890708,-0.598475873231074,0.6434169910404588,-0.07960265600432495,0.07525433680203093
2006-08-31,0.21109457359945502,0.16880208743084546,0.6445718686198264,-0.8851230755534588,2.3745028254552234,-0.5822541151888688,-1.1557789941971202,-0.16764267869886407,0.2546268577188551,-0.2595421628013369,-0.5304940894381812,-0.6812182739933078,0.3931683838770316,-0.7176598410043099,0.08801389710682894
2006-09-30,0.3476052548024965,0.5518354658569005,0.9644316239835561,-1.1169920774953306,1.7400716652294852,-0.9363031435228064,-1.2307680761757143,-0.002255168603039993,0.6030229566953801,-0.1305340600518431,-0.07631828959413077,-0.4851550988018067,0.8059809526566947,-1.1145965669741424,-0.027192084769770232
2006-10-31,-0.7677850497926235,-0.14209798572837273,1.2539022600015393,-0.3117776424054232,0.8662055798255678,-1.0848990965231462,-1.1655570044684807,0.1198427734454131,0.07756224935619822,-0.8213408986391977,-0.28938089169545284,-0.05100828265064328,1.1824398476809064,-1.3107971907976186,0.15509591532033412
2006-11-30,0.9389920343417755,0.36054175227213264,1.2739398166310172,0.08913023475030221,-0.7606726411401502,-0.707947471726475,-0.16029673518857732,0.40040497208133957,0.9965325392959119,-0.1475764793048879,0.5984696969145676,2.199373017193888,1.2263723377601812,-0.8255821559135189,-0.03832474618391666
2006-12-31,-0.8869799230980716,-0.5115330828686621,0.6729306243995028,0.30265497685515935,-0.506683739269916,-0.9552616162639713,-0.06172199883519801,18.28466890507905,-2.659319807090666,-1.242324737493177,-0.394775404943569,0.8506188097272713,5.724385246336903,-0.9140363598731721,-0.06281283169808895
2007-01-31,-1.0443510013868205,-0.7054372164143192,-0.15027384592873985,0.4462714214319,-0.24744422268356397,-1.1275530691957745,-0.15295270932141294,3.853033983473435,-2.6864274490879327,-2.2306570036441813,-1.2423582013690888,-0.16285528461619891,2.4408572854147965,-0.8555063314831899,-0.12333546620503259
2007-02-28,-1.5321795909004519,-2.514803635769067,-1.237088862020283,-0.6012952888031333,0.06442061552515234,-0.6918165382296569,-0.06767784348981261,2.748236039878836,-2.918482774216061,-3.3712597427813735,-2.1795982989251828,-1.0939716425397032,0.5959459586235331,-0.37810087558254296,-0.2044039426285192
