BJAUT IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2012-04-30,-0.6886702177318846,-0.4915410690301272,-0.8792351276730425,0.7812468103537697,-0.07702128819642975,-0.838915337525515,-2.8434233497188246,-0.38660119291047534,-0.998179586750225,-1.2062279121631363,-0.961491822155474,-0.7925243670681168,-0.8909795845524902,-0.06938820816471632,-0.07213292334772264
2012-05-31,-1.1397445834844382,-1.9993269678563992,-0.8481270100576728,-1.15894406343394,0.0408943184995048,0.7625037197475744,0.8104518212036412,-0.20888532637208942,-0.9743942823184558,-3.7850365533064996,-1.4743378821115058,-0.7271986647501966,-0.9036049017919796,0.11701488700970374,0.039852886738413716
2012-06-30,0.3305450415049283,-0.9175647892551666,-0.7926516005232865,-0.3052411361046185,0.045445001177829666,0.15389086213049746,0.7594318933145553,-0.429265873755038,-0.7317075575246803,-1.887758186875928,-0.9183445149424803,-0.6718750205311175,-0.8840775995034673,-0.005777038473940887,0.019798264031996814
2012-07-31,0.1282202059468424,-0.4257306078377304,-0.8110701525827927,-0.2520776489665501,0.02373896884177095,0.7861466846783022,1.7359505253378513,-0.588099793262771,-0.5509274292309237,-1.2556023365855036,-0.6380915943224764,-0.6403258940962869,-0.9838618794474175,-0.053315324047133766,0.00800873440958576
2012-08-31,0.008227524155074656,0.3167016304705942,-0.9241592478326607,-1.353141013885506,-0.9875056366526812,-0.5342371005857204,-0.8681900732157097,-0.7122227524941585,-0.400607878081953,-1.0832125073430319,-0.24486925368920281,-0.6482173913079813,-1.2268042950320097,-0.08446012171115551,0.12367435138462077
2012-09-30,1.5184161122182478,1.135797830985264,-0.3988688305983029,-0.14633407525004521,-0.301637174464682,-0.568688467240101,-0.5627915278091997,-1.2811779003061043,0.047010674976405493,2.522105250568605,1.3281722359766253,-0.3556671505349309,-0.46656824011838893,-0.25412725218002136,-0.007486563329863844
2012-10-31,-0.20944535209027285,0.9047253466858937,-0.7956201560621605,0.015194983933520182,-0.47903096131020395,-0.7763287686159626,-1.4633137797143674,-1.3465266328102024,0.18238221330562338,1.5619299490177476,0.9936695170611802,-0.5306965466889754,-1.0770388298822349,0.013729792686890707,0.06110216862712044
2012-11-30,0.6736275501631984,1.3759825588382735,-0.3636504961322356,-0.17647648079082318,-1.2414171123427222,-0.775810189623461,-0.547150391069017,-1.7042570120370153,0.6669749115243647,2.4104948939509634,1.3420102882116427,-0.09658573022470311,-0.5214732107503711,-0.23992902495720125,0.09867552466140338
2012-12-31,1.13125419145235,1.121313859065704,0.7209092057306065,-0.5273185739379525,-1.055121392416316,0.17011804515519224,0.5980123385975071,-2.165174380779955,1.9028702849569308,3.1590373399241054,2.0658468552662685,0.8913599143556497,0.3663987347362457,0.029385564126399647,-0.05003087440915442
2013-01-31,-0.7793971002886391,0.6896352307317177,0.5250588564102425,0.05146300340589066,-0.5126094160061793,0.4351082536589429,0.902612683403052,-1.861210188125712,1.9628898316908672,1.4912145383294715,0.5819739211518283,0.983160981511367,0.11865926395190114,0.22696932625239627,-0.027075638678126557
