SOIL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2010-03-31,-0.16822784956733752,0.5282238749998888,0.5733051366527397,-0.7704003415898751,-1.1235359905600022,-0.5846185782042833,-1.409891611045331,1.7820831665283179,-1.0101262206259989,1.10504940320529,0.6103733181248011,2.07081137045581,1.108312216841757,-0.41467072589425846,-0.0035985876665771107
2010-04-30,-0.04379979666122274,0.1404522898126249,0.1603803396737712,-0.8481253301991858,-1.1176191222453544,0.16627609765479603,-0.38402301339532574,1.6620640862882472,-0.9587414719446082,1.0980109662400068,0.3023071606417988,0.7466524971922693,0.4735296855554985,0.4372139479875245,-0.03901140839315939
2010-05-31,-0.3892484597745017,-0.3649981850277874,0.07187436439676237,-1.0547179676106575,-0.9121833891725294,0.5322369572860499,0.6731778277330348,1.7900600970383636,-1.0991850404418182,0.8002954888523729,-0.18027560898204398,0.07458697370651265,0.3402717551980668,0.5587303674974692,-0.008256482065732557
2010-06-30,-0.07922051539706494,-0.31249026266922336,0.4283042317923152,-0.9753175784847705,-1.0338640550899547,-0.568115723571198,0.17625416316385506,1.694736319646337,-1.0650576422990434,0.7317662672095377,-0.2960616147299265,0.6275065587907968,0.7357323352058651,-0.3089285028567734,0.05086647812546911
2010-07-31,0.45733797144253097,-0.009774598537011897,0.3050584589184464,-0.5540582360509088,-1.017908880706563,-0.46226968408159114,-0.39573797586366505,1.1220715705253048,-0.5058760803906931,1.1344178925011086,0.04722856881893144,0.3863287995974058,0.5006660119847242,-0.2096789444658695,0.019961658568878726
2010-08-31,0.1464727533526433,0.3192310852513806,0.2626153018013968,-0.787564759339926,-1.0590363167922454,-0.9050012716736143,-1.086386404838513,0.7926203979108886,-0.07067625195052217,1.2392381909029062,0.1876766343208396,0.35344812984617785,0.40482565386759584,-0.5234110382852063,0.13930750019510418
2010-09-30,1.30732849217212,1.161165058792774,0.6465858523039363,-0.27741620065547556,-0.43694172557269406,0.3359061156603537,0.5027702479447768,-0.6453065456424593,2.326167482007459,2.143047953971917,1.1556138184835134,0.1481426016282576,0.6353995919470069,0.38969029364056035,0.04331690336070468
2010-10-31,0.31050209766503406,1.049393294115062,0.9593533377105036,-0.27205539866918177,-0.48220370440624594,-0.4764192399632318,-0.0036905445702319403,-1.278926683450361,3.1996935360713157,1.947210106901868,1.1343471753385976,0.40768024411518944,0.8178369269621436,-0.4442833219218076,0.19629115158944904
2010-11-30,1.7080857996673013,1.9531129277575683,1.5583315179308515,-0.060699503915167416,-0.17776506463345948,-0.9555085318093497,-0.06380743777731862,-2.827559553409803,4.854942095526608,2.450751945838854,2.142387073928623,0.5866181866258446,1.0412885336055215,-1.615744596857727,-0.13874379834030545
2010-12-31,-1.6822335072630743,0.24787134652133783,0.6233820659843352,1.282977761446306,0.5196182599858256,-0.8546628416584534,-0.8927292979404667,-1.3675323311415593,1.6561786275236625,1.1695344116425255,0.25022006638524846,-0.1764863804746115,0.5128893474938068,-0.6240313642776064,-0.010236239150030073
2011-01-31,-0.327578018413287,-0.14726820992729245,0.3463714099568127,1.2351308026142376,0.5541355688380915,-0.19452773386974082,-0.15487898494978208,-1.1866788935593708,1.2779642746694957,0.86875608345298,-0.22285993789086264,-0.3207854712818841,0.2960038739834706,0.1163937135786256,0.03328463458632113
2011-02-28,0.07285226990904929,-1.2792907923459302,0.254019091493944,0.06406143039999572,0.5254328236433626,-0.936184922234238,-0.021726086313400752,-1.2622783330174003,1.2938585363847483,0.8294196333200015,-0.35247923135949993,-0.37582694772345626,0.19907121718071313,-0.3875658029410033,0.018166589567934537
