PCBL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2014-02-28,-0.6395234877228702,-0.3025399769106026,-0.17032969909048878,0.41185087210227755,0.1576933409405485,-0.7260632095304659,-1.126964674003002,0.27347585938341473,0.4132118409431896,0.5805165953678257,0.01316335361963422,0.16710356696274378,-0.36079164271297093,0.8043627132109331,0.19870952597692768
2014-03-31,1.4951502454564827,-0.033868115913381805,1.2831497994984795,0.9197473879704146,0.3282493871741841,0.3854450627196458,-0.6474284530808814,0.20206841970602515,2.9585392451409285,1.4410063893418967,0.7560687802994577,1.2988637417708324,0.9673698848502351,0.11241255425064353,0.06993471285631539
2014-04-30,0.603975278576148,0.7594790384303136,0.9802542064321031,0.4806351223356788,0.26711751720213434,0.3588370867785877,0.5642984494118648,0.05648109261259023,3.111870198410777,1.717681279198745,0.8410570695110466,1.0675147225196462,0.7358540679402609,0.05187498230270323,0.15250187483707456
2014-05-31,1.0774548630296361,1.6898051417287212,2.240438398388031,-0.6324910582157406,0.10129271947194467,-0.29801230299105974,0.731776114269548,-0.09631028326299702,3.7646620122623804,2.2429364694530145,1.4750882780131638,1.9958575819678437,1.9700662547565482,0.32087116677067956,0.18184996989533042
2014-06-30,1.1773721500177667,1.4842145668267877,4.21282436278278,-0.7245284433475321,0.19338673630226128,0.4520502999987548,0.06275486420640516,-0.24565380235310008,4.147023549308824,2.676897445826112,2.147979489354336,3.459600395607735,3.979718271599412,1.3541736957542134,0.04157642684574019
2014-07-31,0.28187019644947275,1.2719013789783595,7.7767068836819035,-0.5801030460766884,-0.34549872208424764,2.0339707428801366,1.0193808746828619,-0.39555328250166527,3.1557597148776915,2.394861179437589,1.5731002360083117,8.194334353675863,7.691488698385602,10.839454879938124,-0.00567216495246653
2014-08-31,-0.032343449329054,0.7045992357129475,3.541269665105779,-0.32652791585856233,-0.8868331902754495,-0.17224479076088506,0.4005966745497857,-0.49804441397579896,2.429889534066406,2.048913094811959,0.853680263606349,5.071699589990392,3.5252744284892925,0.20837600202233675,0.2351305771253507
2014-09-30,1.387858108218455,0.8131985410361666,3.493054247090143,0.010131305791307674,-0.7862267556129783,1.9051846476066667,1.3592899846754807,-0.6207101922633969,2.907039628262799,2.4006354663128726,1.4626191897705123,3.969123185796773,3.488140805056762,4.57274420924583,0.04913268857764481
2014-10-31,0.24629716102249272,0.7880421847486989,2.33054404302952,-0.018982284508122914,-0.7821527578141041,-0.6651776109164244,-1.3981271980503627,-0.7853106711946496,2.3616715071908665,2.147580616477552,1.0325335618039917,2.4550836094665858,2.327546831552001,-0.6826939811830658,0.21419956324331157
2014-11-30,1.1871410576624,1.3934513710498964,1.979925550017224,-0.362765839596285,-0.6757046765532023,1.646218087122308,1.5138975682306635,-1.084292363202616,2.3748156839113896,2.193222948701825,1.4732480599392306,1.8747321403307953,1.9793196454073507,2.3234128814204995,0.0373051056925961
