IPRU IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2021-02-28,-0.6900827123602459,-0.05776690365461624,-0.4889080443414324,0.26034874699248817,-0.2921637467021212,0.7223334405800227,0.8526653518737014,0.7918306023272106,-0.982928889245239,-0.018622268800311332,-0.20091990981403393,-0.5099359938355927,-0.4308693560675078,-0.30156825125434406,-0.03516870182308627
2021-03-31,-0.5608276969499074,-1.160882280877558,0.4934447422290548,-1.3155578289659118,-0.2120095433792763,0.4188410941071176,0.12055135853031854,0.0343344905849242,-1.582464869638761,-0.6305484823091988,-0.6671989667512385,0.10177154025815166,0.42898587182153197,0.4659256632857364,0.15815010924123327
2021-04-30,1.6631699537247624,0.2336122865181546,0.4976913659944498,0.7400940819124022,0.16931672025285735,2.313124518513263,1.5478145922052897,-1.3230764586228707,-0.05183392936466701,1.1958227053462047,0.607633628886326,-0.0013922312083866405,0.2922091316523229,2.1202496547380205,0.06004405064211342
2021-05-31,0.48682300661304867,1.0098076513494239,0.9975705726388491,0.383449563573472,0.10747562023074816,0.12313709229165884,-0.38145052259653883,-1.4541131800818456,0.5303892713644951,1.571308053769992,0.8663153269128209,0.26943861081201925,0.6026368837136156,0.1838999914660168,0.10025957123518817
2021-06-30,0.9088524166356924,1.9739096210946991,1.0302503720697107,-0.5164473189711117,0.01478454830092873,-1.1672493716633698,-1.0571935853389214,-3.45207232612686,2.2302434193872087,2.0683053473605897,1.635269616699667,0.32903638216603753,-0.0655775489377131,-1.894346685095418,0.032516010351228336
2021-07-31,0.14190779813881316,0.9507266830830343,0.8001954788434322,-0.8163461412266926,-0.1577967789430176,-1.5830441173345107,-2.69579028219835,-1.8683848722001533,1.9430703360698764,1.6497619247407223,1.3457961937962666,0.28824482184030553,-0.15466613069911755,-2.245305489610883,0.04048383797583685
2021-08-31,0.22564363476230412,0.7784508563198835,1.3493618028024148,-0.7763247029030158,-0.5041013255967671,-0.7895712523900463,-0.883582272789591,-1.2034695912281497,1.7666689767054746,1.3861169472618147,1.0544489573381868,0.8725900772908057,-0.004864254795019987,-1.4606596366084956,0.019159833262744615
2021-09-30,0.00879358760488507,0.2295357455847714,1.3746552823151805,-1.2751024096006416,-0.9091435095348381,-0.8908268468462703,-0.13003927964490353,-0.47228600841941376,1.303485210454818,1.0758725064161898,0.5351093074775409,1.3522309455505053,0.24291515490921425,-1.7279975250908624,-0.08289960404820668
2021-10-31,-1.0450082532399723,-0.49127980551733647,1.0735114054560908,-0.23932241365077858,-0.7232558242828606,-1.4148747300673052,-0.27111076084620567,-0.14026858454778748,0.6377961896247346,0.3551080590412458,-0.5333961796189792,0.9021594293021027,0.24901453484179054,-2.3894490940828814,-0.041856784797927475
2021-11-30,-0.5272980500083935,-0.9818234531338664,0.3872807409061685,-0.5515074223506163,-0.6836256020766496,-1.202643133607769,-1.0000735415639228,0.06447925292092958,0.40960712437288893,0.04424340992961719,-0.9728174462920093,0.34469198728015393,-0.018787452712859372,-1.2014650001131906,-0.055914376754904446
2021-12-31,-0.6614734531480158,-1.4024361086037853,-0.37896589698974686,-1.1070600411326514,-1.088463754058167,-1.1046206496252562,-1.1700055786381103,0.2930835264533945,-0.17723754062813893,-0.35388242231037387,-1.279842740879042,-0.20879674880882976,-0.38428976621553806,-0.27001298526164297,-0.000624303253275768
2022-01-31,-0.07230365208726851,-0.7640633240159634,-0.17499088018506043,-0.8978660968571748,-1.2067709600229541,-0.7193739432351097,0.13325635660871618,0.38143319125182984,-0.11733804383150734,-0.35734469783135403,-1.0175804745797679,0.09329734805424131,-0.22276507069197435,-0.2864951518488056,-0.15672633167733335
