IDEA IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2013-02-28,0.18706700268130314,0.783620476135344,0.2866633130449282,-1.724103417109282,-2.4642590607877097,0.47237616731276977,0.38489361756394413,-0.26371121360891386,0.4846588005331135,1.1989635348503622,0.9945892867085856,1.2991512616684122,0.18631938229874953,0.026685239398549596,-0.031898578070420645
2013-03-31,-0.6250774340317875,0.15069420722744806,-0.16942065933885286,-0.7717684469301779,-1.851919779865671,-0.2607874650538708,0.10346785148538386,0.7982821246906199,0.6380173513418766,0.7194929683652164,0.22154316479084102,0.2715712994375121,-0.15723233670318865,-0.4753020309979828,0.153070362275063
2013-04-30,1.3748545184096725,0.5179001164156491,2.2236954495641164,0.07841809340635016,-1.326717557831851,1.4967404909956856,-0.3469800361024649,-0.6258800654799809,1.5605382475111464,1.4934476216761874,0.9235071963122834,3.5410187321401168,1.7342133697591973,3.067112801029957,-0.012929320887339725
2013-05-31,-0.40598197134318015,0.16895435846824525,2.0703770282227416,0.3905360933144907,-1.1326134011815931,0.8556731537534613,0.3120810462651559,-0.5565611234000841,1.008093324047535,1.0296850441777128,0.3056281783198071,2.7997571234945755,1.7152903379088835,1.455336765210361,0.07682065085090532
2013-06-30,0.5023837198548553,0.8171536142457316,2.3989950581178423,-0.09527242292898255,-1.0212715766752618,1.28473038082535,1.2760172073294977,1.2530658616250765,1.0700937813938476,1.0989927336811303,0.5015356411054998,2.9306659843289786,2.555040890154594,3.1178947872979466,0.1772974520779272
2013-07-31,1.592687402762856,0.9384167703632211,2.92498810416072,0.20858511591491052,-0.30395186352631354,1.4109808722228456,0.36661698723905956,-0.98233427838841,0.7867970560713027,1.5012911695739077,1.5088703091321973,2.4887272653479617,2.454322954483661,4.0291271538976385,-0.0550912088104579
2013-08-31,-0.8178395342560212,0.7289371704950862,2.501009159434323,0.7456213658514268,0.3081740311343719,1.4314943331585797,0.7577585666971356,-0.23715832933241293,0.5780602540079379,0.8580506320962169,0.5298465556680049,1.7765446096683835,2.3691383909795385,2.9225918478832655,0.050868685720190064
2013-09-30,0.31902595056978944,0.658588959133628,1.7049665880442293,0.6805869384605676,-0.06560111641611409,0.43878008761595655,-0.043404063633756804,1.0622050551425122,0.9093358195387329,0.8278109008538532,0.4901419724780575,1.4460711514562026,1.900504117957293,0.2471319291527151,0.02641443142866089
2013-10-31,0.041886118563643014,-0.2769586115433385,1.6576922253263384,-0.8687953034413621,-0.5055166162207618,0.40089264734054036,-0.3260084374407585,0.6068125147926521,0.8856846356189964,0.683106112982673,0.3482311314487175,1.7355766907229673,1.7509849543189753,0.21721377316632828,0.01550123759249789
2013-11-30,-0.09876076983707233,0.16284786568155332,1.0184148019143264,-1.813729769154575,-0.619222926833727,0.3590648250391668,-0.47311652624281214,0.3068791915525302,0.7637649623529964,0.5158297316254847,0.050690416561268825,1.1444959567962616,1.0569006555878144,0.006974095066440515,-0.04991847812089442
2013-12-31,-0.7643603018607659,-0.5061515237215072,0.49598460777855113,-1.1734189660999303,-0.2966140578622167,-0.9857434108184776,-0.724584794603029,3.6754588463160656,0.44755021112403126,0.17419736982896838,-0.6196748981765633,0.43961548444598947,0.8433622325976164,-1.6301697726946554,-0.15112975391959657
2014-01-31,-2.028395742865828,-1.7718156843292083,-0.31682394630234,-0.07237462019063653,-0.6837475187841241,1.338207005025498,0.6701664105666187,4.643768244777851,0.2780964242367844,-0.5074471017140672,-1.7511589935586878,-0.2697341633392743,-0.032548483946496364,0.11878491274430028,-0.10719546096394389
2014-02-28,-1.3410512387287463,-2.396299540145316,-0.7054499710295443,-0.8445478889252329,-0.3588493822017621,0.7607738125753519,0.4154891936753255,3.7743365197375667,0.1313405949724679,-0.9319269823110654,-2.148212478817874,-0.739005353489147,-0.5643882698558318,-0.3943270192135614,0.06416920044258304
2014-03-31,0.5339910786784804,-1.4487972878087316,-0.39964865809127725,0.9631216848516534,-0.19981949057495244,-0.5952228974991189,0.6635754609055178,3.0045888718215874,-1.1603843504902935,-0.6870610598246731,-1.2636737979578962,-0.4526633690504166,-0.05077693151139206,-0.7531476591240212,-0.02019779088458817
2014-04-30,-0.35252701538158787,-0.5931119913082246,-0.8106197741476852,0.13944093025325108,-0.3541824781614055,-1.2286723760591372,-1.3046218992949967,2.1632270156345377,-1.1981675335141677,-0.7874411805193332,-1.0240366355870312,-0.8632092646777938,-0.8014520033088189,-0.6026171465413963,0.023084490026524872
2014-05-31,0.007136918447588556,0.10227397880996011,-0.7084984095080571,-1.0571909025214894,-0.22562593071924975,1.2020262544628089,0.25519027466362915,1.523968443845183,-1.1498756228021174,-0.7943526395544016,-0.5780975001698496,-0.7669073390571534,-0.6389100781618371,-0.4520949762185186,-0.0399416070929478
2014-06-30,-0.8018010432467599,-0.5941556953259993,-0.9613696965692088,-1.30902613782419,-0.13870266131532952,2.0169519941059115,1.6115457478461637,1.800977522781589,-1.9307660279229408,-0.8190540626010284,-0.6240116234597535,-1.0345918998730326,-1.128980899179968,-0.8628002590037056,0.16910966282172413
2014-07-31,1.785950212969898,0.5389229128398039,-0.9760942058716875,1.1933149746904637,0.9287443761656079,0.9976589929964125,1.6901652577010249,0.8017696917693272,-1.2534534614541242,-0.09519228651678852,0.6603849478510011,-1.019544587738379,-1.099221269902231,-0.7530012887509968,0.03168602482857811
2014-08-31,0.04155802510711111,0.5571890148075581,-0.8016062139331327,1.0639230694340445,-0.40211445549437747,-0.6125508414440813,-0.9422818197898837,0.56860462266062,-1.224697752218211,-0.02918208510200326,0.5318126970921547,-0.859841874820902,-0.7888066806186053,-0.555078998896643,0.025542754560426706
2014-09-30,-0.07964181492178853,0.9416260496582746,-0.9109205889715635,0.2031478384722459,-0.412162401815231,1.5285122483036966,0.06332950663915271,0.7338959030449694,-1.536643499525243,-0.040672484674652946,0.4038712712988488,-0.967116853146194,-0.9585220766195132,-0.5690665241460914,-0.020341049731489716
2014-10-31,-0.590206745366325,-0.3320236536901285,-1.041516935157517,-1.436645599733358,-0.349641781380977,-1.5625474407891293,-2.6741024052544127,0.6709788553494154,-1.6801270978696863,-0.28067326982670054,-0.09168872326351586,-1.1010175288367308,-1.1902568929181203,-0.3969531200327162,-0.025239557661467446
2014-11-30,-0.6346003723256856,-0.6912206524653054,-1.1388439694003318,-1.3233615679735957,-0.023167972401456766,-1.4632509264080396,-1.3623352980427597,0.6195248267501718,-1.7730703203161435,-0.6357919601843953,-0.5139952461404299,-1.198879843628739,-1.3708700630339914,-0.3368691045412191,-0.03126082367186052
2014-12-31,-0.6484113927204821,-1.003594615034898,-1.0799842934976687,-1.8963983437232927,-0.14039166920561297,-0.9444640487216889,-2.0040265198054636,0.8478877037176731,-2.2515339490049966,-1.004631560500475,-0.9253697193509693,-1.1387589855329265,-1.2973094379278083,-0.44460831380474525,0.006758594626666664
2015-01-31,-0.12054407025409651,-0.7455905470421076,-0.6609270178487754,-1.2868144405181303,-4.57010934112611,-1.0317224087313694,0.4469736648956027,0.6344511730089408,-1.8714764424289578,-0.963058075535234,-0.775827214459641,-0.33709657968870255,-0.45100170205348394,-0.619169066281984,-0.012696533801210668
2015-02-28,-0.3291495518693714,-0.594706647288053,-0.40263304241803366,-1.2982824563670243,-3.5755674422902186,-1.033692713990723,0.3736515773882531,0.512202900401653,-1.658705993481245,-1.1221254758999306,-0.7377437281192655,0.725110381283925,0.07665645093338397,-0.7239722870499126,0.18520496120652638
