ESCORTS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2007-09-30,1.476692142111023,0.2690010442921925,-1.1053413921502784,0.43233632213942697,-0.2984194811490124,2.6967965656722908,2.3817554911169423,0.017316372499768553,-0.352653949526788,0.38291318270625996,0.17419577826801422,-1.0945899194116866,-1.032593871948303,-0.3107819926785993,0.005035679965615649
2007-10-31,-0.009204025366065283,0.521622805461566,-1.0772460237768917,0.2542380818102759,-0.6243471211771217,1.3530605165639953,1.144119418834497,-0.05116325000476328,-0.2427796545920548,0.35075847196496496,0.34893134484111477,-1.1091472955763872,-1.0092251074149932,-0.11815749875807179,0.24623200296060158
2007-11-30,1.6519725433468133,1.8583258325680154,0.26789292364408995,-0.06609170273057388,0.17073008737557288,1.3524322383149887,0.4992733410528988,0.13493751815326518,1.1589442939662546,1.386025849252278,1.910933695983905,0.06534807737026294,0.2566509895557345,1.7022490163148694,0.06154812503737204
2007-12-31,0.23351289497735753,1.0317473434761817,0.7818740671156628,-0.09208627877005852,-0.19100700845463392,-0.15975365669681912,-0.871496394913578,0.2523181970095986,1.4288746656835223,1.2841424857747292,1.6129601006166414,0.6698853002446001,0.7421650342262807,-0.12780856752034758,-0.6468509661904638
2008-01-31,-4.855634248736494,-1.7912430296123882,-1.9438156048039656,6.356468053792982,3.9362137655710465,-0.44514729253783214,-0.7973967468814424,0.4417517792802194,-1.4257505323110438,-2.2842474476912,-2.3298420570738068,-1.338204888136912,-1.7958648638547223,0.6334444949154032,0.22337854132821566
2008-02-29,1.1400410744782348,-1.6941518574574221,-1.2567903011355424,3.6229852635811572,3.283443754877896,-0.3031200647792088,-0.8660331902414529,0.5037197380348862,-0.47325910384159486,-0.9764227977740895,-1.115106872004376,-1.043349771492568,-1.1590033063365466,0.3022739628893961,-0.2163527513038099
2008-03-31,-1.1362954539976382,-2.583832564336563,-1.5437031768685034,2.5377155305325654,2.574504010801423,-1.0423072472010464,-1.152189116428194,0.5843292094159207,-1.0721485434301363,-2.0112035533225265,-1.8085967396352498,-1.1701497962839498,-1.4350234591992503,1.0633766830922933,0.18339060787006428
2008-04-30,0.9103066820480433,0.6098453296933074,-1.2995731294772408,0.5920041970794071,2.4037181910080303,-0.7685044686010142,-0.5389510332169872,0.5736164043939738,-0.3026791242768379,-0.9466532231040717,-0.735768038607112,-1.0538261763852537,-1.2062200202561215,0.7162244899457986,-0.08194673709277528
2008-05-31,-0.39889635127632844,-0.4185472590904707,-1.2396766894232667,0.21557577906404266,1.7650958586480074,-0.6498659025651771,-0.35805177115135156,0.5829688596926657,-0.5613715394120059,-1.1283070490375224,-0.6485103942736964,-1.012673073189075,-1.1528015465585906,0.6381934733622213,-0.2798059487754485
2008-06-30,-1.4266424579051415,-0.6155381826475913,-1.523003770784028,0.45306352191262056,1.5859907929803554,-0.8710756403144979,0.2510718544131985,0.6971281060083965,-1.5018926755833375,-2.6213781102522042,-1.198049567870003,-1.1556317707387136,-1.4367966724900907,1.2071154985812858,0.028190247614354524
2008-07-31,0.13183408642316288,-1.158694406521093,-1.3003137423598492,-0.18868639976691123,0.18497943622226587,-0.7918312455111898,-0.07035020519195664,1.115170739772596,-1.0498123367313523,-2.3089067076417145,-0.966714178811566,-1.2983058199745559,-1.2529129478389267,0.8892159979752906,0.09807983844511753
