TRP IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,-0.47434822804822785,1.4657952025780099,1.7967824657544864,0.9109743286309836,0.019373890709690138,0.12788950931382517,2.3586265887395332,-1.3087429686225303,1.480004900105091,1.5326110559574262,1.0420133559616689,1.3125261955026815,-0.05261962478567843,0.31003137352650556,-0.05098932481901145
2006-03-31,-0.8515714907563474,-0.4216226839759458,1.6816340787004922,-0.14615714536274868,0.41936392366474934,-0.19475734967577765,-2.202470400400749,-0.6853821433390324,0.2753707954818478,0.7248940951540565,-0.02405769991105944,0.8215120063228186,0.08349654861514923,-0.33865740099444475,0.05900889360122143
2006-04-30,0.17896474833290898,-0.7094289032476566,2.288168768098175,-0.4318928397506473,0.39343381467765326,-0.2030993682258527,-0.37441150030335646,-0.6183884207064739,0.3943559028218478,0.7306853139166714,-0.13187699176895656,1.2551304830556855,0.38769475992096736,-0.4269148483163247,-0.0994165330132254
2006-05-31,-1.3775617725107538,-1.237420112987898,1.0661540503852802,0.0020995000619727353,0.9305849191457414,-0.22105608189540524,-0.5161598109666482,0.040121757509830214,-0.3346874031208056,-0.21974460113117503,-1.2647980327431592,0.04732478131751734,0.16333267939438478,-0.3604793292402645,-0.06354170320432345
2006-06-30,-0.9627130171350338,-1.2891418964921062,0.3633478860567528,0.04507729949452792,-0.5831427505468729,-0.3685168694963575,-0.3043401490446165,0.43051051412762825,-0.8027122345884805,-0.78670095781048,-1.6291711320086903,0.582177640471565,-0.15453196805748007,-0.5025916910809374,-0.08528498221896359
2006-07-31,-1.1998674206153372,-2.0731950969889867,-0.5364722319380888,-0.9725737878085906,-0.9991152175343309,-0.5160393847512568,-1.0222235877053558,1.4227065670299768,-1.4038962210434964,-1.633749141112778,-1.9176981464492484,-0.025606893135856172,-0.9755468785179158,-0.4411042721759844,0.05583449211676124
2006-08-31,0.39707082988026815,-0.9999952810198977,-0.34754511341700234,0.07784558215907612,-0.5997908098801731,-0.44548571895803707,-0.684468536021319,1.0791466260658984,-1.0472537654467866,-1.214028485785733,-1.1305939172249564,-0.16971124765777143,-0.8590721246647326,-0.42887827067627704,-0.049621913892316134
2006-09-30,-0.8317549560262666,-0.8478645327127181,-0.8496703397279907,0.15299536613939488,-0.5396368425602116,-0.42328323887376973,-0.29541814201191985,1.6131719534246494,-1.302609577706636,-1.6057346346382086,-1.1713742052101574,-0.7789035166861755,-1.4281226761325156,-0.2984391439349203,0.07825457528404042
2006-10-31,0.6684394271409346,0.11537912444037966,-0.6605659337296568,0.14140406256652813,-0.3193521637035361,-0.45105716510185273,0.26778290065387034,1.054037343789035,-0.8284573664756594,-1.0410585378014068,-0.32138262026034775,-0.6764672008855982,-1.2314081518178286,-0.3591226912662378,-0.007184676292098872
2006-11-30,-0.30793381582674884,-0.22467489751615463,-0.9949290248604921,0.0258762644230376,-0.5389199289315544,-0.3902872813923972,0.3666634408582362,1.2287377747581214,-0.859371330773163,-1.1370063773851957,-0.23900375608511776,-0.9916037955495667,-1.5693620471349934,-0.26426306910216,0.08146795376970806
2006-12-31,0.710940287801395,0.5230469274331914,-1.6949038239212995,-0.3914044515480211,-0.3458070391073607,0.5922612600104242,0.7128604253447053,0.7314516676321707,-0.3732087426999428,-0.6316296559050304,0.33241935034626247,-1.9872425259944808,-2.3902933389342493,-0.1648272384076185,-0.018204967660033156
2007-01-31,-0.3939360035682448,0.009647980193772946,-1.9048600716572344,-0.2869232305314814,-0.8234957506708982,-1.0942926903937185,-0.20705193533914232,0.9815738882417049,-0.49757858993328385,-0.8278765595842207,0.033562831153930925,-2.3810206642859306,-2.469472055621508,0.013114178149190065,-0.020514541834601
