ASTERDM IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2022-11-30,-0.6319084944479211,-0.03635035335680323,-0.15446806702166713,-0.07552961618901737,1.136081687969852,-0.1808200658771384,-0.06980970699252327,0.2760696759622107,0.4792414207338876,0.5713748257796234,-0.19848246850953383,-0.4163201677483908,-0.014888365059316979,-0.3278718217010246,-0.02352043426395132
2022-12-31,-0.368636821548083,-0.952702007086774,0.27972292532066784,-1.6323084659457385,0.583898252601314,-1.0965434649244452,-1.3533453032160032,0.17945254622373233,0.10920783595738351,0.13665388207308027,-0.7144598841756374,-0.07544360976807064,0.5202719264293106,-1.0032955180499217,-0.08343805137248746
2023-01-31,-0.943768708117109,-1.2655074190866915,-0.6741962773717752,-1.1574432564375507,-1.2321661934507298,-1.3701364094058255,-1.4050632291113445,0.3308189178778179,0.07860679916902152,-0.7761980508353862,-1.2855083596531616,-0.36548999953867783,-0.5603367011459748,-0.7157817777708262,0.04708643348471727
2023-02-28,0.334056818307716,-0.6072843822241961,0.0630912450050627,-0.43684362570842417,-1.0811669081660795,-1.1024706764501282,-1.1943330600364217,0.026052239858655964,0.05136586706150373,-0.4231076702631539,-0.7983183571500441,0.3296311658104759,0.3482566855120941,-0.9116218957367292,0.07705244539646136
2023-03-31,0.5768805206988038,-0.02344988046816864,-0.5510300730163561,-0.09310172758618938,-1.6337032994467435,-0.8160135273853508,-0.22523650063833278,-0.8880147164915245,0.9448914083552725,0.20593876359349458,-0.02751144478635666,0.1522197377918351,-0.6903643791997135,-0.5934992776514995,0.025634542197607555
2023-04-30,0.022553259878128878,0.6233167625417461,-0.1063945349606605,-1.2414104899273428,-1.4442935833003323,-0.5118047809721838,0.9739570166179052,-1.2152256943668451,1.1937009759727315,0.3070325920590106,0.17655509792069135,0.5742773957982397,-0.31275100738757544,-0.5191834479215348,0.08682576213990914
2023-05-31,0.6316843774169147,0.8273683497299993,0.33902445482509386,-1.045626286595053,-1.1753817137093237,-0.36233530315889584,0.5824596601678516,-1.859968738705297,2.4226940548946203,1.1873189179051038,0.8009039053766587,0.8425478173962333,-0.09441910836361464,-0.4475781454117463,0.03949198477636367
2023-06-30,0.13872567875674946,0.5267501104226036,2.0062412021330718,-1.04383697264653,-1.3503036947879112,0.2760746416231206,0.7948142545894781,-2.483296765324303,2.4006595996756923,1.354165345362446,0.7991725962702851,3.9824547228833014,0.5889370174173145,0.21498037340056073,0.10942078408446979
2023-07-31,0.8267150544633796,1.059767338227664,0.4286053599741936,-1.0147637810231633,-2.327997327601977,1.6678012430029223,1.1377764905300323,-2.287355234239734,1.617177415266652,2.128284382566595,1.2340917916548124,3.9533627525113006,-0.5889458761797499,1.1543261453771692,0.05930652796563032
2023-08-31,0.3120063577570525,0.8355988971033812,1.271861815541745,-1.040937333366365,-2.150121659037672,0.2588957441954217,0.49233966459724443,-2.0841401786473024,1.1491646476946877,1.7740427707830906,1.082650744138221,4.769379093860028,-0.14833456178239263,0.055737713867123895,-0.011522262102404209
2023-09-30,-0.3308136834692039,0.5960321056968265,0.02547630578293051,-0.5050911019669534,-1.5303509117722731,1.6290745881519115,0.38236879220870074,-2.053548040525677,1.5796866370042144,1.0725391840973328,0.5557796890054844,0.7894269783016937,-1.1392728675957955,1.3602424765644903,0.005322801708706096
