FML IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,0.8264138393853182,2.01165239660369,0.4274461960087093,2.9272695729280107,2.4006159319191704,1.4242388841946312,2.0283651084417746,-0.5060698609810966,4.602515025956115,3.2712057049468486,2.2464095895520733,0.19678016752352898,-0.2792186209894745,2.280946665746328,0.04879016416943205
2006-03-31,0.23303664212186792,2.453848933080881,0.6284959973923393,1.0646557586803032,2.313324795696048,-0.43178017406891284,0.3303957699787118,0.1481964711770886,2.332854472687512,2.33553867121606,1.7017192658811844,0.295779477158104,0.1377469142530995,-0.25609183784485223,0.3101946100561909
2006-04-30,2.066991411089489,1.754096756636186,2.374483986028288,0.09112163668592026,2.657807725254197,-0.6796808744285769,-1.4488401085064004,0.06555238622169872,2.998740410991792,2.406210399678645,2.894245918508179,1.341340400819643,0.5900819399267749,-1.4482729470998146,-0.05360312467444115
2006-05-31,-0.6237233784504589,0.8877836662576328,2.373733632229185,1.1142924615697678,2.5287554876348,-0.5539969180111823,-1.2391551234563603,0.19777806674337658,1.7840391715767772,1.5800672333465267,1.1582500395595259,1.7995104386980618,1.0684406365217927,-1.0962214796576462,-0.3270431463323612
2006-06-30,-2.7236964742069794,-0.798370430615347,1.3225381253052186,3.584592681883855,4.231197978168417,-0.936061863307405,-0.5762349759427147,0.5479664147177561,0.37769584843331777,0.38122386047577655,-1.1814217987792417,0.712084692389355,1.5462587726089543,-1.4746877599431614,-0.28391787639766336
2006-07-31,-2.035441174769712,-3.659584876992789,0.32599365706011796,0.07651473918430374,2.66524084490274,-1.3039751563138577,-1.8463603663700474,0.9999112560899484,-0.4478687809967296,-0.5233168917186927,-2.4575945891017343,0.12607935499508158,1.0844853564232233,-0.990033708796395,0.07425512963413197
2006-08-31,0.28310316260161916,-2.5757757593375703,-0.11538216947390062,1.203555183473972,2.1316602235596154,-1.0797278585161363,-1.6222648867268605,1.077986380005774,-0.3164955277213512,-0.369318042426568,-1.9077911075434735,-0.1882056715624621,0.49992033295201566,-0.3673616754546746,0.08319705269501185
2006-09-30,0.36199201149474186,-0.7454973916546342,-0.11287684891084711,0.9458128278137377,1.9342929743330255,-0.6851033280389353,-0.1489575761794335,1.100017232094302,-0.14040134976239133,-0.18708542809810144,-1.2743443680463804,-0.1936247460500213,0.45426198456486083,-0.2018262977774062,-0.07378943487420356
2006-10-31,-0.5825465607787637,0.038319105687729775,-0.2707667776514216,-0.9451534094186073,0.39432110261298714,-0.6317113641685409,1.0212726424223892,1.350601775850184,-0.4027448964111042,-0.483047106688844,-1.0354104929572365,-0.2191353357550553,0.3124433383966863,-0.15659414915945066,-0.02941055774039151
2006-11-30,-0.3280901702345226,-0.31817418547507964,-0.3803031753625337,-1.002981062539717,0.3980668615538762,-0.5669315653178958,0.9034670963540418,1.5503652516636377,-0.5317329823021388,-0.6394591166512348,-0.6229788885703812,-0.3389367822070807,0.1902216105702428,-0.09021679019889219,-0.07630920449451964
2006-12-31,-0.5785123804889194,-0.8599747541471345,-0.37127646688156196,-1.7510435916720062,-0.48363892513454126,-0.5391967409664336,-0.2348639402367179,1.8122074162623085,-0.7630099428776619,-0.9286543890285242,-0.6904220669358774,-0.21829404700206895,0.23258695469299823,-0.1543990701305365,0.0006193101083558417
2007-01-31,-0.08544289369316843,-0.5624118850318217,-1.1958889931809855,-1.4342752990752414,-1.8017548900560227,-0.3783608860054216,0.06240696514570498,2.042100289466318,-0.7915593654009488,-0.966288395907378,-0.6321842858901007,-1.8019973964994027,-0.8748206691156871,0.1934938241172296,-0.09623928885564603
2007-02-28,-0.706971658464826,-0.7686913417156899,-1.571386020976764,-1.1769186487475018,-1.742724073684699,-0.010074218331262262,0.2996673416384251,2.512190495268335,-1.0413453329060436,-1.322374291270572,-0.9111628721357063,-2.81222170856767,-1.775585570740749,0.1085526163688858,-0.16103640894175944
