JBMA IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2014-02-28,3.870371859853066,2.5009201418279967,3.7203885387277986,2.1954039374562715,1.5023108612332283,2.4376397694452816,3.2313612827050178,-2.888359224957702,5.143234077707882,3.1703066100802406,4.1615798108604825,0.9575385173638492,2.2904705329946333,8.03023505583591,0.3872445619946363
2014-03-31,2.5675093463017458,3.9298765906106388,6.751676897749305,2.1598547280151092,1.6066686898344258,2.1984776702623408,2.8637198288767833,-2.1368017579458716,3.3439955178954412,2.963344604890027,5.335581841761901,2.21255190766565,4.810371559983826,10.098451800263055,0.11353072591785314
2014-04-30,0.4772747775660953,3.781967690035685,5.855025446335637,0.7228491816068146,1.4763652664985665,0.6166708118336477,1.7011549079439,-2.09031462092738,2.881074949184796,2.0354093913350506,2.909869677310369,3.063643364452007,4.475622947122136,2.431442046169146,0.1934130171558665
2014-05-31,0.9554392107162066,2.0324057640549977,4.506873239773518,0.3165984459947793,1.1528618239046757,0.09425066755753532,-0.028161324797298878,-2.0820140968426597,2.6918810298821687,1.673345665413342,2.3612134524415658,3.421330368664678,3.215968525558736,0.9560387788554227,0.5240571585442989
2014-06-30,2.918256586330203,2.227020783528009,7.368064167697199,1.1088978590863792,1.4629870077299312,0.384776530448814,-0.566352927096846,-2.2002184491865724,2.868221589547703,1.6738805224436035,3.6165096394105425,5.5106750182925,3.406948996872212,4.686659149693476,0.17738022493612035
2014-07-31,0.5658279069533865,2.121099672560293,5.281153044170453,0.7891880883839921,0.5626654877000841,-0.3480824764635593,-0.6614134129029641,-1.8204777140573636,2.05868132542549,1.2852544538982076,2.098180310278408,6.764665702000312,3.0008812733970966,-0.8345183250895396,0.48859900835137376
2014-08-31,2.168110632991108,2.644879166246484,8.946037412888412,0.673433556861874,0.6287156355524434,0.014505637635295183,-0.10659734475358476,-1.6275786161483192,2.007475510836178,1.206248937113952,2.6763872970279485,9.37242576779615,3.8612987008988706,3.5698265919900445,0.5301998778494325
2014-09-30,2.0943066335307465,2.239695750042428,5.325482703756363,0.6334381739266809,0.8354588305234201,0.4149167906867458,-0.10554512549361074,-1.413634136755115,1.8322315630051758,1.093954598938729,2.946836715063831,4.778049968426877,2.0365326042346017,9.394777702923365,0.07273647640941573
2014-10-31,-0.19952581461860103,1.7202008157707651,3.0424815338564373,1.2391414633511337,0.8963906826789935,-0.592447453941306,-0.2215484522220252,-1.173503416151042,1.2635427529379208,0.794537098541031,1.296827808809776,2.721830308626694,1.3960871889231063,-2.9294965948320866,-0.3140679013143736
2014-11-30,-1.965352616975264,-0.09893675726654458,1.6425192572246397,3.013808342275072,2.60016210771737,0.0696661267513179,-0.02139922208839179,-0.9482521903632993,0.5882745760993072,0.43075289536126715,-0.37057108174516257,0.7150431423222121,1.2463330133146784,0.7506958559329893,-0.16599831175017027
