JUBI IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2024-02-29,-1.3965297278004132,-1.1078412395736803,1.7617062288191356,0.014280120646958923,1.6142429967515695,1.9403241512104294,1.330647551791181,-0.9754223368925282,2.603522637199601,-0.8517701995645455,-0.857070041943885,1.6883405699582137,1.55135779602642,0.3827485835841196,-0.03298025555500047
2024-03-31,-0.33380634206084625,-1.4226498175539335,1.373357321169785,-1.0569125505107975,1.1190980802863797,-0.2164341135683718,0.4333048032346599,0.6490419207403816,-1.4628450620593292,-1.0767501428873683,-0.9656892790298527,1.3927921026619845,1.4065634692019018,-0.3730520228188073,0.031470170056087994
2024-04-30,0.5608632398487626,-0.6518606566026428,1.434534938644394,0.4938005734615663,1.1218968854337306,1.0309441964098933,0.46447046673969045,0.5458640494222186,-0.8023847984011612,-0.44549557682165464,-0.6344042927804254,1.4107754447133807,1.47131540729273,-0.262497332572873,0.0643765909291371
2024-05-31,1.0476296023278735,0.6616529176557471,1.228080013170659,-0.595074127177284,0.07017497642227456,3.1793692381063856,1.0119829465283707,0.3618147377078972,0.10551497854146231,0.5399120686566898,0.24124326565382218,1.2673076654517024,1.2359123797213085,-0.05728623070405576,0.13118806212443132
2024-06-30,1.9537050555640583,1.8746035468703162,1.9554450162004522,-0.48390682228519644,1.8365001020153076,0.8154117501670293,1.2951131648311376,0.2502350714504852,1.6840859563523596,2.295994560056579,1.7718540502082278,1.7061757866238798,1.926490216593539,0.18831920538581698,0.06120407323311937
2024-07-31,0.7827194014201875,1.8877014349696675,2.6820795719515385,-1.0396717454181321,1.1503277910628202,-0.8248296974170285,-0.9437863096824358,0.15245742306193513,1.5597298012867138,2.6445013171140745,2.020900139168031,2.3250178302389206,2.525856689314716,-2.1786475717837783,0.08250614232963292
2024-08-31,1.085601311058177,1.8129877491628927,2.404264700344169,-1.140082787380974,-0.9265970909594098,0.4517109831814647,-1.1908523999542644,-0.027719816260538276,1.4513710139204172,2.991762110600559,2.0655178823762057,2.9026369149547766,2.167736836975677,0.3524800747084457,0.04744922465150121
2024-09-30,0.6369573402600546,1.1440607988242786,2.130514835826293,-2.0494506649574515,-2.2076400865912764,-1.0083394212731382,-1.7696711856307292,-0.274688192165802,4.5216489647037275,2.7207503398595265,1.661402607338511,3.6011946260766674,1.7874797043815014,-2.5806594513822003,-0.16877535883071595
2024-10-31,-2.411167635409333,-0.3053509376339563,1.1294106336808831,3.9906508362618704,2.3701492787115446,-0.7818044935436252,-0.15636861705646965,0.2777594658465057,1.2775602562516817,1.1464093543849119,-0.3540417199194517,0.6918793505920118,1.1359362639630035,-1.133179449446833,0.11244473819322247
2024-11-30,1.4409502891361508,-0.07952472113695788,1.0351701908191817,3.428848658387657,2.284605279219295,-0.43377853357285956,-0.8499543211803281,0.009944158230337403,2.343840523237157,1.73713192863629,0.3130645955890664,0.6177277679080447,0.955319538460751,-0.7012543983096025,0.10805643622715821
