JSW IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2013-12-31,0.459619918847366,1.0173755872558894,-0.33356998993591475,-1.9179139677771229,-2.3100561294720476,-0.4307609749075273,-0.09941585863546437,0.562621003649602,0.8826853425923434,1.0431368728628332,1.3558360847171982,-0.715223250790618,-0.29245426017023385,0.41350947671244714,-0.24689550814287078
2014-01-31,-1.6561500370717352,-0.3020105491610149,-1.1396005778032292,0.6540581850187558,-0.5391447256375522,-0.8916374841400229,-0.24435998417518018,1.076275078897109,-0.7720999524193595,-0.8038136107747653,-0.4679887395831777,-1.230051928267921,-2.4866500974863026,1.6952625545783258,0.13154529465289322
2014-02-28,0.92943293560453,-0.2016198606743419,-0.0875303058241795,0.8978372115008423,-0.48202332305268814,-0.3810140805277269,-0.09364696881451567,0.7820810458153673,0.15984568223916737,0.24493218356518853,0.13791375669931177,-0.14501861982011435,-0.015420600359578691,0.33994475990890316,0.16376070290954714
2014-03-31,1.1762103173923621,0.21837807460396905,0.4359853664437235,1.324434295760086,-0.2902161269298309,0.5095303214366863,0.39463874054479203,0.22016746112237762,0.9964606236394444,1.5042865064586557,1.047091980532091,0.37558467471339435,0.8080817196838561,0.22555754108972892,-0.10021671193848425
2014-04-30,-0.6500643982502797,1.0386328773468543,-0.49973305399747064,-0.06054334680396294,0.13050496549457508,1.4907736242500917,1.4603443301497043,0.2586697025349367,0.19639468422298886,0.600820325140782,0.15361691706590555,-0.4826027141455869,-0.47470391354339264,-0.8519228267792367,0.31777507483188294
2014-05-31,2.1488715894994344,1.8438816887358185,1.2086460708270126,1.074454604617483,1.6313306953215254,2.99140732110127,1.5096504033868774,-0.24538592026931522,2.6587785360900824,2.648252237528678,2.1273559809427045,0.8583911031796625,1.5569162010350768,3.842068960704849,0.13565066608333784
2014-06-30,0.7280317045872507,1.5619439820751393,3.246005707260552,0.9587620475012494,1.8292765058833327,2.0321754812480677,0.8654533871409787,-0.4839929672655149,3.1106256108863315,2.6834006114618116,2.3549849205876656,2.2784468548139087,3.0875632000144053,6.970223321512377,-0.11349467418612937
2014-07-31,-0.8460763938060767,1.3557665801763865,2.2095511592872508,1.047473370910645,0.49113380945822754,1.8367033198529386,0.6116237859563433,-0.45280796795544165,1.6081403491475739,1.526283068510367,0.6047884925263268,2.0767233466321144,2.416850676888753,3.1973940089498947,0.00991088389945396
2014-08-31,-0.04596365458434233,-0.11241802926729609,2.3834341780034562,-0.4751046467869247,0.5144094249865253,-0.25775253815666677,-0.9906936273908193,-0.5689959856860939,1.4156733083917103,1.301522839049054,0.21349935416277996,2.2366701765950103,2.4657730088038425,-0.8805183476837196,-0.07294544580277466
2014-09-30,-0.5959617939711076,-1.0368461470467452,1.1600517669170323,-1.4404769267135291,0.49661628514314504,0.5582597920978563,-0.3695857529204501,-0.5801689744769167,0.8663687405131136,0.8158905028572377,-0.4290109034138497,1.0976186571876136,1.4156426963643698,0.43687759122031017,0.12732404805018874
2014-10-31,0.8138762233403461,0.08533780813648649,1.3536718867573985,-0.7358342980028693,0.14944294168006558,-1.1033081908372533,-1.705676709217827,-0.9182781523248781,1.5013032627528056,1.2182442401899798,0.028465984327734412,1.3808574667353548,1.3682822618955917,-1.94201207661561,0.15752516131728792
2014-11-30,0.9829816319551054,0.7728382449874899,1.4476761819648072,-0.3051318774175425,-1.5617956312382117,1.3169669310108778,0.9915384366067599,-1.2949239958568146,2.0904399416157116,1.545962521975724,0.8420678401295177,2.1544822193434867,1.1974811245300618,1.9117519658960065,0.0890040711063401
2014-12-31,0.46697463538315764,1.5292780067031275,1.3906153374706685,-1.6646955629397424,-1.6943667540789162,1.7135869118271296,0.7855166891654899,-1.5517448073620204,2.056324109206873,1.4987150503371915,1.190422013723864,2.1060711858321546,1.0282398678693991,2.541321857075127,0.1639048300077234
2015-01-31,0.9586335171170888,1.5727109445351042,3.4380860095952586,-1.4943661752148232,-2.1903942930981546,0.754356137496628,1.6037200773688138,-1.8719674896471947,2.2028012645673987,1.5970406339119216,1.7326235523027003,5.657295495146524,1.9190123858855734,2.566259485796148,-0.05388365924874241
2015-02-28,-0.4877472402019349,0.5820557530893152,1.8620761081608665,-0.44878683063994473,-1.5731391168335624,0.797443462407785,0.11430304535497704,-1.8438123582590296,1.4616405925361968,1.14694284135173,0.7369939526518238,2.1636831356548387,1.2660501128280064,1.6270873037668792,0.038482730495924454
2015-03-31,0.05085418317326993,0.3214925094747893,1.1989168560396186,-0.42017389174619185,-2.1606430865421324,0.6474619056196593,-0.25263816618489077,-0.786902262021256,0.8754703834041224,0.9765238500466593,0.39917504124664616,1.897035926638628,1.6991015174239708,0.9270051348649472,-0.04022793163695509
