IPCA IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,-0.11502619243241612,-1.3035976394573976,-0.8024661494448071,0.1757661014622123,-0.8548595207211739,0.1877276306369947,0.04272081774192702,2.3623731250956395,-1.6323955775354861,-2.8662809105316764,-1.3819195558173836,-1.105734914752087,-0.7780671850372572,0.12417342394067257,0.03835449777622591
2006-03-31,0.36204340103608296,-0.9320506871018319,-0.4381778705580153,0.6735582566031879,-0.5861431277799904,1.022078214285009,0.8549548736560723,-0.4807511382390654,-1.8529843780785171,-1.9646296402362406,-0.7205708223978993,-0.4786005290576767,-0.4528721791810516,0.5045499630126724,-0.06021492810128391
2006-04-30,-0.6207216265796249,-0.19799653398117323,-0.6249217837087433,-0.9184937288145324,-0.6590150898672901,-0.3594660698575336,-0.045847141535964864,0.2628452309198888,-1.7581624370644666,-2.159239139088597,-0.8585788335587369,-0.7907108967942726,-0.587297192851824,0.35586449127427056,-0.030119056036019387
2006-05-31,-0.2952679229226099,-0.2949677783861558,-1.0077947153441404,-0.8229018602988967,-0.8041224993927686,0.30094320159798627,0.01733668106245571,0.6709701221807868,-1.5447239788993483,-2.515896157375086,-0.6893502451253462,-1.14090200307599,-0.9028421232968754,0.3221371850004907,-0.20344799285574716
2006-06-30,-1.9988011964392007,-1.5483467155100348,-1.9463072551856428,0.15546061341712722,-0.024533967193919128,2.2094478575500114,0.5658958390353672,3.4742321518287134,-1.8209438870162309,-3.9250370806455632,-1.5052150379328895,-1.7895801480142912,-1.9722063246554125,-1.491561518219242,0.22352588739227597
2006-07-31,2.090899964927292,-0.034864110385582896,-1.7485037131138192,3.119268544316467,1.4231306996453226,-0.5552033603032417,0.0350262829421104,0.3034110937458538,-0.892840575940479,-1.350970464596213,0.11712859143609305,-1.359145033563748,-1.5823811482381633,0.8069687430996499,0.17104516872602
2006-08-31,1.4292932083328906,0.9615996445811579,-1.1604695198459196,2.8944652144125125,1.9413275499938625,-0.5782986510795952,-0.5939206042568611,-1.1783973970022723,-0.20043846266568452,-0.06589374316422855,1.2671712245989986,-0.9200643832723618,-1.023399105491702,0.47903234078595347,-0.04966683699457628
2006-09-30,-0.47168021073836186,1.6655150994099994,-1.173193308697034,0.8108573364480391,1.841211129750186,-1.3288257802527375,-2.2362718024822454,-0.5513706259452629,-0.29052141801976744,-0.4410808271214458,0.7028414268749872,-0.8974416666402267,-1.0573808620633152,0.9701695503263696,0.16009182611716663
2006-10-31,1.2585189495501665,1.2432650138612273,-0.14061645318636723,0.36350619131412204,1.8987587378633555,1.4156598656305894,0.9139634103803321,-1.534595737644439,0.4368775888367186,0.6939311364982906,1.5772067644789804,-0.31469712292910895,-0.1781432606724289,0.44621491659281864,0.10796501392058369
2006-11-30,0.8052382843420496,0.9071358132829046,0.2372009822703093,0.029198056050461704,1.6054277670703747,0.8577811408830658,0.8505660556845412,-1.6958669699924362,1.0734957377043741,1.2755643982995606,1.779724393206875,-0.07125628581779533,0.08282013361892859,0.673360728719152,0.21486408399382018
2006-12-31,1.6204615058161491,2.0969637823342477,1.597223392990558,-1.0888333364330653,-0.5366700175552681,1.2585617273161473,1.8391348349035972,-2.015537199341295,2.608446672478432,2.143920527000695,2.3142360795993815,1.4904227083646024,0.8036967315705392,2.965795896460213,0.058104935443979454
2007-01-31,0.3588125735452076,1.5257341969377904,3.3546275732936404,-0.5626951069824699,-0.84377015061558,1.1249884743610172,0.1378538425868937,-1.5445925605518553,2.8092188697262435,1.7739382946202553,1.7105138794015815,3.924798650274955,1.7654273330413333,4.822819510664482,-0.02506717027170436
2007-02-28,-0.35260645048528544,0.8567912266173627,2.6990681561230105,0.2905916279839324,-0.5389615203639123,-0.8755361716918035,-0.7905985565145643,-1.0546849747404894,2.190485900515767,1.2433858450804698,0.8332000422718545,2.73002220834464,1.7789636720985067,-1.9011038520797874,-0.027205873278817506
