ABCAP IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2022-02-28,-0.5640866949268533,-0.14056221840643054,-0.6090016346031956,-0.49062154303983,-0.8082610011234702,0.5050076337051839,0.3270595307116775,-0.5285221224802563,0.6408584929539389,0.3407624671762344,-0.33018639540388994,-0.7631387102764886,-0.3686952205191357,-0.19354716697048885,0.019700449516042558
2022-03-31,0.03424671744431183,-0.5070467925933194,-0.540950102621519,-1.047307066763159,-0.7896685144534713,-0.7460652287462088,-1.453617712393833,0.6040395789817614,0.155016722382463,0.28848797224382966,-0.23556278141246165,-0.6880111226166497,-0.36872925664477313,0.11244195912864834,0.11566488333911983
2022-04-30,0.5136624603353743,-0.11854691893020744,-0.3620940785711008,-0.5080459578342206,-0.9173576602342415,0.7774400472866793,-0.4947726174294755,0.5294186523312694,0.4987539089357388,0.4643133717650357,0.05111379952556847,-0.4527056408170375,-0.15873851074955192,0.14459842888177843,-0.17843998112306636
2022-05-31,-1.4597945163792219,-0.5966820881113429,-0.7348073593992909,-0.04931406361830554,-0.5800198728515857,0.1743922249762359,-0.23590657328049403,1.856445998028552,-0.5550358951084603,-0.2570524311123471,-1.0490242300148374,-0.8176819904507878,-0.712802512716629,-0.11757622125531268,-0.12298944384695715
2022-06-30,-1.0262149393491806,-1.6272528685823997,-0.8875426037367373,0.149616120175063,-0.7164855729658082,-2.244656323211344,-1.2066917381452928,2.6907820312313637,-1.3652310332050963,-1.038520324641561,-1.6896580061448248,-0.9853026235484438,-1.0764802582295847,0.8945628832629373,0.17361485946677754
2022-07-31,1.121951264105963,-1.1838628061555987,-0.6566774735564287,0.5984787809113886,-0.1766547753382962,-1.5567645898147513,-1.7300186953973218,1.4407146141713478,-0.6089192997658609,-0.36534581386903725,-0.3906722318935806,-0.6700363402707055,-0.6063836648383838,0.16194657075601082,0.07165348812806799
2022-08-31,0.30932340220655036,0.25398398707258696,-0.46362871730550254,0.15017155182353129,-0.1499083024041599,-0.4869400078763806,-0.5637462748117948,1.1071144459654494,-0.31777070586323464,-0.13279821800534988,-0.001201615286981911,-0.4929089125023919,-0.3235330247404678,-0.11068520660051101,-0.021677469053315374
2022-09-30,-0.34173406978362686,0.8671001705727102,-0.6055417300762496,-0.5258150037682484,-0.01367623330894584,-0.44389734329569636,1.1970752054383347,1.23806041428027,-0.7891945371987552,-0.5164459596081915,-0.1758587627319721,-0.5966773113665713,-0.5318023255748756,-0.06004343339830557,0.04417950026386822
2022-10-31,0.14128561402175083,0.08631952270389864,-0.28177355270234994,-1.1826416893171448,-0.1589559033552435,-1.9351290459587485,-0.8362937242717442,0.9866575634035387,-0.6042084786854436,-0.1796220007621475,0.2043788292145711,-0.3062179734965442,-0.06311970641610674,-0.9023401249180287,0.21825356602001797
2022-11-30,1.3852766773737812,0.9243678054163682,-0.11181231584213534,-0.12942411562615194,-0.22580534779837086,1.173204765128284,1.042643509164753,-0.06635202463792642,2.3735582346907944,2.6948185886435394,1.410730601519904,-0.1365246573851401,0.033914155086962994,0.7941874843237007,0.03282311232514936
2022-12-31,0.09149239557564978,1.310890503980798,-0.3528340311583304,-0.3821219770829697,-0.919641998695228,1.1667439713639685,0.943941614104681,-0.2126685289837694,2.232565051394643,2.3083843850519505,1.0305351857689835,-0.22903833702524512,-0.25848944004343805,0.45801652951622607,-0.06179041427089271
2023-01-31,-0.6481466548222228,0.7032073683023308,-0.408140618608089,0.1954132304000186,-0.7318047730652149,-1.1705764722863636,0.5858274981958167,0.042667371321301086,0.9964863251126106,1.229474167823302,0.1769891288127078,-0.3098186585900082,-0.2943317662824738,-0.6209488196221912,0.032401371254588814
2023-02-28,0.06914760328538307,-0.3780996747420755,-0.1268330562139228,-1.0143929211291087,-0.7035021007256461,-1.1460866940617978,-2.3223393143198487,-0.170271256300387,1.4387825683346556,1.2613308688169322,0.12411347514619397,0.030675565888758444,0.025081761221503688,-1.0967887530462637,0.05144755057310109
2023-03-31,0.4418646751581413,-0.19821311315790272,-0.03306333425276395,-0.8712967724750496,-0.7511808407900822,0.5301177160906533,-0.5769486750509139,4.215033059187361,-1.2759815999484663,1.5034993758781565,0.3121292925706427,0.16160962780391036,1.5888914061139845,0.5316289224532371,0.08516445376376974
2023-04-30,0.7403470966794412,0.8640493688005889,-0.006520443914216996,-1.444299129555352,-0.6735821232722106,-0.44451871871905585,0.44035597489857464,2.0585068030341453,-0.1921971691970591,1.801328762772034,0.7198761225895103,0.0982728592464692,1.2895201938693632,-0.5215696486502013,0.01837088701804143
2023-05-31,0.025792923742673945,0.8934990323063481,0.750512938703691,-1.364963098485966,-1.7901422901638546,0.47015722059180665,1.3986071909370987,1.4452570906445026,0.08050639955337198,1.396429839486342,0.6322851496555731,2.0900792507051014,2.9215532054284967,0.6780504087601746,0.1420825136137728
2023-06-30,1.2667331644253534,1.486154923743782,2.4547523405504212,-0.7266708259875939,-1.1377487588416977,1.9988979218783987,0.8014808000150201,0.7354879535620442,1.799710914302594,1.9701575661894692,1.7157656734776512,2.582360539842151,4.44204799043478,6.4838866407670706,-0.002550371186005386
2023-07-31,-0.23165512046396977,0.7416286792803571,1.3298030575137068,-0.39958542032897265,-1.5903269977974146,-0.08470906193739583,0.5198644385451966,0.5802006493408826,1.4443768100398162,1.466725326466397,0.9287358373617317,1.958270833973873,2.0468315176281653,-0.40928549910506207,-0.07776831275532375
2023-08-31,-0.9620938384390733,0.029109176501343564,0.7504217256286044,0.2788046429573727,-0.7734232927203383,0.5701490748962662,0.3592510672183538,0.6441366379362629,0.40199728509136007,0.6664318992092595,-0.255731706269889,0.4592100298587144,1.2304841819867534,0.4140605282280172,-0.0066463828160466185
2023-09-30,-0.2720735311227329,-1.0844502495189592,0.853876342015061,-1.33938869358964,-0.8295670397313092,-0.07367162931082064,-1.0529679372492016,0.498736587127239,0.2681585043243787,0.3861937091589851,-0.5957105320148287,0.6049225902881682,1.2462975108046441,-0.3311626668641066,-0.042571695142189815
2023-10-31,-0.5973206763037928,-1.33800442986793,0.5193581363490797,-1.4506572470128851,-0.995940714418749,-1.3098160702895263,-1.029001537068891,0.46619514928343314,-0.2386176770676711,0.018119202563603325,-1.0358813791033727,0.4314185365287679,0.8203122879453133,-1.49055995099698,-0.026143359979590965
2023-11-30,-0.5119071342292766,-1.0157400088030537,-0.39790003476241104,-1.7058446112133747,-0.9638714327523639,0.054318570862063625,-0.3966115900032964,0.3928495299427304,-0.5376823848952355,-0.2687122924910426,-1.3462375600600018,-0.36630630732026775,-0.23181892712492883,-0.2142281814367644,-0.009569451016150672
2023-12-31,-0.2857479614171,-0.9922186961195292,-0.5250954443090645,-1.5679237156109778,-2.692381652808981,1.3530898024863598,0.6489690992417254,0.27095632054943264,-0.5640346972106822,-0.42447033757754904,-1.1149120033066187,-0.04630923046683842,-0.39628062407762615,0.06121969703252184,0.02785365251103956
2024-01-31,0.1661091972816448,-0.4334559956181319,-0.185380769572638,-1.2122064246991362,-2.0210241191335365,1.8080217596956052,2.1641429587048586,0.01582207957491711,-0.2194906958736423,-0.3754542506080946,-0.5542800475007532,0.3590983066998418,-0.06639829994384241,0.5809675762479011,0.07078359136752863
2024-02-29,0.5949514868769626,0.3066248566895361,-0.020379261551222487,-0.8720923061007084,-1.6249177710749263,2.2396337730972413,1.5106182166133004,-0.4089497822781364,0.5038482002344817,-0.14624207857766147,0.14001932894277572,0.4219004918107494,0.02163329265823225,1.0655388663277785,-0.04596269232759369
2024-03-31,-0.7716194674336767,0.012162926695485533,-0.4196354123485801,-0.4328757479510032,-1.3316683422830182,0.5012960151053049,0.12507025116365594,-1.7985884323355115,-1.9937401456334665,-0.5068366825517303,-0.31660181377715113,-0.23750944712758995,-0.5116271605950182,-0.05205375605903149,0.2770787348214936
2024-04-30,2.834420781142397,1.8124497591422057,0.27756722185990423,1.6211807260065376,0.9306646100911978,2.4393196415586806,1.3677548440917853,-2.279216951706884,0.6865123070547522,0.6311281963957646,2.1189486122160006,-0.25552060865109877,-0.22185661696772083,2.007165815743937,-0.0331716300726017
