BDL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2022-02-28,-0.8604213907640469,0.1354573522664077,0.41685978932333195,0.9952578613245676,-0.13722089679125174,0.9561113534396103,0.4986064959263783,-0.4472442029024518,1.0848893304230844,0.5431398012371073,0.11971944999652326,0.03421331468717795,0.21081219102085544,1.3023113892878961,0.20349442883677624
2022-03-31,1.2209614904894033,1.142120836046998,1.7217293743968778,0.9202037018397462,0.086408875895804,1.610340153824574,1.257209549401885,-0.005495393314664375,1.4618565107093582,1.2679347146841211,1.0590453104060868,0.6836987348734869,1.3547214212508951,4.389933408014306,0.30902558156547116
2022-04-30,2.0934622417658586,1.3628414020289996,3.743932665344198,1.2706344267367193,0.6095942880839624,2.175360672718441,1.1813517195021541,-0.19322514650928593,3.056993709714147,2.446036506513607,2.817799680022609,1.3373955560237267,2.19380143711464,8.56894603949542,0.046304930903439054
2022-05-31,-0.03991990153774726,1.9360233585053452,2.7651766290990496,0.15557945206759285,0.5885412445086633,0.34964537485794883,0.44706795605974964,-0.10889122768549915,2.2760963620358625,2.1061105629529737,1.803206201856741,1.1574963666098061,1.8347106722270263,1.0579130612505097,-0.14003122804868243
2022-06-30,-1.4069150078459272,0.2869875537285018,1.6131112660799358,1.9931943897028823,0.879189970247174,0.41406596519923544,0.1984726212068585,0.42173974587963187,0.9482036261076311,0.9697620530968754,-0.07927039806769715,0.4635397853177979,1.4876176666574863,0.6814794513262938,0.17526070520202502
2022-07-31,1.1674070531245613,-0.22933287874807454,1.5448102464322582,0.6675324243085473,0.8180271865562486,-0.38654000452791415,-1.2300665386609266,0.15778131005592635,1.4646772922947295,1.269151534624533,0.6677257302349151,0.5364089184624019,1.0289483274571458,-0.4845507611082425,0.0074130779597144205
2022-08-31,-0.18795052248775587,-0.34698152146848565,1.7983710153189862,0.6372866532779723,0.6102290095993974,0.10146669519493974,-0.2662787401024768,0.24659148663057698,1.0491988936235863,0.8904899822622468,0.13403652177879818,0.95192812991085,1.3056984674830392,0.08206442499037349,0.06733175508958049
2022-09-30,0.2943218829487826,0.8975002341240267,2.1263530853696206,-0.5672742321675932,0.589618849873851,0.9206681369457287,0.1950964804719429,0.19808278937755633,1.0090670687361516,0.8313557516356839,0.185607828647915,1.3895909413765337,1.5329490556915901,1.356369022233124,0.09110696142889942
2022-10-31,0.4277212940750004,0.35006001128677233,2.0538533640040177,-1.2248967964204611,-0.3389774323831748,-0.30437957428996065,0.3044933600029611,0.12747276574069047,1.0398081059359334,0.7952698302031983,0.5653913485228281,2.632757993856145,1.3118020064787654,-0.5238137466550901,0.011208087441744334
2022-11-30,-0.34992068129369597,0.29975903872255294,1.783764064672847,-1.1657072537509103,-0.26077904717506606,-0.5934662418668065,-0.3956799052516453,0.29527933217201097,0.7360184915698416,0.48144094941001453,0.2651933132148203,2.177056792747477,1.1676727149578583,-0.9326655497847187,-0.026032519152295368
2022-12-31,-0.6495232507685507,-0.4321150871804028,1.8016768614621397,-0.7593904368442665,-0.9601682577720256,-0.9950221697229711,-1.3884841772719978,0.529579815424825,0.3364071291317758,0.09625155147713572,-0.4762421041242983,3.705699100978007,1.3246410526392578,-1.575516966710084,0.0013337145922893412
2023-01-31,-0.37234430404224167,-1.0634431538794007,0.5175307840933362,-1.3873075254520673,-1.557607058152775,-1.3849866195024942,-1.4315383186088326,0.538423943293503,0.11817953468529341,-0.13135924473505917,-0.7073607478043206,3.023322827089977,0.18460578325259314,-1.4447192361173729,-0.011554180435142617
2023-02-28,-0.5028508084212931,-1.1534344024293515,0.8609552001452907,-1.390332189573695,-1.3667779547748071,0.2542008583514429,0.5618022920214637,-0.060731654880116406,-0.1447094623261816,-0.40219221051675597,-1.0079880313323528,3.0488292771349244,0.5411970136926469,0.25528195980102325,0.05637932200746969
