IH IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,-1.0592631620009891,1.1155592948886905,1.0777448641221727,2.946144181719011,2.0328823956835667,1.0134904158525915,0.3715429927906435,-2.2394471366543214,1.4056163746011017,1.0657998580899126,1.1630767895726881,-0.5127182736809947,-0.16640729577597146,1.7293892772948232,0.0858667587708907
2006-03-31,0.4630023580119263,1.1063824586841413,1.305813727503734,2.5409392156123647,1.8195661754851264,1.5529027508798974,0.6187280662463782,-0.7881715122643232,0.34593591692423287,0.8507762259955135,0.99971924935747,-0.3758173886753367,0.9888082394391825,2.5882000083756123,0.00413205563960557
2006-04-30,-0.510569654723255,-0.5643539454752753,1.1755166582335856,-0.009083959915492231,1.6772787184128066,-0.6180967286853962,-0.4670890860520381,-0.6924845482668358,0.0698633198650922,0.30492658066104933,0.15896708501848344,-0.3904131404861111,0.9353439834146091,-0.5134220987428417,-0.12576576937020503
2006-05-31,-2.0810984985207273,-1.0990446664432223,0.3363140365181467,0.8712740943984109,2.015732082287396,1.1920878493766025,0.43366212069370896,-0.0011427309176497394,-0.9273752251026798,-0.39691536252548354,-1.239206567898228,-0.789067233218551,0.5689797142339085,1.2237336888863148,-0.04945698678449776
2006-06-30,-1.1586420485686753,-2.083262856132031,0.42167135602962713,-0.15445062606319165,1.9349879930730813,-0.5855477008343148,-1.5213914014444498,0.4430056713175721,-1.3780536302052833,-0.9354389340371952,-1.9051081380730985,-0.759974988724484,0.9102460288673442,-0.5711281214465264,0.01648474424640493
2006-07-31,-0.3712669954361687,-2.0136334928055297,0.21145527950231427,-0.031721569114581676,-0.13275529425154525,-1.158922770836435,-0.6054164487636793,0.5302057333927584,-1.3936912778841455,-1.1644175489557245,-1.6605875059782456,-0.04588883398707822,0.5875803460204295,-1.1204004120033804,0.10354910741052517
2006-08-31,0.615312112119619,-0.4958577573355939,-0.08733758603578218,0.09448393199375876,0.19453918610440873,-1.3435061565140534,-2.1336950184504166,-0.015117956411847402,-0.8143219751096126,-0.9328830066705853,-0.8537670540987047,-0.4128538154687455,-0.04718698385279874,-1.219278184977369,0.07068499241414761
2006-09-30,0.21463556818346619,0.25639156120787465,0.2615732043559388,-0.7378899048556677,0.09075847195525552,-1.3821531354885173,-1.0036254756898995,-0.40196131103977345,-0.48342580657177003,-0.9313249813324425,-0.2656270540772205,-0.18863705777367648,0.14859873642800953,-1.2552755265550686,0.02398442114675073
2006-10-31,-0.27474887444096985,0.3159955770843624,0.5430339556180981,-0.7899841150253686,0.11749546765508025,-1.9383903995111447,-1.1043529408210215,-0.48322582993086205,-0.47859989951422477,-1.111092634068149,-0.08352945448164689,-0.06492614192122581,0.37668919203978696,-1.887041141393244,0.05950775528004325
2006-11-30,0.15785236725764984,0.05831717097472522,-0.4578843737628412,-1.1200220338935316,-0.6912138561151789,-1.0202448375039321,-0.12028308143411313,-0.786818443089866,-0.1882245055629464,-0.9822112039943125,0.14421814580277156,0.049092367706405356,-0.7422260046142848,-0.8826653044400247,0.02689198154583394
2006-12-31,-0.2261478276440609,-0.19173215262659887,-0.8205680750936201,-1.1609783906404314,-1.2052813897769377,-1.5935439647917093,-0.6568071542971123,-0.8692024373561948,-0.1917133669187625,-1.0983695372635633,-0.05860539146622399,0.6743816694922335,-1.1407606477276084,-1.252601950755827,-0.017637416779628302
2007-01-31,-0.7191350242349804,-0.4401658075631087,-2.5988022360948753,-0.7315737177518999,-0.9343703825680679,-1.963279752321102,-0.6683585239168651,-0.7004072484872358,-0.5213908011716927,-1.4340141920624792,-0.5926085779790702,-1.2760523452909207,-2.7773421944187398,-1.020760265629878,-0.06421838762341862
2007-02-28,-1.2296419301982526,-1.2187442902590166,-2.557162567364199,-0.5887853223362,-0.7117355669448164,-1.3703368646571126,-1.132247971400002,-0.30445026815259363,-1.1565189543506464,-2.0170650952878306,-1.2550594476004073,-1.3983134370903725,-2.6819076625296407,-0.8869672503173726,0.023973608840446983
2007-03-31,-0.1349277088877795,-1.1404579488698638,-2.5517153667982444,-0.6400646556895941,-0.8985249563871861,-1.271461387781664,-0.7499369502045026,2.292774733043135,-1.5113517374225263,-1.8215061805831954,-1.0244879014994523,-1.4763162826758482,-2.579677060944034,-0.7877202352180496,-0.02784306185148398
2007-04-30,-0.7085339513577732,-1.1201344014492338,-2.346422087135768,-0.6598685694326439,-0.9089044995313499,-1.1136740376962428,0.0993554797037771,2.223673975910852,-1.7161889747226666,-1.9860462665781302,-1.176429988503657,-1.4828424340250093,-2.3576597375306205,-0.7177091606056641,0.020603806807365968
2007-05-31,-0.131372642972173,-0.5232265957080243,-1.5600728789776594,-1.0594552578488043,-1.1922150085845247,-0.8428263530435934,-0.17703971330634302,1.7760476441377462,-1.5020768798147666,-1.7566699218627484,-0.8755796035543607,-0.7091090383154398,-1.368608431553984,-0.7401689220162934,0.04053133140996309
2007-06-30,0.09237600789741988,-0.39860573464892146,-1.0943892226540228,-0.9482630217466297,-1.1405180820979055,0.37516544538828644,0.5671789646027852,1.3822930402794742,-1.141471603536273,-1.1980520817893336,-0.4629719169332965,-0.21750080641601693,-0.8487467390124078,-0.2963439909264494,-0.07890695921215232
2007-07-31,-1.3242648569978581,-0.7196524959642981,-1.346259707649889,-0.21905836448670857,-0.8159459333007427,-1.3023163452458248,-0.2903790084401829,1.757876158948983,-1.885057352084396,-1.7934889333781066,-0.9909235473487961,-1.1324632036773257,-1.1821733538661472,-0.7507951164144492,-0.09430690836957062
2007-08-31,-1.3926467066445714,-1.4039732737020088,-1.8072879765433891,0.01156932304801097,-0.6204651973282288,-0.4102056913435431,-0.017488907942042185,1.9557126629568842,-2.6195170005823005,-2.5165018605728955,-1.517556318473512,-2.1664329951932597,-1.9998351279097675,-0.4711375972515865,0.08317794909554233
2007-09-30,0.6839217246937217,-1.0406760680734628,-1.5910292697694854,0.6474053990923265,-0.24940740061892952,0.701291514303372,-0.06566838071917644,1.1628178730520589,-1.6893755866276765,-1.5790013305353565,-0.7180539606724475,-1.914591074139634,-1.7403277765805945,-0.43548105984914676,0.05600586496413377
2007-10-31,0.34429978413407414,-0.18673933410287274,-1.3634121926917104,0.5493335039534101,-0.1430239028163088,0.8715107860499439,1.1887834171579361,0.7523387104168474,-1.1118078275378387,-0.829249839775552,-0.2815392923804654,-1.5977536244725963,-1.4414906856832215,-0.3836993404122713,-0.08175308047276818
2007-11-30,-1.2092090314687478,-0.09499249650000982,-1.5775109387561181,0.36892190067542835,0.05243912358074564,0.41015057911162417,0.2797768888627224,0.989931502844687,-2.0442425467924292,-1.9483515720977787,-0.7934960067584564,-1.8379565334850152,-1.8314381181004058,-0.49219602061337797,0.17189710608642808
2007-12-31,1.8456468813230849,0.45065699231567297,-1.1128122245414243,1.3987348083558537,0.9254412007793696,1.511341477282847,0.3553877792109117,0.10419088923137577,0.136155892537291,1.1309886728999874,0.5765456963047774,-1.295411899747162,-1.147111078729865,-0.3031422773443175,-0.1538134306531327
2008-01-31,-1.935931645668211,-0.7550749580164646,-1.3174250892340347,2.4713382796319485,1.30978325815563,1.7568612373638148,0.7096137996134183,0.7191470582672074,-1.7524477540464563,-1.9147413082626825,-0.6345183245504963,-1.4122598156243953,-1.5006617995869418,-0.5680756487424985,0.0006117544433741851
2008-02-29,-0.016520300113129747,-0.14193437436212653,-1.1083134729876465,1.9773300073944098,1.0623409028874806,-0.827035976176341,-0.625431775364868,0.6192205224650406,-1.6588483387608404,0.11518648971150512,-0.7309095795452524,-1.1997032125153455,-1.1598712673075768,-0.21942677878679145,-0.11721531286453386
2008-03-31,-1.5580978485599917,-2.4662121989104193,-1.3388817307917906,0.13147825870904195,1.2302727211504165,-1.6842931051299759,-2.811963816986388,0.9730059227725681,-4.109671613948652,-2.5671533662135926,-1.706546716840768,-1.3112939837577633,-1.534230234413001,0.1870805437922637,0.03332836844606841
2008-04-30,0.476439664441759,-0.7153800650209311,-1.1307258300105132,0.19235802071898822,1.1760587150764155,-1.5475322071007978,-3.349279180648118,0.5329807155517337,-2.5046200144168056,-1.6121885745619524,-1.0347560865588081,-1.1181310811248115,-1.2256568731246726,0.36455769031723334,-0.04320011692522263
2008-05-31,-0.49952219032373396,-1.0340259927464253,-1.2233113224274985,0.08333049019240149,1.1087180583972753,-1.2109987348782667,-1.3407259469516304,0.6662728274720955,-2.2059878252074516,-2.640385815472773,-1.2729976918484782,-1.125105727953841,-1.3877319632019531,0.4683394446731144,-0.3615051848969821
2008-06-30,-4.757097274664004,-2.9905471741149867,-1.9044072508751966,3.4972851028802583,1.9762068706432667,-0.7581343256180842,0.45705949590828193,2.6067948114126636,-2.7690168472460726,-8.141258011245315,-3.8270285202306025,-1.3610668608119791,-3.1660185784450894,1.97317943389568,0.1100631974603447
2008-07-31,1.162696136800084,-2.0050068858974166,-1.420152663718807,3.3650760204652794,2.616322594979505,-0.4929467015137896,1.0560235764999844,1.1263528695636953,-1.7237430433332819,-2.8693492866325587,-1.6702924972579016,-1.0399678055676294,-1.88494450454199,1.15958120821825,-0.11706572696771142
2008-08-31,-0.9956127564363976,-2.350861949718029,-1.3662376623073367,2.5763050900932454,2.152942677378186,-0.10967327128087682,1.5255914688245076,1.3357204799009788,-1.528681172001839,-2.661309721366575,-1.8204493034926637,-0.9833460588290796,-2.0010889773615896,0.604740517102389,-0.13424870131319475
