ACCE IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2011-02-28,-0.8253791162857604,-1.3756706711858722,-0.38859476285158734,-0.9490356898444469,-1.423830971864203,-1.2777895391835614,-2.1529883101265113,0.31781308051469953,-0.13350553777192337,0.09779100785881498,-1.2559207963017331,-0.3284445548533745,-0.021210331349046836,-0.07933563889114346,0.005817352065913264
2011-03-31,-0.2547167410577084,-1.1831333300231521,-0.596760633223139,-0.5944858033641052,-1.2287667610662765,-0.25067453549348045,0.9972811108852223,6.780951759250855,-1.659870240387042,-0.10326720442621709,-1.1616720584531872,-0.9123726980650455,-0.344443214113278,0.0032989738627737675,0.08342801157472918
2011-04-30,0.1521525977657904,-0.5379709944003372,-0.7167614104817025,-0.41602085258432564,-0.8616083245959879,-0.5339132989825992,0.6340236216704637,4.626491202818283,-1.6273538171037276,0.05462287479095958,-0.7396515828880452,-1.067501798160275,-0.5972957038903963,-0.043719757855034375,-0.03364397619544295
2011-05-31,-0.41986337161701576,-0.2902428660827296,-0.7769301680730893,-0.6855362309289074,-0.8006769132433574,-1.1214002785805093,0.47300025742353324,3.0616147414862156,-1.6138301798445862,-0.3845082253051534,-0.6568502036187185,-1.1136748790464528,-0.7590825506488471,-0.07328624325005387,0.07237199759955593
2011-06-30,0.5204716025741866,0.03488676709937185,-0.7632509411295578,-0.5798162425835653,-0.6240111883351345,-0.9232893902551992,-1.0530197293753323,1.9149998579136915,-1.3129868089356753,-0.010222813007040388,-0.16483624083348458,-1.0149021540115921,-0.7007519269744737,-0.15194939484210915,0.005120338887975331
2011-07-31,-0.14166826090253815,-0.15970046831538748,-0.9484890309619582,-0.6552918033463709,-0.8147235386575915,-0.9271353927775994,-0.7541722472729928,1.542466162048307,-1.2268666041282625,-0.16008069433713656,-0.06486771423172676,-1.3563897610691018,-0.9850324524166072,-0.08300615808204488,-0.0897079242556551
2011-08-31,-0.9736876791116471,-0.35843819046946424,-1.201882030343329,-0.28290559195977283,-0.8533746295267671,-0.9784281681950633,-0.2761926851934277,1.5931765217272362,-1.3256198101940857,-1.2123016297960145,-0.6190902265882496,-1.8891952040240199,-1.43393482170508,0.04645423451935356,0.003346350027344173
2011-09-30,-0.041583871091644777,-0.7154988880318062,-1.197612059970516,-0.7084685175962799,-0.8085057452077946,-0.3823576743041115,-0.0375395691492076,1.2755918885020099,-1.161821569596235,-1.2795988564318586,-0.5866255023845319,-1.7373138900714216,-1.3738813374566223,-0.07511159302677582,-0.09453097344219667
2011-10-31,-0.9326659945062221,-1.2199886965450504,-1.2162512619435772,-0.6800927919640641,-0.8112009056333251,-0.7768522882238946,-0.49848940365973526,1.3492516503415806,-1.2232844898918334,-2.4390369418872986,-1.0483314360901475,-1.7362965700747446,-1.4540579256287782,0.01430903188737253,-0.15313120782541295
2011-11-30,-1.4976008957202165,-1.4793892277924305,-1.2346491319605433,-0.2142231975430841,-0.4499933666875555,0.9577753602783284,1.1464788773951642,1.5471514248208542,-1.3372488861417708,-4.21756817518037,-1.730923392470684,-1.5641696566913317,-1.6592131166065847,-0.38229596463654925,-0.21214858330683783
