MOFS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2011-08-31,-1.1775035871228046,-1.1930084875279168,-1.1495514014695845,0.2023027401566128,0.6892752721899701,0.13625071577237663,0.5371102614446889,1.4890897926329514,-1.5939143068082093,-2.0925538581550613,-1.687181471788305,-0.9917270530744723,-1.7332344675172056,0.3838844478009578,-0.04241760498507346
2011-09-30,-0.14351056589992542,-0.46620359211087087,-1.20588428636299,-0.06638766955255897,0.7599316818207799,-0.0775527331337397,0.15556855941977696,1.3370376992928288,-1.3208045111132372,-1.6616336809270222,-1.3826441231831266,-1.0470873406908334,-1.9139434678956064,0.5564195814304613,0.029265700991874775
2011-10-31,0.5341506086506913,-0.5997755286916898,-1.144225194103068,-0.3750097973209168,0.39737878924050607,3.2977203466328007,1.3284005793496891,0.7525328849458061,-0.9940074382822333,-1.2076694239475623,-0.2647838545582549,-1.1022648801948984,-1.7305881992124934,-1.6677632132028386,-0.024408964878924914
2011-11-30,-4.896713257273829e-05,0.2869680264152871,-0.963354823860517,-1.341635849058919,-0.5706549846964188,-1.264785066404204,-1.4573644559087322,0.6590914639607638,-0.831513744539469,-1.0216650449208098,-0.03752712822007109,-1.2284247646899902,-1.4118801647342134,1.4604998898034394,-0.05989814158106896
2011-12-31,-0.27720882425161597,0.20511867049945165,-0.9890534060793461,-1.0922627400515514,-0.8874335617375094,-0.7231291270582312,-0.5051829049355178,0.861412214004599,-0.7495401339138442,-0.940111401866682,-0.2332777913868046,-1.4117474477084937,-1.528276837977754,1.0754670997599498,0.3380876272360936
2012-01-31,3.4454782995854223,2.2702986714000954,-0.42000505817482375,2.0393202967307795,1.5311530800678315,-0.24327413710695195,-0.985049566698176,-2.0358577859529237,-0.060732431313078435,-0.03677696514428746,3.158823325916816,-0.38763698505706246,-0.28390992325198716,0.3866553578832447,0.1288893068439711
2012-02-29,1.106918856265862,2.9837010162446544,-0.03659098091160589,1.4609275531680508,0.9693617034932568,-0.11059632349854669,1.0214526912571806,-3.1146398092665404,0.3164093502207859,0.3338962449741741,3.1781981327353312,-0.13680306380485005,0.17449429784574913,0.17879949616919438,-0.1944555018589651
2012-03-31,-1.37288338816904,1.7401533666320426,-0.2842817110960715,2.405670178785452,1.6272762006584132,-0.012921537861314772,0.5814736104177582,-3.2368895889804055,-0.14239516778898484,-0.06946106741203997,0.6909071454448875,-0.21750155553666997,-0.04814103728181497,0.13941526303947263,0.05003908085008862
2012-04-30,0.5028450051630543,0.1506069272827205,-0.39948298885330724,0.6594641671553014,1.4715120998115196,-0.3859643562544862,-0.16300571444289422,-2.8313520539880073,0.06809848920896103,0.14409717598281158,0.7555150085671692,-0.21577191451662486,-0.0473350560372598,0.327644605221933,-0.12653019716553915
2012-05-31,-0.7739660705212449,-1.1011911785477084,0.24803229495510007,-0.012596999314839761,1.6018156853982577,-0.22590975102629016,-0.11524441627317883,-1.8173852210029025,-0.06254549144844368,-0.08963679317447025,-0.24755419826941452,0.23570192684467087,0.3973780064871739,-0.04568869514924753,0.06149478160780629
