BIOS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2013-02-28,-0.18101983448448733,-0.06807127502877366,0.4470221194469048,-2.0924904479436277,-1.4285330814132717,-0.11703988197510376,-0.5716666833647545,-1.0456225767103762,0.15733437265984962,0.11767804345620113,0.17486156026575328,0.5629680177469748,0.5188515378797605,0.2801792907135928,0.0010968521446277065
2013-03-31,0.09323292509804171,-0.13233427426160546,1.2856024458784001,-1.9414031197431325,-1.5204882546072591,-1.437517202701366,-0.6257516195967514,2.262630950839056,0.12511180230297633,0.20828310534638905,0.13051844280689556,2.191919663531599,1.677956076720732,-0.7883549643065509,0.04857088996616344
2013-04-30,0.8832401330911388,0.43890813988277727,1.6424606164134468,-1.1182795416275775,-1.4664933461656788,-0.21715501054118627,-0.48527007503660746,1.0425700755970313,0.3898176714218587,0.6366131701845206,0.532435826241243,2.604065483896417,2.0165569111271138,-0.039242232718502856,-0.06092489663542558
2013-05-31,-0.7757341613335346,0.12173749973636196,1.760215930013211,-0.2726761340864712,-1.6103566005503618,-1.1446089461289,-0.833454557804267,1.081047292724385,0.32587559241299113,0.34150642848634966,-0.0866939275134869,2.723617049531336,2.1427487031133463,-1.100574711482847,0.038323871257632376
2013-06-30,0.7540122353036406,0.5105140064930378,1.5106588566895538,0.00015448897001014958,-1.3048510467307006,-1.4265564434528701,-0.5619730257741323,0.6160956595617821,0.4361241382827101,0.7862001533049772,0.4200963612963197,1.7870576992543687,1.687844761215744,-1.082566095605114,0.11528757965389104
2013-07-31,1.8828849211276637,1.1069303423268206,2.095512052862264,1.1851772378364076,-0.08783211999135086,1.4202102447671816,0.7169398821668492,-0.44866964170174933,1.2077064474002497,2.0031847374703218,1.628530244404776,1.8385915048149666,2.1676403756347598,2.2998351460750004,0.10952089552246766
2013-08-31,1.6295844814121494,2.5259251582483095,2.1154679537492305,-0.8689439748647546,0.2637668045796194,1.5092059346232953,1.5035212429808478,-1.3561432722984665,2.353346269817507,2.851756657338277,2.381508922959078,1.7380706529207506,1.9464629807650375,2.5042177322650647,-0.0405660982421495
2013-09-30,-0.5982983749276174,1.5332797594290917,1.3902777867732372,1.1120751150093326,0.6979790893421594,-0.2048894758508538,1.1049264276573203,-0.8800534807466016,1.7225970068823009,2.109758616912696,1.1416807278040053,1.0423489424388546,1.331648761209198,-0.0971790775781347,0.024571260730505327
2013-10-31,0.338936531708071,0.7203114593864174,1.6043644426011183,0.5059691259713965,0.6357505996953444,0.41535800154322594,-0.2624782254426655,-1.1101856903525005,2.1159556338132313,2.1059574949906334,0.9794748538429244,1.2462922455584438,1.5362934368302954,0.6923660199635724,0.11221973897105474
2013-11-30,1.5634129073338998,0.6941555132486502,1.6474205271639166,0.5575194794781592,-0.028378321619192782,-0.09807167475338194,-0.8761989906420155,-2.0107245237326077,3.6952083684961967,2.3703344201872416,1.514395822189227,1.509812030956632,1.4425276455089862,0.1474105687764469,0.1783620779981593
2013-12-31,2.343450848491761,2.24754713476908,2.5027604088496838,0.5706770444008139,0.8532242033052992,2.4104555802093843,1.596042767821751,-2.7228573969893732,3.553937989277879,2.368271312701971,2.4476772239864,1.9557575511348535,1.943282899916373,6.707587912919328,-0.05901338328394233
2014-01-31,-1.1181304950460658,1.4188338103754086,1.9695043171585842,2.579106494867578,1.8711515281811988,1.7764643435139804,1.4096941119544488,-1.9783741958052006,2.0691280861276127,1.5640779532606623,0.9299149115234654,1.282003517760546,1.6785187544997666,2.9861605223998717,0.049634650997510014
