HCLT IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2009-09-30,0.7469468478719516,1.8756526610443003,3.655870415806463,-0.8320067625695171,-1.5309964838647292,-0.17087923024387144,-0.29816969569344454,-2.323160350585934,0.04830668049728655,1.6700927974078386,1.9553704703763046,5.430627321990518,1.9995701022421868,0.26191838530198014,-0.1069266866905712
2009-10-31,-0.6463173710634318,0.6716561817270535,2.9543600504563488,0.6224032368156862,0.028185301072528667,-0.5663496353187856,-0.3493327493415623,-1.8279992538981797,-0.09963918970950034,1.3983502627961162,0.6647620359489249,1.9286830649716025,1.999000775405438,-0.38368524525914033,0.09606984179128952
2009-11-30,0.556450553487556,0.3064360528015758,4.206776418156348,-0.06092240451684745,-0.2920960087179519,-1.324547205064656,-1.6244462288872812,-1.747689171178813,0.4398123262962384,1.5299080161707335,0.5928640173082592,3.254679363900019,2.652728502193477,-3.4699567606009505,0.09662527447585292
2009-12-31,0.5387984534196685,0.21564832059391728,4.5770571323709115,-0.28821706944960296,-0.4065849604950962,-0.5402678171482765,-0.29082128744181696,-1.7150491763192692,0.8926390546193822,1.6320807485759987,0.5397276359792739,3.922023312574001,2.8098066612542905,-1.530961128276438,-0.06831597962534497
2010-01-31,-0.4143012209204477,0.32074274894461435,2.8817502889448363,-0.784343891441965,-0.6877619385536909,-0.3219222817041308,0.08548746589151099,-1.409300456851462,0.6195481513503084,1.4297170434468798,0.0549285399894187,2.714099135028667,2.2780535914229056,-0.25551807349774275,0.056940525180191215
2010-02-28,0.2545285222854201,0.1729753888844955,3.208981268724949,-0.8782509367425032,-1.4689311280334976,-1.998346861626374,-0.8352285853370084,-1.3027132792363176,0.9618266589578912,1.3485534380414816,0.10841661402622274,3.9667767499860997,2.4429858918748057,-8.162372864338307,-0.02403908898580272
2010-03-31,-0.2192625610360451,-0.18394180260822773,2.4135882935600748,-1.240520840169834,-1.6321573319723806,-1.853199336496354,-2.052254316854328,-1.0186843826487608,0.6348060238669065,1.178856778620943,-0.02878505938531479,3.1183271492175844,2.2507562456268158,-3.7722781063824615,0.09581735636335291
2010-04-30,0.5039141010187554,0.24352223395916225,1.6296015569981088,-1.2145672651324328,-1.9068002681284706,0.16165658835552102,0.045309725291376134,-0.9975573976294388,1.1377471355664888,1.1766337450715365,0.1499507667683266,2.4885649556324956,1.448829902545085,0.7699953697828553,-0.031104464268566456
2010-05-31,-0.27503453388678306,0.004239687906349375,0.8130232315048505,-0.9290504576895177,-1.7045253909383422,-0.9669612862870683,0.34547797142218145,-0.8676614774217944,0.9312142593150547,1.0454790855409466,-0.05332814291860048,1.2054859510663756,0.8523187081851623,-0.5149699884567029,-0.04876924169765034
2010-06-30,-0.35570356164725175,-0.054954711320944635,0.4645609376789857,-0.7341063046926855,-1.6977189215750863,1.9904672387201212,3.2828895362935295,-0.7541690827006824,0.38222763181252944,0.9225714986094858,-0.2038249877450694,0.8228283453523012,0.6044475935376454,1.8726224707046748,0.07417858226433442
2010-07-31,0.3850968290094374,-0.11751784935382915,0.13119138597265967,-0.9107640787095322,-1.619954122493735,-0.47618697331397053,-0.6454390724239233,-0.7556358600247776,0.8062241221983221,0.8920212966804395,-0.020596067648298782,0.3568082213678504,0.295670701861822,0.17431015780142323,-0.024886410052231217
2010-08-31,-0.36702895679254904,-0.14598812483280868,-0.2169189940946938,-0.8640089385166452,-1.4869141058271267,-0.5949409076555932,0.030048517797836176,-0.6563535564692647,0.652606186880729,0.754283897382176,-0.18076513105065306,-0.16929235886849955,0.03405505858239347,0.27459987722435686,0.09517709616105866
2010-09-30,0.5251204023364633,0.23680393807097286,-0.27435923273485663,-0.8437408996378374,-1.1975156311103308,-0.6215938978011739,-2.137837250472061,-0.658372997067895,0.7937371733629467,0.752182035306802,0.06041579686241439,-0.2829306492372699,-0.024202747252248163,0.3071289364445462,-0.04114289399233621
2010-10-31,-0.5393004500264876,-0.15481024319631975,-0.22384885675359859,-0.5475283282307647,-1.2408813264262526,-0.6781045554775497,-0.5992252215983789,-0.5308749008149453,0.41211472584416864,0.5910038885391188,-0.16040170725966765,-0.16523368224805005,0.01404803789687094,0.2665275644662162,-9.906384673017982e-05
2010-11-30,-0.26613780252566144,-0.10356332295369115,-0.3695118780137455,-0.6122751936372167,-1.1997935422277102,-0.7447051538728943,-0.5559231526672049,-0.42819221744040503,0.2749583430353607,0.48000159620950467,-0.24539589306072832,-0.3573792646594857,-0.09920490067768548,0.31475090526036115,0.12219834481627645
2010-12-31,0.6388415934527526,-0.10360975815994346,-0.3793496002373335,-0.210206898886023,-0.9262940586183216,-0.3633411234231246,-0.013004878836652094,-0.36434700526787334,0.7687375563716,0.5373598143352893,0.047622084460128195,-0.38037369764475193,-0.13474561956824946,0.38944187807290914,0.07293622307469871
2011-01-31,0.13911717851287358,0.211668194446184,-0.24475262461885308,-0.9318804138853044,-0.8548891980855297,0.39873758432704876,0.8712416617989214,-0.3212684835820031,1.1299731782956879,0.5462249882153868,0.1346967092440554,-0.1640052398880035,-0.09986108442241999,0.49487319831586596,-0.1036503478889286
2011-02-28,-1.4631807979872873,-0.2867861466041938,-0.5023664721061697,0.8079200748521904,-0.29756079199548024,0.1490369904068492,0.9440366850645101,-0.07792852783502927,0.14346075476283907,0.24751780626339515,-0.584092798644723,-0.5659196656234585,-0.2931865151224234,0.4024926791411362,0.0772221849474997
2011-03-31,0.14118543947314807,-0.5888326476170559,-0.42362196335533076,0.3267968699485448,-0.3718309807059762,-0.4348707508828669,0.022137384380357037,0.08405176826606785,0.3152797245322694,0.40361914372678837,-0.4024599378865483,-0.47669359685477763,-0.3057018770086372,0.27674109840977207,0.08660679826913709
2011-04-30,0.2056065849346855,-0.5781350518943627,-0.49667139118098,0.4287814365502145,-0.4256468861436931,0.056826511884051405,-0.27167161315593347,-0.16485100540856368,1.5569297836801321,0.8267047230948463,-0.224303244241364,-0.5436513219086408,-0.45965878313124015,0.38614705592721704,-0.01235536952871865
2011-05-31,-0.6906392216308888,-0.14903081848297023,-0.5310152985448895,-1.237601582789652,-0.3196625374266835,-0.6925026797893976,-0.9458103560216172,0.19316038313660247,1.327882600228937,0.896421755908858,-0.532471419938794,-0.5676736300184353,-0.5421925373680337,0.1726565172803781,-0.039705679215162534
2011-06-30,-0.922725559621782,-0.647722587968767,-0.5797423459893295,-0.7099072124933421,-0.4234023503556254,-1.139217388271841,-0.2954580846765273,2.382835043195672,-0.5330940190410411,0.7373087059960904,-0.7815016030520011,-0.564880251470009,-0.5641092356682604,0.05024011145319459,-0.016219435393436808
2011-07-31,-0.6027748516038498,-1.1378505669937597,-0.7734677169531794,-2.597016321546093,-0.5427725675247287,-1.1360767145098167,-0.845793935073275,4.219460342372383,-1.6853521847239707,0.5411849347745666,-0.8011026761904038,-0.7607363303130491,-0.779439187676725,0.1507855398909315,-0.16935747495435982
2011-08-31,-2.3970989075252027,-2.092835661884266,-0.9808212989084678,0.017789413478805475,0.3877417371938491,2.7102451670690795,1.677095638309641,8.929068320784772,-10.240935205076251,-5.974157221516875,-1.7526939609953278,-1.07336251348107,-0.9650659748526152,0.4907267991359046,-0.0043896085702056905
2011-09-30,-0.2131022393717369,-1.881602208705284,-1.0841675800150945,0.3248557011533478,-0.0453657119021997,2.036665146563964,1.4689889232117435,4.752823964973578,-5.170529303877633,-3.9750830974864386,-1.8227782277614073,-1.1829108096395136,-1.0932821126433199,0.37087781805750497,0.0811775981581724
2011-10-31,0.937356563414468,-1.3416162569223133,-0.8706241185683162,1.4535922990812524,-0.13957062216563623,1.2655048256202728,1.374791619679815,2.365967105084372,-2.4701421732981266,-1.50619724127938,-1.0262541756427586,-0.9219849948834774,-0.840530088947798,0.4654490271205375,-0.14516229217337956
2011-11-30,-2.11644683033677,-1.0243730434185472,-0.9973964270697319,1.2476853010687985,0.5803779706556931,0.698865632961665,-0.28214296953825324,2.8679303185581944,-2.9862991189221213,-4.673862270569354,-2.058721287320315,-1.082255906561285,-1.010202573260572,0.375503804798266,0.010780657951742312
2011-12-31,0.06673231995461143,-0.7952050106917753,-1.034454810690356,1.37181862382963,0.9181960737909731,0.9715138340560965,-0.10497510287464762,2.350065640417037,-2.1842555804754156,-3.1319527254713035,-1.3005376745984596,-1.1149530744939238,-1.1115745006970172,0.26570179936141175,0.1204944130832472
2012-01-31,1.5170176616242683,-0.3541729963299001,-0.9163283904513085,2.0753364961833367,2.5534208776057294,0.842542843352208,0.018162176799439652,1.1838848014643475,-1.1596050031510305,-0.9058774385873632,0.5517739788374839,-0.9578829322209478,-0.9367522541256442,0.267627932556794,0.10266975870090377
2012-02-29,1.1574337140532114,2.1449864496075657,-0.5892887074475309,-0.8579716320825795,1.353734716922779,-0.5697117838467033,-0.5739795711517723,0.5294165105043774,-0.4275992742737224,0.544213719154897,1.5625390642917574,-0.6768124950595436,-0.5406290898759994,0.2607808525929931,-0.0035529886581298184
2012-03-31,-0.1847285014010496,1.7906385372652331,-0.6793458298402579,-0.5107260503290317,1.342118703356834,0.19049044156999514,-0.28686281014921466,0.7465557197661891,-0.7113215902927474,0.3727644946011045,1.0157821107968077,-0.7278888150265463,-0.6356228282886058,0.23041940245715314,0.05788932233654579
2012-04-30,0.5558511806342288,1.062704207048372,-0.7561151537787771,-1.0126542568092434,1.1277066331884527,0.16806247899910198,-0.3021002094096443,0.36588996710958577,-0.2707377580008303,1.0611298329202963,1.3884584500538355,-0.7519515405607381,-0.7330946350584515,0.09659905806079584,-0.015747116986416433
2012-05-31,-0.33101914927538467,0.031290707530267824,-0.8647785584578643,-1.4845973363371125,-1.560050556299251,0.6118434952523014,0.7579992473981513,0.3507980026064974,-0.29712178616457924,0.62264749249349,0.5583716001985316,-0.8725241802949686,-0.8180898472599234,0.11624210438012118,-0.05631383298879231
2012-06-30,-0.8464642532869047,-0.4184166683619494,-0.9873772484560471,-0.7481023913677435,-0.6149988013181004,1.3044290594235153,0.5423067697804699,1.1186365051284481,-0.9782076077188079,-0.35417886127238307,-0.5022935831874138,-0.9552126004761584,-0.9747042752333653,-0.06465941719957,0.08471394238053703
2012-07-31,0.9144951615715815,-0.17812075562585025,-0.5190460709104773,-0.21310782106780976,-1.1369357152752897,0.8581930615276611,0.5637766430276488,0.5183083556982649,-0.38991532104294935,0.8960754194309823,0.16649760108806516,-0.4770616367344179,-0.3119941441503398,1.0166864878899298,0.04862853138407382
2012-08-31,0.4579513024039688,0.3638869578261314,1.0919936957743073,-0.200042533675439,-1.7713485405017375,-1.9392690488172055,-0.8040386407066238,0.1832696094312182,-0.03612031166525684,1.4453290962038439,0.517461276998216,1.844264629856973,1.7842405418959424,-3.142211726296393,0.058920270117167606
2012-09-30,0.5477886359229991,1.3182446508743069,1.5785819868328617,-2.07215602875012,-1.642168162419444,0.04305232037764053,-0.44868071921764513,0.48988481277926094,-0.15824066527601266,1.8269076295420323,0.8389463895435966,2.3847658081579493,2.603009140490353,0.7159418386564115,0.051570341071688404
2012-10-31,0.48288237827738556,0.9995173526464828,1.2350141490581696,-2.2735350185175447,-1.5705220832910873,1.7911348031965753,0.324555023719533,0.11066448431294187,0.22113721814661244,1.9025467248116075,1.0916301339229457,1.8209957328987516,1.790889622509418,4.216887331269385,0.07677827589756779
2012-11-30,0.7562233474825394,1.165878220775452,3.1045929988964223,-1.7612569560070244,-1.6160921943457252,0.2748441485502434,0.9609678832291133,-0.3636284483240578,0.7612903978123922,2.051508564183103,1.410645150459563,4.269547290607267,3.5417236344155953,1.551507097230614,-0.05930033000474783
2012-12-31,-0.9968398791462029,0.1478294426383129,1.976494072850653,0.0011671473256822393,-1.4747480174688583,-2.1118541498738943,-1.5492703010652833,0.4706745534488105,0.07472973044550242,0.9181402326550456,0.10500348776835024,2.393788752816414,2.7601704183662887,-4.46485485352932,0.10613601007435661
2013-01-31,1.1931922675177284,0.5870797167916725,1.6678111350385338,0.4424051202570635,-1.1690626744160237,1.884108830761678,0.41466720716111755,-0.2683170497726659,0.9522889952043024,1.4110052134087387,0.826811515384487,1.767148039487661,1.8960925604967904,4.010242794432778,0.05017348158465385
2013-02-28,0.4528854871061201,0.4076561757946514,1.240407460524647,0.3009227300703813,-1.1157219876242728,0.6375097841606041,0.41829904857356703,-0.6974823318862461,1.3880582114569198,1.2830767745251774,0.8905102577655526,1.298338720012745,1.2677495383651145,1.188109371104115,0.0943797951363344
2013-03-31,0.9732996228960554,1.657901352683678,1.7797142723431296,-1.1649421045816903,-0.8601096480587549,0.6877336172294914,2.2353769524962175,-0.6367754493323837,1.5190137467273572,1.352958175172171,1.3215018752079006,1.6791602492275837,1.850395156599062,1.594771983158683,-0.09714834618489336
2013-04-30,-1.5458977839972463,-0.06451943202970183,0.7198894112886357,0.876043656849192,0.5507588457384629,1.2013476570774737,0.01168973723022819,0.025013604541548624,0.7984838244401196,0.4583274301546506,-0.19244109049204,0.20944248604122065,0.925162113550821,1.4912030702413315,0.031975661744123196
2013-05-31,0.23365196107345376,-0.20088008573854177,0.9632106281416482,0.8191315350727661,0.37845781624202285,-0.2164577186118274,-0.3211187524453405,-0.39250738774625216,1.2466967735049166,0.43669489387335625,-0.03239786008842941,0.42234127451848624,1.093165192739685,0.03807999139293813,0.04098308996965699
2013-06-30,0.3248905379235061,-0.5807038201248256,1.4960934417082337,0.20172764252182246,-0.13323435703577063,-1.252678282343575,-1.5072507968503295,0.08537045544458573,0.9637040991927357,0.4426029287964568,0.03272336578313445,1.028695108773374,1.7319614986544072,-1.4840008468207746,0.18912823561343448
2013-07-31,2.1833086311384577,1.6637810470084622,2.0424565910239476,0.49000466239639906,0.9408888386452412,-0.4390659232462973,-1.1652267579364368,-2.990174958629458,2.5907885554976935,1.0101823399713556,1.6195796803394535,0.9718541236550463,1.7252052673966132,-0.20032490474087933,0.10411822379003537
2013-08-31,0.9038204372553722,2.0433039629108194,2.15021934087816,0.025951584955060156,1.002700122662444,-0.6091054313167743,-0.3702735526181176,-3.634147495810972,2.5301166135648954,1.044737194043178,1.9453555747271218,1.0866659118976458,1.592698085099861,-0.4267191332558682,0.043961883250245345
2013-09-30,0.06987568269650885,1.9410083158184313,1.7936598627360654,-0.004826077265888572,0.9235849895940442,-0.6866280568221442,0.6487621941549662,-2.0725950975163214,1.5562586717593854,0.8279236231604015,1.6638343774783477,0.9663494116603963,1.5355588809129546,-0.6597668097664614,0.007477492504886328
2013-10-31,-0.44509920075728515,0.387202422599853,1.371963885628558,-0.6845896220164889,-0.47807451143209584,0.2659000307769578,0.46304607725447117,-1.9151835550500167,1.3128680551239151,0.5122673616985461,0.791836793314679,1.4364891168623812,1.1587927299092828,0.9179291445417594,-0.008581854847939649
2013-11-30,-0.6208513634587445,-0.6235479049101538,0.8271572398777405,-1.2932644746488722,-0.13364273078958752,-1.7738888816048899,-1.4315905320817368,-1.5464643260012827,1.0451734095239151,0.23925872609201929,-0.12901614764921593,0.6922310968768625,0.6843341937664966,-2.0845883689639817,0.150640184278844
2013-12-31,1.6654937666543026,0.2451489674706378,1.8981039579251362,0.6922014053821888,0.25114780096630157,-0.6820795119162769,-0.06210056984233121,-1.6647923792748804,1.3873327861329592,0.5786967949709384,0.8310699864158657,1.4707051754804978,1.592265774103453,-0.9938733952696412,0.14680074508649074
2014-01-31,1.4442907492615968,1.4788880252311463,1.9807958881890644,0.8663049107681084,-0.23444869615752972,-0.516719631662816,-0.6983599836441977,-2.3697329528350166,1.8702039202628777,0.9119600116686162,2.0823019414830215,2.0194344867570577,1.2947551993188045,-0.7683706006243632,0.07466861376117594
2014-02-28,0.3536822995891693,2.1346056704804264,1.9526927647364944,-0.7113594617879703,-0.2386946694639536,-0.7943251662547365,0.9134369712785233,-2.134827483466952,1.6473035815904455,0.7351708056467767,1.856652662297898,2.0590431890640675,1.1346194046206886,-1.5064798149474907,-0.12481792848609154
2014-03-31,-2.5457878201002915,-0.44754783547865673,0.5667566266757522,2.828405834712328,2.1382160117380637,0.4557652257921266,0.44241422647610607,-0.601461251408336,0.29903790778054984,-0.5335684648299931,-0.8616019616997067,-0.1571412979659446,0.5222667817151312,0.8964118672534666,0.008762942672427894
2014-04-30,-0.46187049755018794,-1.6020708935079624,1.0670615035735436,1.141878806544265,2.041742433905316,-1.0732686258787723,-0.6451948531362597,-0.5780056036526184,0.19864898844613887,-0.905437452328442,-1.2327897399186007,0.15895016106736176,1.0390397325292395,-1.5581161410891615,0.011086493749960848
2014-05-31,-0.4032259663746377,-1.9797140510601579,0.8765163734240178,0.3319918075953828,1.8493949930015545,-0.7953474964482168,-0.2726192988718156,-0.5654940188947032,0.12357288146676731,-1.1234586014152446,-1.5128375228511255,0.029997125084176932,0.8161539338258649,-1.0153812135599276,0.05592949651179508
2014-06-30,0.1686887920096279,-0.41212257353924703,0.9132529497582189,-1.2876142850760648,0.9398587512981942,-0.7303346984381284,-1.0009942641672571,-0.18232921218448525,-0.1612910556258275,-1.0424827381050181,-1.0568483941112339,0.3253904176665939,1.048782586290687,-0.9706009109643542,0.03598094398537354
2014-07-31,-0.16182937697081673,-0.23649531366477364,-0.12531021210713153,-1.3310782785533977,-0.1844578679846227,-0.6493462233053031,0.10057374445570018,-0.30078278826838895,-0.13067041635371013,-1.4256425974283335,-0.7753642750847949,-0.037976409711424415,-0.29082471168108265,-0.5741822103533983,0.04749345075133119
2014-08-31,0.02387507241770519,0.02207505578413497,-0.6265131954138033,-1.5839220293369827,-0.43204577233864483,-1.5295288545082075,-0.8999824726636928,-0.490822860771938,0.00419259188488286,-1.3717464614097914,-0.21561317863849666,-0.4137485702420378,-1.1387519762349358,-1.3328486051327126,0.05022696531113754
2014-09-30,0.0621882095966078,-0.045090658403571925,-0.662028862289231,-1.5047679509494558,-3.0589855323873465,-1.2740356078208082,-1.004550185320235,-0.26727221929244943,-0.15268186744005724,-1.2038878624011855,-0.023844182128483164,6.199092748329035,-1.152701808865299,-1.0529778712856546,-0.06403323309320715
2014-10-31,-1.5080202784643926,-0.8394224924203701,-1.2112323061735295,0.087037896817483,-1.3719399894621818,0.3575178762073643,0.2648375282778145,0.283549745568989,-0.8333729098081782,-1.9410488825402683,-1.2144269123811997,-0.086527258039978,-1.6385842496796676,0.45563017030682973,0.03299838343466901
2014-11-30,-0.09933037880028671,-0.9026143727392194,-0.974179075543478,-0.08151678924248967,-1.342498647809693,-1.5432506078992472,-0.36590134699099913,0.11039132579900585,-0.7156915602004448,-1.7106502418672658,-1.0283245826040988,0.18951754452403108,-1.4045981496271125,-1.164595081509234,-0.0401615054236295
2014-12-31,-1.0449054797111337,-1.5540884539927984,-2.1415094407880724,-0.47772061474923166,-1.111619456096261,-0.3481525679277394,0.6385647476156543,1.0019873360154357,-1.7407180777012534,-2.1327501103829754,-1.5716766194277538,-1.1687238992162137,-2.703121217607422,0.12133514595661837,0.11512160296005694
2015-01-31,1.0150072785378597,-0.08189565002378006,-2.081604018666647,0.3617679466032905,-0.3521748125708796,0.737534536855556,0.08632939603668904,0.11151299762278312,-0.8037416711040654,-1.1180540647026669,-0.3601443951958036,-1.487521938450548,-2.6291683115304,0.5309596147762348,0.12023571141600266
