APNT IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,1.0228024845732606,1.648527074634954,2.282156466053757,-1.7285000497576464,-0.5739722392986963,-0.6266304699059795,-0.29336530693016594,-1.3310915746750285,1.2992481200939139,0.9107999224041197,1.7709873662469418,2.43256870463553,1.3025839599581988,-0.9645896256467371,-0.035881015392663695
2006-03-31,-1.2601393323773749,0.25052293752056704,1.1307123511436514,0.6923908407248679,0.4255246208411241,-0.80375269446323,-1.044144618922917,0.005172286246925112,0.11558400849259044,0.28564739142675394,0.4171029700925406,0.7719169958162009,1.0555591074038326,-1.0319196835090023,-0.003256069238463891
2006-04-30,-0.6118140304242726,-0.4505315828811864,1.3589003663002723,0.5913601707271396,-0.2014696733079376,-0.7239021589404744,0.013241240422367746,0.16086618843531764,-0.058774962888891204,-0.09629114381797925,-0.345093740445809,1.305159853579106,1.3590340922706832,-0.9745879797370995,-0.12085499576473822
2006-05-31,-2.656327806625869,-2.6629896830060114,0.409244326311142,0.4380812478066576,2.686345032142759,-0.33247407126428363,0.1794834801340574,0.9540113057999796,-0.7623279798087038,-0.879161979092193,-2.2627718425745367,-0.16327547169830314,0.5927450249188787,-0.3560013514847711,0.036987100758330727
2006-06-30,0.15020752784176186,-1.6503408483902602,0.21097576110841554,1.4712196049638604,1.5215754983295529,-0.23016798128252852,0.5700640619861148,0.8175228483418843,-0.7038973832967252,-0.8432566144782527,-1.7359466868106905,-0.17023880292418486,0.28477244588980766,-0.2520204147299832,0.030275100012718808
2006-07-31,0.05902682629724253,-1.2300903259672842,-0.1723631020417777,1.7006362502403356,1.0964909431004117,-0.9865210775793982,-0.24797619941745266,0.6933255273668313,-0.6381379276746616,-0.8166631566269873,-1.2188906535058648,-0.38086956892186036,-0.20040557755604801,-0.7548115132901786,0.04109067872291276
2006-08-31,0.22412114385174817,0.23631692566765358,-0.29136883226461824,-2.3223098365159585,0.26703774061761637,-0.8926379096628931,-0.6546274547960501,0.5160706316689212,-0.5040408594652717,-0.7277200578917163,-0.5105512910605804,-0.33823997177418036,-0.37652295001799474,-0.6277531862967555,0.06129967582326997
2006-09-30,0.5145890361879678,0.4317214897570781,-0.24572002937714146,-1.6405177231105812,0.546168199156441,-1.0530854056254517,-1.2557501948976166,0.26378228572673784,-0.2659534229276775,-0.5593825510840332,0.2033768318197699,-0.35935223245862935,-0.41208731968212897,-0.7206359017409676,-0.010855932326140452
2006-10-31,-0.6615521454060239,0.04067088162106927,-0.13681125475653877,-0.7190820995704587,0.518789770051124,-0.0983308061537489,0.28813954360733485,0.41001498800748526,-0.4512498301652765,-0.7682182046400572,-0.06602487142261632,-0.276045403630631,-0.2837306560261474,-0.06717821986484644,0.06399635864380417
2006-11-30,0.5177012698960722,0.186550782971931,-0.2887967677685501,-0.4567308316559328,-3.533398644644364,-1.1436640730552654,-0.4165213523334923,0.15147588896069342,-0.18029768810135793,-0.5771190062013484,0.2586020942307904,1.1280655983162649,-0.5351355987312021,-0.7522219614484013,0.03242781548838912
2006-12-31,-0.06278991589579022,-0.14379669934659284,-0.7437952508283238,-0.6199582478418265,-2.8093326367159164,1.0210479522817797,0.8124955502564709,0.10962521874018756,-0.13232572286387786,-0.6101041331674997,0.13067166038871914,0.41808680430057293,-1.073272900616815,0.45489168420205245,0.07756431390911865
2007-01-31,0.742910780654313,0.6705609726660572,-0.772743517700469,-1.1701811012498895,-2.0535061196324125,-0.9591857968112855,-0.6623133331017368,-0.17053728334801238,0.3153979181888609,-0.2822736087900767,0.6243544833937927,0.2088395915898744,-1.2907705992419303,-0.6079246584775472,-0.0767499816165607
