AJP IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2007-02-28,0.2635687254680843,0.4833320874443924,-0.5531789857948078,-1.1915499437918056,-2.2664510893725236,2.1704736287496176,1.687453202098983,-1.140937684172432,-1.0318254979199557,-0.5184571736563152,0.3082770988920425,-0.14767670789639817,-0.4761611466861804,-0.1739731090645516,-0.09431067947124129
2007-03-31,-0.7559571321601174,-0.304569977927897,-0.6723987402031706,-0.5571661864846601,-1.6216983871530313,-0.8332413273673618,-0.1852411659123348,0.9790699571125445,-1.8530754083992176,-1.7533339275796291,-0.42121738425595845,-0.6175160298291421,-0.6706214867477945,-0.25669523751749174,0.09858723623850157
2007-04-30,0.6181377829065287,0.09926741825953259,-0.9928364728634415,-0.2687100015046533,-1.2484229151442876,-0.8198245254220607,-0.8250061207080994,0.22696484910095713,-1.2385615114339357,-0.5111162051686023,0.24770368172611407,-1.2839595879466705,-1.1617543394826566,-0.037142868007605606,0.06338209170655451
2007-05-31,0.3397012197144628,0.1610105956767952,-0.1647867431064931,-0.2779134699478178,-1.2646196617201781,0.04184523669151038,-1.1396405675493442,-0.7567646062314138,-0.731172362557159,0.4260386355281972,0.48610119199127727,0.42317740539619153,0.05315106325050325,-0.2712090535623724,0.2890162954649176
2007-06-30,2.3010983186744927,2.382099319804115,0.9996994613322379,-0.01680324825286728,-0.1513029235156153,2.997602284651594,2.8593943150908903,-5.056382680533836,1.4735643025464122,3.5808160829894793,2.760256273228264,1.2773773061950822,1.1561891107974516,2.1691520721244406,-0.09541018480465818
2007-07-31,-0.7706182042217122,1.275732781293662,0.750578809768063,0.8539492390059849,0.16321627870814473,0.168930354971499,1.5934450365220147,-2.6025116302784306,0.8085330335669764,1.7598758177453107,1.1355677461645663,0.7806572676506122,0.9864058391114449,-0.25066929246939357,-0.05308982351378585
2007-08-31,-0.42288240180487335,0.7486446248043103,0.480712910569713,1.0523632826780966,0.2795969021909039,-0.4466323397353626,-0.8309621242174302,-1.8290745413864922,0.5594935329463828,1.1548929102095602,0.38643642629216596,0.4864074522967853,0.6864625342673178,-0.7015311498220647,0.042027763807927394
2007-09-30,0.28640122676770546,-0.7594215504670693,0.8987736009360655,-0.6663585056066182,0.037237222723166985,-0.1435773566459133,-1.7387639013880447,-2.1733219345637083,1.1061504288034871,1.3525457406535615,0.35489985834580073,0.9357650131602352,1.0051524938067458,-0.5849273492323692,-0.10301498035620743
2007-10-31,-0.79940452207306,-0.7798712786147832,0.3994846648130574,-0.6299883892377683,0.26379744235654035,-0.3122636733242799,-0.8663939920246829,-0.9117852710889075,0.013048210784709148,0.32946336857779907,-0.7704564078569185,0.4206141014902793,0.5681646141864639,-0.5023395024119912,-0.027501733269538597
2007-11-30,-0.32212102285721206,-0.730198311983562,0.5007096934658555,-0.6038036147560896,0.31283306273599326,-0.35242669855249503,0.033069560560193105,-0.640466282777191,-0.1948579147095027,0.025164197731699683,-1.2276657150051298,0.49587172709982535,0.7079062267340499,-0.5743723876901132,0.2508918633052543
2007-12-31,2.0864772152755493,0.628897391835536,1.5400009112250024,0.8430786552684192,0.0717262147503817,1.406827612164863,1.474028346148984,-3.175729682020777,2.4129176892244706,1.7940417671349207,1.3027286528709094,1.496644490841415,1.3653699355452158,1.4093384728826184,-0.30425520617665125
2008-01-31,-2.4963258906082473,-0.7417024466222961,-0.08653208371131083,2.083417793110549,0.9916413649194762,0.11069265515706848,1.0637216864664947,0.07935296992832942,-0.6805343494985701,-0.6098606040285576,-1.4145107294747703,-0.05594904177746847,0.060106005445097185,-0.21015574339223722,0.05336334287139689
2008-02-29,0.3729082530294467,-0.12553666344943082,-0.01929140706748586,1.9111661595537104,1.025772233635566,-0.29603170488580566,0.4654115706140806,-0.58728675366553,-0.15556581405384162,-0.2223744982119754,-0.7404098315830326,-0.01424979518757213,0.09090205901477709,-0.34892141973058444,-0.09848377815186646
2008-03-31,-0.7426412262958921,-2.571235856576427,-0.007135773531146079,0.5784343614791274,1.0139769819798397,-0.38830681510937215,-1.9880697850874125,3.8045744346105446,-2.0416083435081553,-0.9712384204779054,-1.2305845489432967,-0.0049540222240791396,0.42646125780570493,-0.3901115991040111,0.1846498465535457
2008-04-30,1.2631626019854159,0.7921892497673242,0.39306252416854437,0.12224055701106246,1.2855919930878301,-0.4167208341619757,-1.1101717586484967,1.163400864804049,-0.47427199351633254,0.3547134802585586,0.31052171276860746,0.20524679551608152,0.8868459324981787,-0.5965839703800621,-0.03912769422386213
