COCHIN IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2021-07-31,-0.23282001473356723,0.15778021938782902,0.600336658470382,-0.8313333281760635,-1.1577939269385207,-0.9027898460968656,0.610516618352183,-1.148216890080667,0.9467552075622454,1.0974405995425527,0.02577077091679181,0.8266764239576986,0.6019552703425517,-0.15045185097991182,-0.05708033946626051
2021-08-31,-0.6026375273607749,-0.26852490735641227,0.2496042311327685,-0.5399036638927633,-1.1200344313004098,-1.2336892748282262,-0.9798020207994884,-0.8876277673077086,0.4888980693594711,0.6464563898888829,-0.3797229582085973,0.2818247177372118,0.32405705804111357,-0.02431815244227433,0.01964830971028222
2021-09-30,0.1855987595586674,-0.3209282607062309,0.243363556338943,-0.6441032773267226,-1.039297049645367,-1.167595860153806,-1.9671772981019418,-0.9191378726932863,0.6452052985407203,0.692617087166591,-0.1996333727881218,0.2720012158243111,0.31698893924588417,0.00645920553543315,-0.03779968724206098
2021-10-31,-0.4130366194300227,-0.4121891256535446,0.020687545064812695,-0.64053917950689,-1.0130196738538924,-0.8976362128602394,-0.3759715710295501,-0.7592816611511026,0.3977990661511275,0.42468473549960584,-0.45576822805446404,-0.11071027182497975,0.13415383636059033,0.23296870067889727,-0.028566735830189063
2021-11-30,-0.254505617949034,-0.23454885655419958,-0.4298876451840533,-0.7693416905400273,-1.026489847584608,-0.9356204182687483,-0.0011576819079857153,-0.6659096915467623,0.2457371267352838,0.25865451461513655,-0.5126286561563173,-0.8685377451197981,-0.27115807321151436,0.5478087128507916,0.04812241074202342
2021-12-31,0.5843065762200588,-0.049809035075806266,-0.2564017876954788,-0.4006861270525842,-0.8538274068762677,-1.1979489900829121,-0.8870590770958185,-0.9107970131140678,0.7779449718883125,0.605714687366774,0.019601213174638615,-0.527791946093278,-0.1109219582003481,0.5163377585542962,-0.03786771363011144
2022-01-31,-0.345049541901328,-0.008892388496109281,-0.12541571253343486,-0.37743311698322174,-0.7912538325855599,-1.0375294586432486,-1.0968808598885826,-0.7728932311371207,0.4777024570387103,0.3544022818670818,-0.13043141480345521,-0.34279690333799495,-0.0032684181338155332,0.3739195029091792,-0.1683693230540692
2022-02-28,-1.7385139326991697,-0.7400953247081461,-0.9328463863999238,0.822819634909959,-0.09968731549914489,-0.6039626045211584,-0.2989365028210707,0.06816913647774259,-1.0164380152004147,-0.7469968982977795,-1.144937768525851,-0.9073969913388288,-0.8775179674181149,0.8403793564159263,0.014723772239727274
2022-03-31,0.21682647901112365,-0.9185141303683333,-0.8602585017022746,0.489082186595736,-0.10274565469129374,-0.2384783018143314,0.9040125871632919,-0.34443522651110825,-1.4867916649201807,-0.7302683029181334,-0.7629970036852373,-0.8565917202076387,-0.7237479232698509,0.5016313457406881,0.12777898525871578
2022-04-30,1.4677196894117246,-0.10992272545286771,-0.380620829380805,1.5447799016412413,0.4423576421520577,0.7633255541462654,1.9293735601046653,-1.0521773697514736,-0.601259207148332,-0.00948878511286119,0.2539572966118223,-0.401754541341989,-0.2297215816782945,-0.045253858533377496,-0.03407692059560033
2022-05-31,-0.5400271784035444,0.647210139109128,-0.661042094617503,0.2128826447066681,0.4445758534082713,-0.4833559441401023,-0.014509167209721561,-0.6834990522142392,-1.5866481686830494,-1.0377904029595708,-0.09672192605992809,-0.5520152363193201,-0.5278988120893043,0.5472630103599384,-0.03592068605716127
2022-06-30,-0.6098810717233832,0.21043632982476865,-0.9964040332981872,0.4202038358192559,0.3555253249681883,-0.6837892915560411,-0.5040403021227712,0.4581801591009558,-2.1599933488253327,-2.504875177877162,-0.43206016020613397,-0.7498691924143089,-1.0006992954971448,0.8285039646297956,0.06718180034090677
2022-07-31,1.0860006482656728,-0.2607986174754329,-0.6623675671062744,-0.1540206730380411,0.5926844255802987,-1.297467493387311,-2.1816097468871156,-1.5579460970240584,-0.9526955608933739,-0.8889996605203709,0.5422917942210749,-0.5385176719695959,-0.6224796523583326,0.8114599381933215,0.121960629108854
2022-08-31,2.054406110569736,1.2362221689596327,0.1227749732190186,0.5447207520102844,0.06923471846116555,3.131169834784729,1.4858703661501265,-5.071952942839488,0.8423221199193711,1.651940636510907,1.8045205910272515,-0.0862159119223942,0.13090926493471353,0.551315653733231,0.15786125922379385
2022-09-30,2.3829461243649512,4.144368124931668,0.8082682784850941,-0.3769312295992278,0.5623947094542764,3.9229329640158888,3.0260715671665244,-5.264808013598426,3.1912084459155445,3.826787751199162,3.354228162906021,0.3078809409415017,0.6120699214270757,3.270682263666578,0.19981689879948655
2022-10-31,2.645983170490856,4.382668324114945,2.2000372086399635,-0.5855354842582672,1.1996516721162354,2.7520631421999364,3.977899538571175,-3.902582192670605,4.591016890946675,3.8503561542840097,4.591147458205121,0.9603208854749858,1.3441453837883721,6.343161812868047,0.21401822264606946
2022-11-30,2.4049183590897143,3.782727652550559,3.652299328307505,-0.9962691340061153,1.167659983412865,1.8503367029580222,1.5723859403311713,-2.834611241357921,3.8903136782699765,2.996947143601322,4.250982158431727,1.9897084077840332,1.8695713962238747,5.427560761458716,-0.22199738503958943
2022-12-31,-2.760572058548403,0.7642824871656676,1.2702277103859543,6.16816324209058,3.9020390698027714,0.5268161440375639,-0.03272965093833682,-1.3414820554152653,1.4475990308792348,1.1888840615500058,0.42843905100670604,0.2208853824239361,0.965475868943051,0.3484200811536126,-0.04263611486522149
2023-01-31,-0.562142419991716,-0.6062709793440112,1.1412942449934007,3.096197193438401,3.2163749635405843,-0.1585074808283083,-1.1575533715231456,-0.915589777392777,1.0551835685369755,0.8006535739483652,-0.3205892129373946,0.13552902287819069,0.9271529843014169,-0.45207410918862956,-0.12443158260214854
2023-02-28,-1.378874522998813,-2.443222764836721,1.2630828248254178,0.28818375670364305,2.9531907069726944,-0.4292497997098414,-1.6233340486651102,-0.3301471044768456,0.4490377755685962,0.2054881055660691,-1.2664874711203848,0.12619520239772464,1.2265375210212852,-0.7878455020021234,0.05109861101289571
2023-03-31,0.40842041682425934,-0.7629564056041703,1.343924573140419,0.23686263572396368,2.2000878924215765,-0.32978064402585716,-0.8081797549885591,-1.5803305920649204,0.5774949329175978,0.3402616187445711,-0.9427947465975638,0.22479593565056036,0.43536976528919824,-0.6997061118308956,0.056471557302877264
2023-04-30,0.44032899661230046,-0.24795450228969396,0.9457736908344366,0.48014025563607593,1.4577805055662358,-0.49029689163239976,-0.5473427751761545,-1.1784577419820637,0.7260666326856055,0.4643456871744536,-0.4817610573901138,0.22065646559354476,0.2592305536816254,-0.8106393335249312,-0.014003029370763302
2023-05-31,-0.25858272945028465,0.3015568712465765,1.0301399130832551,-0.6566595006981907,0.419089843114548,-0.24563382363130656,0.33473010537656583,-0.8354378779643686,0.5808139625552127,0.3240579178947962,-0.20519045635616143,0.6779071045754446,0.3785401107261078,-0.5494175087250683,0.13085860553701456
2023-06-30,1.125958505777541,0.6704781988546923,1.922943996529305,-0.09663926641054645,-0.0011743448545915715,0.9371823945641279,0.9842445063939472,-0.7095578418518589,1.0037672684036372,0.6669288936687898,0.6274140507477004,2.256506027453132,0.8250741043714469,1.5584019446839372,0.16763308333785873
2023-07-31,1.3965768322564618,1.1693653898631748,2.275302543868685,0.2858763633820492,0.27742132066016234,1.3219948315355396,1.5040805105358435,-0.6097015304034731,1.4436477280764066,0.9926840633733081,1.4951900806244414,2.2204848954422007,0.8817441877233534,2.641708998988871,0.3028343831755774
2023-08-31,2.4791788940168353,2.5687052479038925,3.0039622181883052,0.14192730948347487,0.3743478742869939,1.684488321455012,1.2681100226327038,-0.5638535485191506,1.9868802557986045,1.4044659669861033,2.797876827233707,2.7489613756625277,0.8817657279145387,4.5933632118786605,0.18086674322305982
2023-09-30,1.1394141835223295,2.3834494087550215,2.5750330664070606,-0.18419269849385747,0.26103693623009033,1.0666489530901535,0.3602857508774769,-0.4251981738921725,1.759873034047874,1.2925591924272342,2.530819534768943,2.480084294637484,0.6576793953749717,2.369279145332384,-0.13168232879422986
2023-10-31,-1.387677681187843,0.9191761386125838,0.8066866247609814,2.546023598514613,1.2499648078960506,-0.42385411449810884,-0.6819995300518786,-0.18609673392410078,0.9408570033505521,0.7192689531953096,0.6147509238805535,0.4111937997451306,0.17559983408765442,-0.6676430381308699,0.2360103007998877
2023-11-30,1.473691123598176,0.5964292113265885,0.8212026227564672,1.738796852755056,1.0368716118695522,-0.20528963480037724,-0.8524615061677301,-0.11639986731650427,1.1893320291953349,0.8549804103858339,1.1486803000419759,0.4654258303737228,0.041466249500830055,-0.41063800131527206,0.11688607032873452
2023-12-31,0.46920989202858526,0.3052003855890052,2.19908462953346,1.3969292809376412,0.9793691233222522,-0.10548002946551638,-0.6899464613346978,0.009528785410582394,1.0677767866623564,0.7440892971331996,0.9302247444839475,1.4191543511825098,0.3926035819560146,-0.02119201392551036,0.2982175338991903
2024-01-31,1.7670669059316433,1.8983517895514026,3.8259169293422586,-0.22901669316300616,1.2506790607012224,-0.029839983667104886,0.16634125226608845,0.07238144666777749,1.2584325726599737,0.8439864098812706,1.6980338988351282,2.4248138653220725,0.5792183656458006,0.735792931849223,-0.04152109873581471
2024-02-29,-0.7702954029438546,0.6979418325812412,3.362906437347021,0.9868404679778425,1.2798064296501621,-1.1371669992552647,-0.8293489681295175,0.20308933536490612,0.76939798145508,0.5320655908592499,0.5837534677708922,2.373805535901937,0.7298133907116726,-2.972083995479985,-0.00377812573749328
2024-03-31,-0.5729130903704739,0.19292894288089568,2.4313385108238026,1.1826271200107243,1.2162475161968893,-1.1448500326434004,-0.8998735165751837,0.8857444050703607,0.3048901906122771,0.313449577280635,0.05033191573292909,1.841845737851972,2.803407473441764,-2.391493019533578,0.4025550126251345
