KIMS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2025-05-31,0.10283792890827144,1.3640890448654597,2.9097582036177765,0.6903948302191287,1.5645909282586894,-0.11352927710393874,-0.17439553964050902,0.38255434465524635,0.46626208209206593,0.2910346447100678,0.29293094756136007,0.15412452009938776,1.65587763067518,-0.1880267842291029,-0.0156868849926714
2025-06-30,-0.568218392416019,-0.3426933690850261,1.0552888636362434,-0.8955751508601691,1.4704164098720995,-0.5499644375399171,-0.8962384568474137,0.9798641759639306,0.15955893686560202,-0.20532074782014784,-0.14961460722478856,-0.2542368751793674,0.4611648629945384,-0.8196679661685538,0.10903546496593623
2025-07-31,1.012559523622868,0.33875081896312975,1.702372209190382,-0.19058008905172483,1.5488921137071636,1.3010510880339907,0.041581586600520706,-0.025220036542201847,0.8528995835334132,0.451604192400677,0.8046642335538746,-0.10557449158798422,0.7702429189856451,2.054060360414881,-0.03701866659495746
2025-08-31,-0.7850864956812085,-0.2292588064017221,0.010528361168513436,0.13593290811343334,0.36563632660574874,-0.46640721613784597,0.05665094005491022,0.7897940712348236,0.27433040948469356,-0.21843915568351516,-0.27164313707313986,-0.32409557617808493,-0.41688417112826653,-0.5427409279915216,-0.03335866349730965
2025-09-30,-0.6925084724550472,-0.3247164569215897,-0.8092997311196284,0.1921471379575932,-0.8966186081006077,-2.088417871839058,-1.2818963668205203,1.443724069916639,-0.17923197799694024,-0.7933465332008484,-0.8123002916645187,-0.34880458654133006,-1.1345124790025307,-1.267644980791087,0.02941388520629319
2025-10-31,0.06632685225931968,-0.9397667395298216,-0.4665346575381163,-0.9473440496527827,-0.9537279873387523,-1.2474143737547054,-1.5200035780343892,1.1505105032220029,-0.07453638711910186,-0.6827132618480769,-0.585630577184699,0.08156635364846782,-0.790346088857281,-1.0297852599907633,-0.05114366999922594
2025-11-30,-0.939802138429351,-1.03566203801186,-1.294562762512387,-0.814865023029284,-0.8043895186441559,-1.4981100927053421,-1.4084591414973044,2.0749240288283546,-0.6992224372803635,-1.3926572526295942,-1.196390579423163,-0.9589204897071789,-1.4665571839992002,-0.6479873660686888,-0.11840357554598262
2025-12-31,-1.6756829063764505,-1.6816290997554229,-1.93768640570026,-0.06291831987806494,-0.16921584532430967,-0.5270495339651152,1.1790049982431188,3.9708139505871696,-1.8545017083809647,-2.6615153144382147,-2.246435199043864,-1.7082716025652351,-2.0123616504809667,-0.09373955632636644,-0.008001032496088271
2026-01-31,-0.28993493784436025,-1.8338721399264908,-1.8860006501853839,-0.5397581405114038,-1.371099680253758,-0.516747627286657,0.23006603426449343,3.2476767336911037,-1.8146843465068163,-2.435825238275306,-1.7259487659949835,-1.664277687221911,-1.9191446795327234,-0.05212292991994648,0.21029112525468677
2026-02-28,2.2090113394470907,0.19790389829343658,0.19721471574838642,2.178732733987001,1.1340784596067968,0.13799187960351833,1.5004669856009294,0.3348458492608856,0.06632367674976967,-0.4104733907768645,0.4957766758670624,-0.28067160203708474,-0.047822884804709614,-0.09977956762418715,-0.053128128096887016
