GPL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2014-08-31,-0.17591975832163712,-0.38845451239713885,1.879245325734462,-1.2209225715363907,1.0952814681357255,-1.1792177338563483,-1.9838333259507537,-1.1395393571138444,1.6709513419974273,0.8336030960141609,-0.11030505596054611,1.4930831863742315,1.4368189774106976,0.1603873594722878,0.055099600526680295
2014-09-30,0.5834418758862093,-0.12215209814852956,3.090960815637816,-0.5232310973208306,-2.3001383216014406,0.3911117783185741,0.28166015639577663,-1.1506144658995967,1.1729222465912859,1.0567314249866695,0.15486742014661803,3.950966221814965,2.2795022077066887,1.9317804903174751,0.03014467934292954
2014-10-31,0.3868936493214841,0.4056236336552004,2.2769933715962263,-1.0422364667264645,-2.0349002414850568,-1.3860421800786062,-1.1697551316808157,-1.231244424310938,1.2710426235892196,1.1496725667627075,0.27175931392308905,2.643868481332898,1.7945674947770107,-0.7135374776313353,0.02627475320184317
2014-11-30,0.31952333986237974,0.662469016340568,2.724821195047745,-1.5000185581566314,-2.6924347648083233,-0.45426448611433223,0.8828932032292468,-1.2885849587028924,1.3667846622565227,1.2196889656461674,0.44064291165653785,4.196773982181245,2.129357391446433,0.26879017700925784,0.027156332302081875
2014-12-31,0.3693157651930442,0.5499622211281436,2.5214075187981377,-1.6811988826237334,-2.221052812002793,0.006775484433058135,-0.35613832227158193,-1.251535985403015,1.461798211591479,1.3353781760344625,0.6181927504467875,3.3310415602615495,2.1065163528943303,1.0879492294756967,0.08178841658355952
2015-01-31,0.9427600212255727,0.8252201011263558,2.75026410370094,-0.8789022413987901,-2.4078258801186463,-0.8901982970663609,0.7160420919952252,-1.4834215148675294,1.4081376117562645,1.6106029918437852,1.0263868884947607,4.400581174993113,2.181195458312401,-1.1118026592459318,0.05803260923854445
2015-02-28,0.62760393093174,0.9726075320162254,2.450089688578605,-0.9285702251328579,-2.5585812548068882,-0.8970410959097236,-0.5936455626791112,-1.5431937306973749,1.3681273989231402,1.587938501717455,1.0725759823352576,5.118085870072885,1.931674828199196,-1.3178369107930443,-0.1649845316376446
2015-03-31,-1.9075522296719842,-0.13330771412170728,0.4502890423879953,1.435693578530456,0.18489851834733592,0.27011099413011685,-0.23863563722737371,-0.9475427400434653,1.2630318967773562,0.7462767382573658,-0.3584697732777528,-0.043055696821806315,0.5550375459083996,0.8750627353679351,-0.03731927695672628
2015-04-30,-0.3958828680405743,-0.8275062973605356,0.21106662915431273,0.8289038929270605,0.2109369337457845,-1.1354846858661067,-0.5545774797542486,-0.8051903432784929,1.054117695362538,0.5398919936685369,-0.6346164639552936,-0.1500741842422255,0.3492804077875826,0.18689355306081087,0.10244243703421936
2015-05-31,1.2088166946617125,-0.5439684708247167,0.20895950887045617,1.3754092845722128,0.5884525174980131,-1.014654635109167,-0.5617965083450254,-1.09169899441583,1.5923979370941586,0.8838020331012694,0.0632176131789084,-0.16314545858144605,0.320016321152985,0.23019114427779483,-0.08239266556867493
