TATAINVE IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2017-02-28,0.4149037747738805,0.3912486419132036,1.9982162549140703,-0.41989990471694066,-0.6398230904921636,-0.30549659680972774,-0.06595402037267126,-0.6424233533594347,0.8442568825750315,0.8174104507868286,0.23741390995426465,1.540548696265682,1.9149433852662556,-0.7581074423754507,0.06813982065625117
2017-03-31,1.2982246145507017,1.3686809373090498,2.5146456557753023,-0.8184736141151602,-0.5044803381683983,0.8425147219153764,1.2375536575974277,-1.0082522776579657,0.6567569422117449,1.4823237185789127,1.2739750409220163,1.9941358516040901,2.315001788362331,2.2679685182099214,0.055943681346801555
2017-04-30,0.994984619340948,1.4703466518222235,2.3318197732028736,-0.8018695043825863,-0.5660637344777822,0.21104119373617528,1.1143052072868433,-1.4214078970529163,1.334562465320194,1.7381415963455173,1.789518144544855,2.1916932796530375,2.056728296220282,0.48481296336959173,-0.019211156642184233
2017-05-31,-0.5078405478000312,0.9223941762778105,1.5864921402603556,0.21693694119256515,-1.0046884868100903,-0.43958677105930893,0.18478047326381303,-1.198666584701931,1.0981857090091205,1.321903464692275,0.8821409072372598,1.8206498598519365,1.478510666947357,-1.168077811344965,0.1148321115626797
2017-06-30,2.219902482699022,1.3892945935560985,2.6119133542221875,1.0793733392808225,-0.3447521842664661,0.6777839272150118,-0.034013983300729606,-1.8806199141184081,2.3464544196082873,1.8704253136687716,2.0300451061864235,2.448722927374375,2.137059388364523,2.4776272675615147,0.18385150354426238
2017-07-31,3.2052569294528097,2.5386582607222214,4.077498515605505,2.6155138465452925,1.9627072561189893,0.9524885348259124,0.5296795652737953,-2.2433648046771686,2.9881773316665092,2.166177183662728,3.6513275064929203,2.374152438605249,2.8322724387878617,5.9069527226738225,-0.04789128770441479
2017-08-31,-1.020837093949304,1.9129344518865312,1.7537997508909027,2.8803959648063953,2.8968400337348226,-0.3927115458982415,0.3357702239613371,-1.5290248922628056,1.7239256951510218,1.36443862777179,1.3289128345662304,0.9098446052179765,1.4539289712653967,-0.9294188198603711,-0.0031890418570209972
2017-09-30,-0.31024735459952657,0.7298499499018594,1.213312374398133,2.5530201218791015,2.6298360678922967,0.8390430579067039,-0.1104377830729645,-1.2206177916292729,1.3248859663921806,1.0474424581751656,0.6030979909782911,0.5854494898376864,1.0328451038410176,1.5850023616174682,0.02776659950853227
2017-10-31,0.14125178116698947,-0.6496231271937396,1.407352384435643,-0.46900869533069023,2.2281259133014863,-0.894166859862136,-1.5293084708586515,-1.071309873571659,1.1808645185051687,0.9062274913596382,0.377680744217616,0.7132654725501376,1.157429147621449,-1.8056380976575455,0.027688141156068363
2017-11-30,0.13753691684390357,-0.019826619902014366,1.6378677064792193,-1.111123455395049,1.6721906620842681,-0.5927954373993488,-0.3145471116425908,-0.9511583918148013,1.062137624874506,0.7915390414199628,0.09383212829914428,0.9562042585204513,1.3114583894722522,-1.1464791406010597,-0.00437441110316483
2017-12-31,-0.36793914315301596,-0.04894191063203042,1.5867933792974263,-1.0454132257790631,1.296346356422154,-0.9482542600957801,-1.284334658686728,-0.7803044258631187,0.8432618444202462,0.6134919244877146,-0.33469742544633646,1.035633757027178,1.2980975401063608,-1.9368823546104206,-0.04942548284808634
2018-01-31,-1.105084772120083,-0.726794776958569,0.9713595664434471,-0.39594236734670923,-1.5408453889877285,0.20238847412406893,0.7647938048675403,-0.5350270177395257,0.5049710650947016,0.3467782976773149,-0.8471753849550667,2.226927119808855,0.8681722465056323,0.649469452844903,-0.05586009556964354
2018-02-28,-1.25487302712552,-1.5093337817414325,0.5014084599471225,-0.7089329582172512,-1.3972632633384705,-1.4848859373540289,-0.8850544234525323,-0.2853285440533641,0.17934403110953365,0.07455761204998569,-1.4501981983080479,1.2085718323212877,0.5132114262966669,-1.7249553778202373,-0.08466391814036943
2018-03-31,-1.792740640201175,-2.4087910740085374,-0.2676844010300253,-0.9975976651619838,-0.7143719924680487,-1.2940980301361444,-0.6874635041700148,-0.9456037555556073,-2.50097470065506,-0.3633799444343211,-2.309061469277334,-0.16098000774243473,-0.3820832988515364,-0.6792620145144461,0.16271600128350935
2018-04-30,2.256200631343575,-0.37018662239629796,0.17335005055048233,2.5492181633680975,1.746142039658029,-0.23168226267316422,-0.4669533164690396,-1.047896639894954,-1.9719163760421283,0.10522396581648955,-0.2613991724815201,-0.2579730941988953,-0.23882670461330469,-0.04520093153753163,-0.068481442692262
2018-05-31,-1.304299900088915,-0.4966408108970042,-0.13928443934530124,2.2892475620371715,1.7084173720316989,-1.233723895034553,-0.27016831487359155,-0.684845386852349,-1.7614508303321084,-0.37759195543091545,-0.9393559547578008,-0.4900084435970402,-0.4219654506497687,-0.8298455373498903,0.008499158139399207
2018-06-30,-0.1354064714129524,0.3907526947359108,-0.7556339891858415,1.4834102541731087,1.5727481512029888,0.07073053553083077,1.0264379984998337,-0.5022236965597086,-1.5265057506425634,-0.4958026721660716,-0.6011079757361197,-0.8880305372137839,-0.8751876622421518,0.060845659584317396,-0.01023247539891631
2018-07-31,-0.4082992900745902,-1.1832356183120103,-1.7437007055573455,-0.49352801959667664,1.3543127952995742,-0.5646992039110216,-0.5641002006478176,-0.2987141730738142,-1.3748224859201672,-0.7655404253380999,-0.6042518711302401,-1.4920709238418544,-1.5839323858863792,0.07705653671391345,-0.0004957858306811549
2018-08-31,-0.2830588765413987,-0.5265665231015566,-1.5698724622398204,-1.231400466081278,1.091884430235606,-0.6821561792549432,0.3378848740269802,-0.03578427733937977,-1.252895484561866,-1.130563193340611,-0.6174738738191639,-1.4320039968558307,-1.5690515885432064,0.016659235783780795,-0.10596681011502528
2018-09-30,-1.7745383191199657,-1.4990331657038167,-1.9567540813511393,0.009892010555058551,1.2184511873295707,-1.1808790885532636,-1.4064797938208382,0.577501906382314,-1.1416439553404956,-2.0867489435249102,-1.7765105949851738,-1.6545866511163376,-1.87909300374221,0.42607342388919317,-0.07111188176611373
2018-10-31,-1.1013659425562075,-1.890916636398544,-2.133206757558679,-0.07724875051626637,-0.9509164942609407,-1.045169336804008,-0.6850997192364934,0.9968861161008963,-1.011445531580904,-2.488504196693136,-1.926698618461516,-2.3261219892958067,-2.0370698016184146,0.631352806317343,0.23019279226140446
2018-11-30,3.08409182784505,0.21387445178987088,-1.2312230322405722,3.033075308231713,2.259367237611517,3.360009223483836,1.6487882416648392,0.20330596659188552,-0.7831899996104729,-0.4804592751559895,0.6923336420000122,-1.1051439003597001,-1.238280971737433,-0.42967292696320925,0.04707561869218052
2018-12-31,0.3581399925756634,1.4618716734903203,-1.0059524542188323,1.8070661485553656,2.0074121384915107,-0.36735306091217634,0.7569298126566975,0.22727275275637893,-0.6763617467425335,-0.16859739034605184,1.031348505222556,-0.9967411810624627,-1.0828421516115838,-0.06183534657397829,-0.04285224310434765
2019-01-31,-0.7293611762765152,1.5605570789541001,-0.9694804597691219,1.3825643699514434,1.8567996814421575,-0.2802751413133674,0.5188109622010494,0.684084393462622,-0.6289249961125457,-0.6515453480559346,0.3277722865049524,-0.9758036705109057,-1.0483312263170101,-0.07056111446809439,-0.03526693813456656
2019-02-28,-0.5957644194288358,-0.6424516318154492,-0.8482900755447824,-0.41459639582096347,1.7066244829108252,-0.5708216064692716,-2.1341412134673967,1.1042832996709169,-0.5690354960571024,-1.0806508663202588,-0.14437797255896448,-0.9021214495401808,-0.9343922389820366,-0.13023935132783696,0.01037528911401731
2019-03-31,-0.03778040548873026,-0.8976564008819985,-0.40404002466391387,-0.8328746384827207,1.1265821421215072,-0.875315036865214,-1.091750576979936,1.391692347667239,-0.504262709704586,-0.9866943044473865,-0.2785346192131693,-0.625103598764415,-0.5915112128585952,-0.4792274222950979,0.026178575199919174
2019-04-30,0.17365007649507588,-0.302521300914694,-0.9216758290950193,-0.7811807842437735,0.6916981128179692,-0.5960526512754368,-0.8186508067027449,1.2742997606850082,-0.4235030411313955,-1.7643304960096327,-0.3553186315523684,-0.8561563723779214,-0.9212247307891767,0.016288746326569004,0.038307436157693484
2019-05-31,0.3308916200116982,0.30878661675390107,-0.4344929213183744,-1.135199824493389,-1.6054912164576793,-0.451377695753615,-0.2230308880606956,0.9638839067596247,-0.3308488225275079,-1.2136813313931345,0.03854327803904257,-0.1862593735992006,-0.5689912805085368,-0.22006173819621302,-0.0002250731497235969
2019-06-30,-0.14772883069325873,0.2375584110017165,-0.44296024729969163,-0.9780282609240094,-1.7998641514372362,-0.4611693871307685,0.10958961994385101,1.0175572473070769,-0.26003154956616453,-1.18472564149263,0.05830169354158363,-0.11757618776246814,-0.5475640306847314,-0.21372836732548742,-0.08010836355234038
2019-07-31,-1.0610916265026198,-0.5692038503503569,-0.6739379232327032,-0.17500828171448052,-1.3339438619171946,-0.2716497374923936,0.0565281638027917,1.752924760619077,-0.20179260390436507,-2.315247131153195,-0.7318064194339896,-0.6112617672132237,-0.6736618201585904,0.01722949733906853,-0.06160821720345069
2019-08-31,-0.7716922996205767,-1.3721989970326633,-0.8800969312585261,-0.4875838688345976,-1.0984384942287888,-0.02448646724596248,0.1745023669818779,2.564431344606805,-0.10850947085907711,-2.9474959131599276,-1.4058774680544464,-0.8720154969269653,-0.8192012602264864,0.3418590431487324,0.06185206016978919
