BSE IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2021-01-31,-0.38396898687724496,0.9359055981478956,1.7411615749354608,-0.1723833968246964,-0.29576515689023514,-0.5137232969538003,0.9272363713900272,-1.3833374704754626,2.236280413153561,2.092935774343227,0.5983210031672291,1.3819140786689448,1.53292191858006,0.27563210730671106,-0.011388242500156728
2021-02-28,-0.08182972181034355,0.25624888060553697,2.6086034192418457,-0.3286603061841657,-0.3546255463927204,-0.5583515348818929,-0.29250917602547694,-1.1386739493971803,1.8101518980769888,1.8119663093452594,0.26157552044276217,2.077194079572991,2.0618121677038848,0.3902106703081217,-0.017959411415024593
2021-03-31,-0.1368543389792343,-0.41036492276025277,5.491389944806388,-1.119350413697024,-0.45264515267935757,-1.0945834151372629,-2.2670513230435736,-0.3302557394440962,1.2984892455180368,1.584913214676544,0.034172131573839616,4.722219004731444,4.932039731881362,-0.941530207548461,0.05039468716817838
2021-04-30,0.38814376435679476,0.11352642577239394,2.1780134253480865,-0.8981022677282209,-0.7166191460369102,-0.713561483320877,-0.25312222470024576,-0.42378765785533806,1.5747222604171207,1.7672599112271565,0.1912686467091313,2.45112487144344,2.040253895165164,0.17208844586531538,0.4711828857021806
2021-05-31,3.4367997724242203,2.5000472595316783,5.075232319376883,1.7096420448380452,1.0490054512194342,1.9459556325333327,2.07976262275247,-1.3179648295473168,3.9387229149543885,3.5902943755858168,3.608522671779442,2.2387292363509617,2.973939140760028,14.168106133908893,-0.06621735296534943
2021-06-30,-0.5036140216576198,1.9417174450231403,2.245734291162866,1.7356353384215357,1.1107682776639523,-0.4595292523131735,0.9244518069585518,-0.9760555325436745,2.1285414369987645,2.3561359335736554,1.6427318433822606,1.2697328527843423,1.7747421813747841,0.1615344535824727,0.3269758160414899
2021-07-31,1.8426301074688778,2.8601773527614163,2.7495855065334904,1.5249110948631837,1.2622533441721806,1.6639094313198837,2.725606164024369,-1.1765403254930376,2.457312314564014,2.490559400136871,2.9815158558149304,1.5792416620900733,1.5873106553363003,3.9368556663066863,-0.04119440939472474
2021-08-31,-0.45110527753719815,0.5322697156769547,2.268147107517812,0.791059953401503,1.2160907848997318,-1.021870710992742,-2.0360918679814826,-0.8976269665981341,1.5650811270011085,1.7814788496624854,1.2915827969774336,1.388361086114789,1.4840376695542998,-0.5718216179361353,0.027041689225198593
2021-09-30,-0.03894790261972565,0.820432984694899,1.7245880489994856,0.49397350821817615,1.0454672224282329,-0.7494036159569843,-0.23240940101199878,-0.7322017298786352,1.245211535275956,1.466524540992973,0.6391694967598873,1.1313264641454512,1.1555151239703298,-0.270819109464512,0.07272344777783277
2021-10-31,0.2297517689471605,-0.16398549206537064,2.2190347927406817,-0.9313827300037336,0.9417802413002494,-0.7252136918617491,-1.9407030453201224,-0.6288779953557853,1.11285150966689,1.2842393112845247,0.3640569129415366,1.5511107724400133,1.3790044609952972,-0.2572561864210362,0.16382304716185297
2021-11-30,0.7295476243328631,0.5827968952272006,2.124317637569101,-0.820292340046938,-0.16629041902989114,-0.6519421925939449,0.39689664195846247,-0.605158548751421,1.1730976437704033,1.2322739261415516,0.8124174138051826,2.561565918286126,1.1326319861694203,-0.08505144645698202,0.20695037257339452
2021-12-31,0.9170444752086039,1.1873721183125636,2.2365389967494336,-0.8267717661082358,-0.3921472109046699,0.6411672457695767,1.1186588993257214,-0.5845310934365187,1.246103998666476,1.199605562677494,1.2634505512313068,2.9151095987633386,0.9546798725682125,2.607085292334372,0.01789954574695861
2022-01-31,-0.21471777188577873,0.8939429581098236,2.22164719182688,-0.5304445302123553,-1.01356659426403,-0.9398815939446467,-0.11107167985803545,-0.4180978093613065,0.9146284596084298,0.9611558451765534,0.7569603685943022,4.148265006584623,0.9919264697740446,-0.338465622723777,0.005239223345271547
2022-02-28,-0.2756620845501404,0.26031644744492455,1.9993699907811535,-0.3995491021757642,-1.2209848532109986,-0.43799914250308636,0.19705948133190107,-0.29617888042349166,0.6631394573753633,0.7627397875510509,0.2476453720225323,3.5976684938624133,0.9405598805128836,0.5102120863288954,0.36629573210428923
2022-03-31,1.780384289896397,0.7927367079267538,3.472005565794572,0.5484787581879526,-0.3997558186504615,0.00882000764969131,-0.5879023527139515,0.04035740249938772,1.0078753725757714,0.9541574115052227,1.6541519911369835,2.8815954691717254,2.4052269649911246,2.260009917903449,-0.048242121027103416
