BOOT IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2000-04-30,-1.6544724938421398,-2.574264935815927,-2.329290805385272,0.9259735099605408,0.2996379027808639,-1.428332842642813,-0.6823323853531585,2.8867623034190966,-2.790204193999086,-3.301770553622487,-2.3294106411773403,-2.180905346921589,-2.9003899340890533,0.434248688085098,0.13533745302283934
2000-05-31,1.1694870623914486,-0.19710651629773054,-1.9027488715894119,1.142538927988812,1.5990462977432338,-1.176406111020286,-0.5797493399393086,1.411171034376887,-1.5851416597939945,-2.0183994945905477,-0.8958538682592917,-1.5740701163868442,-2.0162013542822175,0.23368505990508331,-0.05737975771437003
2000-06-30,-0.4460639272859709,-0.5097243447810119,-1.5870694969481527,1.062854849893774,1.384222602238472,-1.3211914919485435,-0.9755180590800315,1.3624959023761485,-1.64937936240085,-2.0130089280886176,-0.7100682110913363,-1.3596689244661186,-1.7133009371470045,0.33659643111834636,-0.03327853384555955
2000-07-31,-0.3019338157808189,0.26503916602778266,-1.5407645467285485,0.04975656436741206,1.3699550743738387,-0.8873050012258242,0.17584775706852693,1.2029398265576932,-1.5738039723379764,-1.8924275842775942,-0.41622554551660984,-1.3308037741957544,-1.70694507488727,0.12018428420155042,-0.04467916146290985
2000-08-31,-0.38241889079601993,-0.6559239812796935,-1.5673646884670904,-1.6442689890795474,-0.11764801056127333,0.31941390930166186,0.63663356420666,1.1103949222238587,-1.445671594901738,-1.7273185929241903,-0.5121019231920074,-1.6491142505251926,-1.790750482959478,-0.73520982836354,-0.08706732261050101
2000-09-30,-0.7165235820450424,-0.7677394858019789,-1.5861237480176686,-1.2080046656440036,-0.07205225867550558,-1.5751588246444936,-0.46376900833605966,1.1752946300249913,-1.3820591942159106,-1.6439610734297658,-0.7293091751713111,-1.6654555639154356,-1.9750478948487498,0.9169449123559925,0.026009914848045216
2000-10-31,0.4371598934530982,-0.39124701425364394,-1.316969888230912,-0.6095792480928028,-0.9115952526831472,-1.6464827492252325,-1.2910967794818589,0.8194651106533798,-1.0493454790916483,-1.3285518776382146,-0.4273997261643604,-1.668589675540084,-1.5337198235295642,0.8843214461433979,0.017828673211635535
2000-11-30,0.3022215608492113,-0.001571563235550966,-1.1421184004312588,-0.43508954362935204,-2.3050820721174636,-0.8925307968678383,-1.2409933530244217,0.5760545221116545,-0.8196484755330445,-1.0905077071938742,-0.05454343553711023,-2.327829927762194,-1.2717941020576486,0.23794881222526684,0.11547783721954248
2000-12-31,1.311772201250366,1.1261638235008207,-0.8924884737125063,-0.5558551514963805,-1.0300492783941089,2.681000067259183,2.280415402604527,1.4079491530067085,0.20726525855476963,-0.6888256661875148,0.8819358172779853,-1.1152636380485135,-1.2870512492400843,-2.128337045251911,-0.027864231967206672
2001-01-31,-0.12945754177562532,0.7919159548502621,-0.7857372871714764,-0.13002682811182587,-0.9715737317451464,0.5442758898949169,1.8988781661480603,1.0482383717292787,0.14022179199761223,-0.6387119501464059,0.6924643464245103,-0.9863858556019904,-1.155230078250223,-0.599225978029603,-0.02957204736237311
2001-02-28,-0.10789613931180386,0.5965591642696452,-0.33463429617523915,0.02173297744631229,-0.9634736560787511,1.144439322260081,1.685840310617543,0.813744752511675,0.10391341784135927,-0.5905670111228134,0.4816897919119789,-0.4207961001125196,-0.35599740535991453,-0.5582101158427395,-0.0958560313462625
2001-03-31,-0.7506611285938298,-0.5682823246652277,-0.4687738762025286,-0.9509168007067235,-0.8181101765129538,0.9008303989986993,-0.6004569763459787,0.8244377801603978,-0.10725652449184962,-0.7096077818931685,-0.2235376981380419,-0.5990670821810758,-0.7852993410171623,-0.5577957439629715,0.006485430564153128
