CGPOWER IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,-0.7776165460943735,0.1427962216663474,-0.3875462401131278,-0.3922572188437992,-0.8744853713668462,-0.44516433268442746,-0.43949985758461035,-1.1513204941393014,-0.02589432443847346,-0.32268895213268567,-0.06537599598853684,0.1366271088806043,-1.2431115088340958,-0.3934751537478077,0.1626777100633673
2006-03-31,0.703906652919249,0.5837959715829247,-0.2309138196469718,-0.15364500400097317,-0.6967138065389306,1.0672170588732575,0.09674138426432995,-0.44429882543707555,-4.4652351481832575,0.13565380958350728,0.7142616269176723,0.14152864179229382,-0.5458270341062884,0.8699691524845902,0.016064602503806622
2006-04-30,-0.5202701100383033,-0.43241967717429947,-0.20881377532369133,-0.3051039542700437,-1.2297228075456845,-1.7290614533109228,-0.8121910876401844,-0.35053781282047575,-3.279181511247574,-0.41140536746371126,-0.08205756493387885,0.8182986351083044,-0.5445287447550782,-1.5410804239067353,-0.05073428382166922
2006-05-31,-1.0190331959876537,-0.6120037544677529,-0.6220672350548601,-0.09057143199685395,-0.7562199951624871,-0.34830929845017755,-0.05366300102285595,-0.10936741969666934,-3.0739968560904196,-1.0861431273045812,-1.0811891354779841,-0.15933208002061813,-0.7763486003604415,-0.3116803533378417,-0.1476518754760922
2006-06-30,-2.1842482479493635,-2.5576955113775472,-0.9594300672465966,-0.4766745014867011,0.18525266644985974,-0.7829625709208945,-0.5685833643050978,0.6527029393707507,-3.2384412377110094,-2.4688333789678745,-2.7493326338764805,-1.0444522929935227,-0.803028347337276,-0.5467322274601825,0.1325187343101363
2006-07-31,0.48958995972434277,-1.8132245553681263,-1.4273870115514338,0.6998883577963607,-0.02913770437414518,-0.5390635965928633,0.42909503710550234,0.4773523311045101,-2.26804521537373,-1.8939506402237085,-1.7801986797775686,-1.3282688315361002,-1.4113006412111113,-0.32948793590710196,0.0457460217882038
2006-08-31,-0.27655426394568733,-1.2585698639876854,-1.3398149535111419,0.9591598512471023,0.03219715556772135,-1.471946764417386,-0.5420678104599485,0.540247211394732,-1.881376531856782,-1.7712835430174718,-1.4979882094726034,-1.3197157093687215,-1.3812631584415478,-0.7902793888254998,0.16397450919386533
2006-09-30,0.8923053156459014,0.7004292028325458,-1.2480032570963615,-0.8639408043693934,0.14882648261927478,-0.42233535958404733,-0.09792897663683622,-0.5147616145990344,-1.0624963660979336,-0.6447248527674028,-0.09900216523313185,-1.308827371882147,-1.428238766373148,-0.30074819414557935,-0.030951375792482364
2006-10-31,-0.9907671480172436,-0.25174523362384155,-1.0485424078697032,-0.009020032521025286,0.40762327364871354,1.4154934133038273,0.36944100259703927,-0.016531357775079206,-1.1967715880402838,-1.2490495454526642,-0.5924380119782259,-1.2379469211068825,-1.1358197536862262,0.746661998399184,0.10331215585536775
2006-11-30,0.3439729168202943,0.15992495643150095,-1.1284323955034181,-0.07066751522092733,0.5917968210397144,1.615892310269571,0.9275409747574939,-0.8417914621391454,-0.6572712877695035,-0.5799141655275766,0.04269352049497612,-1.3587061218658212,-1.272130632756892,0.8257469807133682,0.09849021865408344
2006-12-31,0.2831966066509817,-0.2390133174453502,-1.0446544607839472,-0.8048659216117887,-2.050660384948367,0.7177724316136398,0.33056027189329423,-1.4806392214536879,-0.1400376136259,-0.07284453424974359,0.235573509049436,-0.16744014294607992,-1.2579256342591458,0.3618858583232366,-0.06612323064273738
2007-01-31,-1.2516365815467125,-0.42641623008841417,-1.8602196108602547,-0.2996255891311635,-1.1516181686767148,0.8574453626656061,-0.10168212836742642,-0.5523205195424208,-0.5781158409045255,-0.8980308533255282,-0.9531923160815521,-1.6930670229866318,-1.6665987341974995,0.16563788317088324,0.006966871167287568
2007-02-28,-0.5476717620070726,-1.0431194063705542,-1.6545204301256233,-0.7086726201476302,-1.1530551353779122,1.108726156634172,-0.06647799866462713,-0.46760097955990254,-0.5728947344613865,-1.1304212732213152,-1.2541499822909599,-1.4804960462732,-1.4851113137002763,0.2906666598957854,0.013789799721879976
2007-03-31,-0.4153068076577727,-1.5197888240111257,-1.8586016828109304,-1.8465615584903001,-2.3840530345379984,0.42649113883862344,-0.06673680637363819,1.5725567499701918,-1.8022813481891866,-1.2655044143712724,-1.242420667899919,-1.5795263239251969,-1.5239647324165715,0.03947933587547509,0.09961235017522405
2007-04-30,0.5348335385243076,-0.3101945282210566,-1.469498808536238,-1.5001700301039,-1.9959880941260775,-1.1642785786971723,-0.8546960714612603,0.5095488608910725,-1.1031274327096656,-0.43763767408808957,-0.5585692130753669,-1.144146001123351,-1.3016861137630888,-0.4014322789864184,0.10927845035305189
2007-05-31,0.5996725366981982,0.478311673858148,-0.956798183347339,-1.3434818795815933,-1.7079715599713843,1.7463830492435448,0.2811530567759539,-0.520240336260044,-0.3467799185030616,0.5002512470777754,0.25453014618448966,-0.4737546688257536,-0.978879369179674,1.340687646311421,0.03000427792404172
2007-06-30,-0.2547885190258261,0.5852510591166128,-0.35584187295229275,-1.6283776054957553,-1.803702965469165,-0.29059996782325004,-0.1575368147378745,-0.6934886276813952,-0.1444992179466791,0.6525005185255827,0.2229083951001376,0.6262605793862752,-0.5801356146624146,-0.1408123649545877,0.14650360900978815
2007-07-31,0.9488609073577259,0.8625491663696253,-0.23872880372646166,-1.0642373114046335,-1.9754509717193982,0.08135363742216939,1.1753599145624953,-1.8871118399620854,0.9314661375063953,1.9441233734150989,1.1512821699034985,1.0722318751134556,-0.7051187849262772,0.23272389683880557,0.041394540606884404
2007-08-31,-0.1499716448202543,0.3577010118300228,-0.17908309432621317,-0.8385759264428744,-2.079654654447113,0.625120154470865,-0.6047172801215263,-1.7081529142426397,1.0480039078585175,1.747692042882664,0.697272652596619,1.3916992387057234,-0.7363521089378428,0.8210515699931019,0.09015109699429748
2007-09-30,0.4067350331158137,0.7814487634003459,-0.40359636699799256,-1.1798005238626967,-2.2261620179300636,-0.7124273221698771,-0.016818836614978648,-1.8691602581449809,1.4539551858954358,1.9733251255466344,0.7509841467874636,1.5418533041128444,-1.0231730614017063,-0.5642906066990114,0.19504526699391012
2007-10-31,1.6470944548057547,1.226703872052838,0.762647640955536,-0.22018654873559793,-1.154688904323185,0.25353899555080667,0.19200317016371765,-2.286537766617948,2.314502822255627,3.3066600333964846,2.0078511345411267,1.815632240095206,-0.6215504687694559,0.5450469066173552,0.0422743987030324
2007-11-30,-0.24839985691442504,1.1349232430961678,0.4650088626035048,-0.19748263264556776,-0.887195817133386,-1.525835168150879,-1.409114597582295,-1.7719804442876612,1.716223710573293,2.1388601811764523,1.1200499785189395,1.0384004709315697,-0.806800671199026,-1.819450389143627,-0.0755496554076377
2007-12-31,-1.5851108146117494,-0.10275490162455639,-0.3333035696797895,1.8867176819116422,0.33098237700699046,0.48159840789190667,0.5692523075531577,-1.1010541686491704,0.8592287059026487,0.6275381664013223,-0.5822492204889838,-0.5545249973103202,-1.112576283086237,0.537533188509296,-0.18595609661831242
2008-01-31,-2.670204477999396,-2.804529262365309,-0.8158811144181968,1.0299598880814262,1.962937398522312,-1.0490526049059623,-0.9439122043059387,-0.2610618524236727,-0.15496644006756835,-1.4262902479405153,-2.4934128003944838,-1.2356518926456035,-1.1280624122611682,-0.6555608230853067,-0.03500278506132303
2008-02-29,-0.7482477434051162,-2.8803489140635037,-1.0690963687170203,-0.263486709382201,1.789765005936884,-1.3744503294028114,-0.30975617205555595,-0.10460190612384354,-0.28772173652117905,-1.8713128081492973,-2.4729883102386507,-1.2762722421113377,-1.136605974144792,-0.8385178853264215,-0.13536692911638418
2008-03-31,-1.7509943487475232,-2.710185526950648,-1.7310906540976005,-0.2831723212254907,1.7397273637576502,-1.4594532466263728,-2.1566925697795707,2.9810545235610872,-2.011931044183761,-3.012287346396877,-2.8246550588333386,-1.4734230439073503,-1.003873357588926,-0.6053512061263884,-0.09838305720046184
2008-04-30,-1.222647835014274,-1.8514214683212673,-2.4487566382873482,-1.1315115580604678,-0.3955503626026957,-0.8053369798195993,-0.27844479073474054,3.116692700028276,-2.098886581346714,-3.3288937964085052,-2.5017157927586684,-1.5289792364893597,-1.7299800923286763,-0.0784069930338607,-0.07884402102029678
2008-05-31,-0.9531581480165875,-1.8578751032858682,-2.831060126670114,-1.779318388088325,-1.3294555034599722,0.004891100149203174,0.8044825909593504,2.961556568376623,-2.0585665267621818,-3.269046816892987,-2.0139091953687727,-1.8681784456992518,-2.5146646284059835,-0.05719330443432302,-0.039141751585589905
2008-06-30,-0.5559467196049546,-1.236597038504922,-2.5622714692404007,-1.5505273779409978,-1.044352496866265,0.03476311087414038,1.3228313963824854,2.694418295812375,-1.9509352858361386,-3.0083576792351487,-1.49102905306083,-1.8154429926310942,-2.6192409450119722,-0.08535839844435812,0.06276916477859514
