RVNL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2023-03-31,0.9282894326342017,-0.37222857482359234,1.4616642051092905,1.3013982711069667,2.6423379193614287,0.21169180516334285,-0.08043031476206187,-0.679733124259989,0.33424761553072657,0.6238974774300101,-0.11795191691353378,0.03209492895179807,0.9065078822125995,0.05617226484344531,0.44966332098189954
2023-04-30,2.501098423931723,0.9230744717052491,4.261989298709303,2.519872914366825,2.629515187609983,1.9020005992885327,1.2579258038735908,-1.3920566427964582,1.6752564571768778,1.4689127685592063,1.611393526911278,1.4848414655770608,1.9032542186009012,4.672234378805263,0.10953588706830696
2023-05-31,0.2838454108846833,2.30251559124094,4.0427136778547546,0.3522299680538816,1.2398290921783781,0.8272349301801754,1.2427111748938529,-1.1800060789306244,1.4140218679039,1.104308380638732,1.5414022656626738,3.2484660457782417,2.0993629038749066,1.933787719856792,0.01570929370517988
2023-06-30,-0.23191616114500524,1.4429583236387045,3.520617671723759,0.7782938890846666,1.0356605891495074,-0.342365067964351,-0.12671228361073988,-0.9017824396060707,0.9722499442551786,0.6870434609265645,0.8697377279675781,3.3763769963365307,2.332661448467913,-0.9217106330826418,0.017886655723335653
2023-07-31,-0.19410736341785803,-0.08559183320117686,2.6837765073390196,-0.9268396105255573,0.987633700781399,0.18997222806433622,-0.6436438780797992,-0.7024312375487382,0.7097866915783466,0.427900014942004,0.4513777303871277,2.6125015034455092,1.9785534281025245,0.4409287242276367,0.05449123755885404
2023-08-31,-0.0290781353953595,-0.27393697483726803,2.22408979622196,-1.172340075245854,0.10303958934732634,-0.31096362515546583,-0.6348209508335771,-0.5672472498677699,0.5960937757859668,0.27281753627309413,0.0839839087073697,3.6939196299659107,1.5973855399769992,-0.7738915010110865,0.2569789682836448
2023-09-30,1.0816905851462357,0.502636348641944,2.924747923168873,-0.13253259982906612,0.15168170625659605,1.4049368308905466,0.9267831626614919,-0.5955281270178374,0.9956035480393062,0.4449543435487279,0.693136608957372,3.9678304894668757,1.5663103024552247,4.90596285439257,-0.09463174372090087
2023-10-31,-0.9113121199088867,0.0713720871126216,1.443104148918815,0.28776346311818835,-0.48230048934242714,-0.8648325285715818,-0.6860512190776719,-0.3400389799353781,0.38848264119402115,0.0240732972318686,-0.19171960300540797,3.0989450857891776,0.8538939856768503,-1.4829397484087354,0.06315904268616836
2023-11-30,0.009417208327371038,0.09479201209438808,0.038622720003538454,0.2570412778153438,-0.5130874897744757,-0.8664361328446414,-0.6069870511508934,-0.25743589907940523,0.3564672464726481,-0.05032258384124546,-0.13614211611374752,0.6020906853837813,-0.38912347372998773,-0.821722782927293,0.10044590084201711
2023-12-31,0.18643079991420314,-0.4387933014790582,0.3665035374733124,-0.42839982563645373,-0.5150980722434513,-0.4330721768082748,-0.9978692051904878,-0.19867978092527025,0.4049126560128991,-0.07385921416001286,0.022082926781189095,1.1062978695312906,-0.17666888906566228,-0.5815061874618984,0.5293800441841089
