LIIL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2017-11-30,2.11459097591647,1.3803064258989148,1.0135644634477332,2.5662304572997754,2.029367964919259,1.0476756781114105,0.6326676140985135,-3.455209274229508,1.848462966439067,1.469913965056953,1.5735171985065508,0.38512048294152623,0.7037067594395814,1.1777341874519542,0.03289552022386586
2017-12-31,0.14131293521363533,2.061530892937329,1.275673391378479,0.17494115878898492,1.6727947008975763,-0.32665424213827887,0.17743374644625878,-3.43005446536156,1.5353339062732638,1.2778928152339926,1.351819698453187,0.5443836537475183,0.6961130737658815,-0.05542775856723197,0.0018634124463968525
2018-01-31,-0.2275349478241393,1.0006322365393452,1.1518910604379595,0.742259720276695,1.5480338796098552,0.37530857880674434,-0.03447016864515223,-2.445203128491417,1.2146339514166735,1.0383387235760562,0.889372122434775,0.4660219282275304,0.6208937027222212,0.8125484489616258,-0.07437293826467448
2018-02-28,-1.1851214341369196,-0.660296081410057,0.6278406254511025,-0.581225999548653,1.4884899900187294,-1.063029124566228,-0.9987290876880286,-1.776539219440947,0.6561784663947827,0.631558946900503,-0.2017218322455759,0.13117446166024527,0.3815218532971581,-0.5391410850919951,-0.13139933294916542
2018-03-31,-2.031140768209126,-1.8653075849303142,-0.35218841284377717,-0.20933740492526345,1.8694745306332226,-1.8375769592253057,-1.1941319167842197,-1.0547347854743987,-0.19617784344983094,-0.09152553114113793,-1.7423823968501166,-0.49190370460645494,-0.19425258455894126,-0.3061466878155039,0.028964666400175688
2018-04-30,0.09925209107950023,-1.6481220083031733,-0.8920282583889185,0.29441213850053993,1.1125444238971627,-1.346072205441507,-1.2034064376127067,-1.0360803078845902,-0.17798600231947895,-0.09187274138272992,-1.5071649076777975,-0.7908645556707192,-0.6362249922989069,-0.0815273760413691,-0.048945697259410406
2018-05-31,-0.8415889247309457,-1.4086448665757672,-1.0286476174046917,0.31635067590748145,-0.901445508734342,-0.9504191246317423,-0.37657298720755544,-0.6999136394087262,-0.7735921783969553,-0.7117478207473453,-1.631693969419454,-0.9077918502459054,-0.8614503309921805,-0.13780024502036387,-0.008434914115059922
2018-06-30,-0.3080405527234301,-0.5413107099575176,-1.133963765140568,-1.0648020081432528,-1.125432540766525,1.4851442607350458,2.3097115869432407,-0.5052892107512215,-1.09225168872134,-1.1278864940836553,-1.2565840571887954,-0.9574015273166852,-1.112280076236108,-0.29221546866738485,0.015525905757114773
2018-07-31,0.060204094774789746,-0.5706147188335196,-1.2062915951213042,-1.186287577279013,-0.9473385334272378,-1.3658463979272075,-0.6323631007370217,-0.4596258785698037,-1.065818613079431,-1.1355318884704872,-0.6908676138437783,-0.9876686888516892,-1.2361492007298,-0.21738939736808108,-0.06607644200207488
2018-08-31,-0.961372085889229,-0.6196337083220479,-1.246028984277661,-0.8077992397351298,-0.9144164557037461,0.7734008775777097,1.1228294315413936,0.11134513773832946,-1.8098479097163163,-2.1012521846880725,-0.8932086227823861,-1.0029640441401457,-1.3218124180527169,-0.30249132768962456,0.01254320429393389
2018-09-30,0.1418016803289383,-0.41533199535733223,-0.6993826626097501,-0.6190169211655231,-1.8452207679046768,-0.7354777086131232,-1.2862392668719966,0.16734788499748304,-1.5541454619569515,-1.786480799358068,-0.6141620630630993,-0.29634370463595394,-0.7698587982668512,-0.4047337823073793,0.07360156787513415
2018-10-31,0.923631898009776,0.024658804216704463,-0.9644617051255409,0.17732202849591638,-1.1513083140948703,-0.31009742572886556,1.3047228405979132,-0.24063042886759076,-0.7706299281269372,-0.8455790036936384,0.23627514821124324,-0.7688927586239722,-1.0073190968050278,-0.2824417592649496,0.43404167866405524
2018-11-30,5.596925403440126,3.5257238702283,0.3481517811787474,5.22547437882373,4.2756230286855885,3.0831197232342333,1.8781129630550464,-2.974097188912306,2.997826176679316,3.0302706557259538,4.618503288150176,-0.4142668200565037,-0.2402616719134212,2.16954998209443,-0.00022069371480312665
2018-12-31,-0.22107140990587637,2.667877563938866,0.13453819318923815,3.541150263877595,3.080213821565774,-0.1502407220422981,0.8205899423237798,0.6687942732071637,1.7442494730460065,1.8797962164475084,2.2999627471787476,-0.470149454138961,0.05975448981212042,-0.32364553566059934,-0.355246552316632
2019-01-31,-3.3295493624781423,0.09989256112034434,-1.566968885021556,5.6951147068707835,4.4398408442229265,2.384122862631244,3.319796731783113,4.80549435396167,-0.8704159735394934,-0.8600543872686514,-0.8487865685319024,-0.9526542878124672,-1.6738674201624892,-1.1054713945829924,0.03627767970677758
2019-02-28,0.1742973894259538,-1.9322396133505915,-0.9955650641386756,1.4474136575938394,3.0886326322641136,-0.31943334349576297,-1.3173109875023463,3.0665824863083815,-0.7130684349779115,-0.6594075934390513,-0.7830586299344725,-0.7954362581783422,-0.9449593991408909,-0.30673862726213025,-0.015298615561862757
2019-03-31,-0.20094989062174962,-1.8119341520735632,-0.4018291684871289,1.2769624850262296,2.5437204913071962,-0.5011781402002632,-0.08619411201372014,2.5683618885442256,-0.8457517526866468,-0.8216403162790429,-0.9989164109494068,-0.6501263473673607,-0.20049186670296953,-0.43058957725118246,-0.017940025913871043
2019-04-30,-0.19020794847792497,-0.13236886694995395,-0.5674269783492834,-0.8939389336035373,2.162947472521373,-0.6023200816692651,-2.7964056962511634,2.1590813893705514,-0.9107790522185036,-0.917213478261223,-1.102262272098578,-0.6771566472431653,-0.42738821634396335,-0.4203446906643,0.16264971512723628
2019-05-31,1.1883464190682216,0.4807446426879898,0.7378105908649399,-0.05387532560328979,0.7757589705687935,-0.46548728984705645,-0.4240085603490782,0.9491550820601252,0.15925540076982103,0.30044237177267735,0.2513088263737005,0.036739231008641314,1.1138670067855685,-0.6337210564098417,-0.07686855986352018
2019-06-30,-0.6293265111196007,0.21415452703642668,0.38888714050224293,0.1814156042420912,0.7160978047126176,-0.6207534031501474,-1.169335373627738,1.264922721846352,-0.3849925368788365,-0.32125192122398427,0.08735474569012606,-0.09723842507949272,0.8509624212261309,-0.6603223061986873,-0.06384091887695341
2019-07-31,-0.512967755558314,0.007922430892566156,-0.10115737301844273,0.28022342074496737,-0.5449511879147575,-0.6209211799574224,-0.8792886377523751,1.4351297330748802,-0.7813870314369701,-0.8090379915009005,-0.3578206454215789,0.09288017793538354,0.23041842080180827,-0.48395247465046765,0.028756458599578105
2019-08-31,0.17263951979572742,-0.6128777555208604,0.569669150130738,-0.6427924452566843,-0.5681511103123645,-0.538666694833622,-1.1175700266648607,1.127561649203926,-0.5795042298125718,-0.5800034577717331,-0.16832451541609902,1.023458307499207,1.181772961214627,-0.6298809922129915,0.017744945112516577
2019-09-30,0.06664751947727535,-0.17258842143882994,0.5624041999290298,-0.733919551888711,-0.5788910303161704,-0.5176659466025425,0.08006194023008599,0.9638068162038399,-0.48795319948271887,-0.47887959580368283,-0.11559580213874561,1.0047428404605268,1.106579957611097,-0.6075007035962232,0.08204008021668531
2019-10-31,0.500165450704653,0.46997389897726655,0.5707585133045973,-0.9150903495403803,-0.5330117686735889,-0.525261383629723,0.04347396881273062,0.5202387997362707,0.04536934572083602,0.12945664980958105,0.24740887792787006,0.9295108055879543,0.9394396486801523,-0.6115870298672216,0.1595755435631834
2019-11-30,1.0907460069309647,1.0366632463188306,-1.1590709814540818,-0.44558347034343165,-0.5533810093139928,-0.1255736932693787,1.3503994005482285,-0.17277568803114834,1.147834779024169,1.2420725390555325,1.2460213956376516,-1.1941616402988486,-1.222540688186046,-0.06579794968188077,0.015080255317474306
2019-12-31,0.041274195685334546,1.01461895342674,-0.9872601754018716,-0.39590003286602515,-0.7403461150006049,-0.1893142896359098,0.9069919446897331,3.919734601881791,-1.4167579156600096,1.1604517534176033,1.0133177005707594,-1.035750212178784,-5.429203359151234,0.03769612712596133,0.12229991035645231
2020-01-31,0.8393607725495073,1.2459651445820117,2.7664359300893397,-0.3626943612696795,-0.9169635329184262,1.0712741886770474,1.3591344726809536,1.856159034787989,-0.5401146130633739,1.6653708415822344,1.4114067436312798,5.714958316712627,58.96510835744169,2.7851866033308688,-0.13714997192650677
