GP IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,-1.1833863335184192,-0.9728166068639067,1.3460535640522884,-0.11445882871180295,1.3419502286779226,-0.6202227753880618,-0.31181781049979446,-0.7538167600490069,0.31729456386144395,-0.1275136695570285,-0.31389397962894805,0.7224518755652338,0.5537110041600742,-1.1170726715426849,0.028238147409990037
2006-03-31,-0.2364559067244163,-0.6148859537791393,0.2622216231118119,-0.13509222324010797,1.1983348966650078,-0.37258462635799916,-0.4657891412632793,-0.6770843150646322,-0.01283879478517799,-0.2854137967468597,-0.582871023340849,-0.1730287813634689,-0.38636784368946125,-0.3827543434034303,0.05612855056141248
2006-04-30,-0.014937954922400045,-0.9170722575571522,0.19216199752191487,-0.44630737893611144,1.0980593146455215,-0.28288189448019735,-0.5800900624391885,-0.5640752378650996,-0.05510144613142331,-0.4799737082960679,-0.672543564897724,-0.22840969093457553,-0.48379639767707466,-0.29349209453661096,-0.11212549962174476
2006-05-31,-1.587137581605232,-1.1621577711589643,-0.22964186347879983,-0.04806603065817924,-0.572224445195495,-0.26070870741414987,0.30566587031609205,-0.26148752201844255,-0.5219117789448205,-0.9144153879720638,-1.4913690707109672,0.20675021834118873,-0.6681000147732479,-0.20143435887221742,-0.029220005033326685
2006-06-30,-0.7867750410826359,-1.522397463359581,-0.12975369502494274,-0.1410801893769175,-0.5496356052673541,-0.8999060227455177,-0.3107235293518593,-0.054507228214608724,-0.8266099236230077,-1.2849397917185725,-1.675808996813629,0.38796460874812083,-0.5329317517224698,-0.8353098403136455,-0.11868914217891734
2006-07-31,-1.596962103575367,-2.471845013241918,-0.5461280817769966,-0.7162063675254456,-0.6983080599977163,-1.1501147123883857,-0.5023952417120362,0.4107786101123112,-1.5008209684288012,-2.027172929896075,-2.1698926913115746,-0.14151426631273126,-0.8023974316503178,-0.7804874219119027,-0.04308911209073281
2006-08-31,-0.7968974314869701,-1.8516760481173586,-1.0644627109906724,-0.7293015854125491,-0.7393750193344828,-1.3289897791722185,-1.1086269745839568,0.8265254947968451,-1.9278333611635743,-2.3308307717794117,-2.029784530309107,-1.0370004676776619,-1.2940290457190964,-0.5189138598006429,-0.08559471851852588
2006-09-30,-1.1190322307078941,-1.9556297765828554,-1.6357810848518057,-0.9282997995739057,-0.8795444495111057,-0.936051479540354,-0.3600359190678291,1.5244218000586898,-2.32583874486019,-2.5553700216411688,-2.0046510012238814,-2.1606398392585913,-1.8947573112138307,-0.05245205975828813,-0.01510276818575663
2006-10-31,-0.4440162210242799,-1.2593327747623233,-1.7223566827855106,-1.0064724631809914,-1.4102280325990855,1.9858227717500432,1.0914316558464177,1.9164120582742883,-2.249083099662353,-2.360858563104865,-1.5117214343945524,-2.326829984927214,-1.9270187516873185,0.0008752516180420962,0.29439859645534655
2006-11-30,2.1879767615497254,0.3503275285786469,-1.7277553922516005,1.9289068831474925,1.2107290547179665,0.425861251336802,1.2133700418801372,0.48658042226979864,-0.9849235999288439,-1.022429032973688,0.3213699946390633,-2.1669904909442455,-1.8479426629637137,-0.017075455583485177,-0.03874576657584241
