RCF IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2013-02-28,-0.7868058475378447,-0.29641895346655284,-0.6386070036443333,-0.6223200855647196,-0.3849378464300808,-1.4368832247677858,0.3923484866987779,0.523787983059519,-0.26241868769804105,-0.5623706401481416,-0.7647212529811394,-0.6869329295621182,-0.8913510278445914,1.982693342339416,-0.2640534540583359
2013-03-31,-1.9246054399772288,-2.3158410302403127,-1.0262735710620126,0.026103471648094966,-0.41407429269889895,0.6059087094047633,0.05616550290934218,2.659945333260233,-1.7880551547822718,-1.6574854836303223,-2.6134454972771057,-1.1150138373357068,-2.268784792586529,-0.40916820269739657,0.06385147198653277
2013-04-30,0.712108797492853,-1.536846745491166,-0.9686164330154025,0.5884143173798608,-0.13506935086739627,-0.9972474262413423,0.18793365115960428,1.1923169833934868,-1.0066921318375268,-0.9158125434182771,-1.2842342604895498,-0.7993117259942102,-1.823404824154528,1.8403368825712172,-0.002580646593491514
2013-05-31,0.22953789892710935,-0.7104128540983802,-0.6344017083447683,0.6486746127106731,-0.11912243335230416,-0.44682990197240846,0.49789325040498733,0.7489053853664839,-0.6619503401724444,-0.6523484090132551,-0.7334052823293647,-0.49828205257001407,-1.3215784649522542,0.765610613148521,-0.15781803373804096
2013-06-30,-0.9437439844286429,0.0018913355813198656,-1.3195931548136821,-0.14583047383756062,-0.13293391117972625,-0.8195300472910375,-1.0909681106542473,1.2649481941914074,-1.0823542260913366,-1.1789561003735012,-1.3319328076737846,-1.0989741922955722,-2.695992946132802,1.787728483156728,-0.1711885999244021
2013-07-31,-0.9834958352658894,-1.4330562062738375,-1.466828222645282,-0.4174526886397389,-0.12041690465971276,-0.654904797968485,-0.19915132763191187,1.5412910650253957,-1.2749425511027719,-1.4900691777236543,-1.7200596897753402,-1.2149818550786993,-3.325994133255297,1.5493356372552889,0.1183813007056367
2013-08-31,1.1413053756155005,-0.6106438673743338,-0.7347946841447216,0.437081369986675,0.4025118654353813,0.4716253686335523,0.4212526163528731,0.2982968198291937,-0.43117344873343605,-0.45364811719281617,-0.00934577572993134,-0.19030919782804662,-1.5197884670357773,-0.5012579845204195,-0.01932427282640293
2013-09-30,0.13583792779493548,0.26156417470356574,-1.3953404608322966,0.14362449263581778,-0.3062451121296803,0.5976101348498061,0.9288456311327526,0.08596343649084523,-0.19371508594456543,-0.23501848690410018,0.09716544150854395,-1.2587355262232676,-2.2499521616312137,-0.6736461076162317,0.04452245643110141
2013-10-31,0.5694105415724663,1.5436963773522734,-0.7150129349361789,-0.9040170956558847,-0.4078666641387325,0.07437204361939613,0.6361592566547535,-0.3686052514024035,0.23120290786310774,0.2431482413183719,0.82919575514629,-0.7191209157865037,-1.2583942552297458,-0.002411298243241972,0.035144946302769674
2013-11-30,0.4901131792546911,0.9702456147710572,-0.49182574093364384,-1.3601468945313604,-0.4215304541771847,0.5138526290892818,-0.09713026958250662,-0.7018153735217351,0.7169415809011321,0.6472899913473616,1.4353712986983085,-0.5348272078236957,-0.90212077512766,-0.6473879876692081,0.06678824087158673
2013-12-31,0.6628692054671315,1.398138281140455,-0.35086363090678174,-1.4878059929568244,-0.7623052135199241,2.435109263512297,0.3860783070135143,-1.0857052424081417,1.2650488831027202,1.1049167539378097,1.8797074981921988,-0.742032323010042,-0.5583667685984143,-2.9962270088287704,-0.13674682947849706
2014-01-31,-0.9730392277459677,0.20531381316236508,-0.9040856043141433,-0.21316007751155,-0.9880914597383748,2.398217337388239,0.9035005607023879,-0.38613504828750506,0.5732718073280437,0.33351910172228055,0.183957689386263,-1.669466218210108,-1.297969215617042,-3.4548919468294823,0.041015212567421765
2014-02-28,0.694467401931779,0.22361379121793218,-0.14475292873157117,-0.09287536258311191,-1.2082794159916794,-0.029677288387323416,-0.024712191040372655,-0.815628637830627,1.0317603232254429,0.84346103133252,0.5661010979347868,-1.1752030489707954,-0.47650848578175137,0.08017723562651805,0.024428695684961865
2014-03-31,0.5141999813384415,0.006095815822797274,1.5236340527776007,-0.20536639265925383,-1.1674840771294783,-0.13022638057112235,-0.6948992639006478,-1.8242219558161321,1.0357757165343615,1.2133549372733612,0.7224376863873992,0.9890558008802175,1.0923533267294003,-0.17317053027136337,0.05144411257651
2014-04-30,0.7195058486386254,1.4320114410995388,1.321833897513111,-1.9791912004217045,-1.1323154212186333,1.8152682234470519,-0.05204026126287326,-1.9832386003309301,1.561422020218104,1.6510504428595056,1.0795890899298737,0.889592508529091,1.0219380186094904,-0.7214299101460059,0.4092782681145786
