HAPPSTMN IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2024-08-31,0.09715434799888861,0.3852928381750307,-0.020185932362580903,-1.2271670853778351,0.09576588458651066,-0.272360150112393,0.5557214042791279,-0.14799483603820196,-0.5381276478464567,-0.21651119853400197,0.47765222194993195,0.07517850960110689,-0.2734134472858231,-0.012900998578232653,-0.004812744527442232
2024-09-30,0.08480360624754021,0.06321463532541019,0.3353165057035047,-1.8382601474484173,-1.4811630250739247,-0.2960146008056813,-2.2726011396334016,-0.2791964583990261,-0.3277189175403604,-0.15232557627671683,0.24308213587332117,0.030835724311984215,0.2146174875605198,-0.12631419118104906,-0.055704164267153494
2024-10-31,-0.7779037597779231,-0.3583798923391894,0.35552095253555427,-0.7485227131169794,-2.0626752241106376,-0.4317159872090069,-0.8092785346310433,0.2770344056658641,-0.2686946558741795,-1.4888338577081655,-0.42485283069562996,-0.18876124116733514,0.2306806310014594,-0.07820845913012041,-0.05552874740707745
2024-11-30,-0.7446937873330468,-0.87447963742746,-0.3144094307465167,-0.7441898748620421,-1.6305224184860871,-0.5013716992737461,-0.5377814645054542,0.9751900599312329,-0.20719179464046739,-2.5627611808435216,-1.0046801905021212,-1.0360408652854798,-0.6747769319752998,0.18409074978471987,0.015706231443791702
2024-12-31,0.4356290897631568,-0.650508972000951,-0.758924530223155,-0.40931873442323524,-1.7640395362978092,0.16205374216136842,0.633750496654282,0.4429549792572522,0.1104800805919294,-1.4892707422198745,-0.4543458904595712,-2.0302782592599318,-1.168269907062173,-0.479395996855034,-0.06486975439460327
2025-01-31,-0.9440561555680171,-0.7578098230647832,-1.2255354220198516,-0.33597578087233265,-1.357718430714738,-0.44535725749801575,0.05398085311829194,1.4153338611008845,0.13365091211176242,-2.359324652358233,-1.0399127322189894,-1.961903772170686,-1.7816612826326554,0.3704280822604598,-0.003345700989834547
2025-02-28,0.08520121555997356,-0.25381460466823086,-1.0388350107972821,-0.43628256446755737,-1.3154665431780588,0.1319009521067581,0.998786854447668,1.1190652762780597,0.33884954935526757,-1.6662269066545206,-0.6968429178502831,-1.6320008768925893,-1.3982361851695864,-0.4508536865791286,-0.13990037538655256
2025-03-31,-2.1311887730911265,-1.8686483920665573,-1.0795592487666534,0.45651624556041603,-0.309850068266679,-0.4767025030797509,-0.73907760660093,-2.5431138211126645,-0.053360771961251365,-2.9260802335262017,-1.997081383056006,-0.7444100390911275,-1.0210740641164515,0.38668513635280855,-0.04253775530081047
2025-04-30,-0.5020233187194891,-1.5398966090279607,-2.2307807446950307,0.5086034536711248,-0.34194201389393797,-0.8073395665968678,-0.49705264670221966,-1.6761193202329183,0.06494210611565972,-2.171459059668072,-1.8724420708315912,-1.7449484534240949,-2.3049017759750243,1.3478059026701805,0.0388439969036107
2025-05-31,0.8740026773513964,-1.0141606685851434,-1.4982216172735157,1.218312182299843,0.22109936717432227,-0.8482747511468024,-1.3507085291171728,-2.539489933522311,0.38752645674250447,-1.1709202463201254,-0.7548464637397578,-0.8414783511645713,-1.4293513775713902,1.1323868998808457,0.09828762216885316
2025-06-30,2.050369434907772,1.2958307959144695,-0.8975010190236336,0.6541177460919758,1.3017504785982479,2.6587779761093358,1.4984641775353023,-4.207939332327505,0.8715773592883187,-0.08427524414179491,1.100644298568049,-0.11566794706072332,-0.6645992403717973,-4.136203549461114,-0.07731481616330135
2025-07-31,-1.0189334526753095,1.1812243431182838,-1.5614249561641411,1.3030493399618353,1.372297943538465,-0.7721379583574036,-0.02463981466067706,-2.0146998468321256,0.7671362435767142,-0.5586675284433179,0.33772154063654847,-0.3447382427143623,-1.3913544298163913,0.972040321659982,-0.07177929933022875
2025-08-31,-0.8998590839493738,0.018121045932283215,-1.9971823724406397,1.6886011018261387,1.4600023257432275,-0.7615320356870988,-0.17665659078136026,-0.7312847675831375,0.6766658582570413,-0.8931714317216652,-0.278484910871162,-0.5707124621377836,-2.0596502552973455,1.1703956920762777,-0.062434727346577595
2025-09-30,-0.6835144145582149,-1.7748961685172686,-2.177664304554068,-1.766110144292987,0.6389373160688008,-0.7563997133039335,-2.538341201457605,0.2887757561669714,0.6426066112183304,-1.0134204109584337,-1.0144594688030024,-1.1781523977948183,-2.4644721306674584,1.2908131968574965,-0.02924520349562962
2025-10-31,-0.13783819330740962,-1.1198353151001248,-1.7316878567640785,-1.133951347014209,0.6001888903282828,-0.22873229074717302,0.4719846514170859,0.632899862982669,0.7133946526368455,-0.8137661768547352,-1.1743499534793533,-0.9825808432001771,-2.0231711968653956,0.2465215542844952,-0.032928842604436306
