PLNG IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2017-02-28,0.7985131120243013,-0.2808451132204633,1.1194480668017104,0.27056631405302256,-0.33860209203610875,1.9060445240699104,0.21204296000054487,-0.8559993094271254,0.8473305000123179,0.16365653506570071,0.04546955259376035,1.0680172240520778,0.5510042851921333,2.628409183545239,-0.008496395707569042
2017-03-31,-0.6347481181484094,0.035536887882320845,0.6696720230107774,-0.42145598123249106,-0.378143478885618,0.3499049343372698,0.57034541837705,-0.8675653182886465,-0.5008630181714973,-0.1339991653974373,-0.42902792973486986,0.6859144854928306,0.11430922137703335,0.1573432551887781,0.04983375174959401
2017-04-30,0.21698176029991106,0.22046154273538607,0.6201053950443655,-0.41405525471559174,-1.1359462032523402,-0.00585249325713547,0.07338509452143341,-0.7843668845898726,-0.3584040710569209,-0.12183529128818722,-0.08446028061234923,1.1586380029795535,0.035823721509925396,-0.24039118594762568,0.03738017111840272
2017-05-31,0.006863967632127448,-0.25513057200887124,0.5689039656789067,-0.9832065583086046,-1.0352801510628864,0.14852531010765935,-0.6432962934369613,-0.6489890143178951,-0.2714504607077097,-0.1881038721458593,0.06865521006694124,1.047361839485561,-0.030211804485529778,-0.029065089283763865,-0.01798296086584359
2017-06-30,-0.8358893073605884,-0.3723818965590398,0.06454510822905103,-0.7690395179200441,-1.5325926995514632,3.179363170709003,2.3527648294933527,-0.3200794500880217,-0.5302982931456883,-0.5610247799541467,-0.6541690685932958,0.9378820955757338,-0.370704728875223,2.556582338403667,-0.05754242116531769
2017-07-31,-1.3904931496172144,-1.360160184748659,-0.32440852586763896,-0.4340072796061902,-0.6986609549965257,-0.6267639933374636,-0.012871994699418838,0.15878642108764363,-1.051685911218038,-1.156581952952608,-1.66687321337428,-0.08033568281732396,-0.6155135716460419,-0.749654844045099,0.10795582108342876
2017-08-31,1.111906420507716,-0.6284398724277178,-0.6535136914804034,0.9424511453417609,-0.4075444629479718,-0.43409019669584964,0.20589607997995962,-0.1851425209224261,-0.3191654446788982,-0.5607815652505469,-0.3164708817402905,-0.5274654354074936,-0.9616722805115699,-0.5904569041173169,0.017452449951226207
2017-09-30,-0.32849544109822726,-0.3400011298742854,-0.5726443902607831,0.7623304473009148,-0.5081985188913234,-0.9803678302776863,-2.8816738530884614,-0.14646362599591212,-0.3222182242833536,-0.6835179390385397,-0.4606984458219987,-0.41499122757060847,-0.9592304010926096,-0.89772955009194,0.11682140465622856
2017-10-31,1.171497164541296,1.2550495863678781,-0.675657895967272,-0.3112018507115411,0.10879259889142381,-0.91587200593017,-0.3253916430194397,-0.6662452309756007,0.7474889562052488,0.07016260585146877,0.7800476823571248,-0.7052226652944442,-1.2058665556070551,-0.7829094787794593,-0.03226401662816557
2017-11-30,-1.0877076717495546,-0.1665330739774339,-1.0417058241832622,0.5130081431853211,0.36086973655417415,0.06352326157110862,0.29733740349544363,-0.08186992532331862,0.05430210194876638,-0.7497846099601169,-0.1893859190476196,-1.0316834798650483,-1.4772946601198385,-0.24392076370879612,0.012442147276548857
2017-12-31,-0.31715001249549396,-0.1526209486590192,-0.6620045384394544,0.5675808438689129,0.276918602590254,-0.7276282357295603,0.33008000641926427,0.24577946340151063,0.01438273489650463,-0.9024289101410086,-0.37564291748456,-0.7477873795623579,-1.1863306913481595,-0.6789404806183427,0.0
