PNB IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2024-02-29,0.18131164482254647,1.6675292020363894,2.592699097712517,-0.610542333795434,1.2512240150181333,1.2576322048143458,1.1215107610130788,-0.13335136568485104,1.265504472281363,0.8876770454988858,1.2532045888043288,1.8875215537565733,2.077123898073915,3.785234716120489,0.02071140023386388
2024-03-31,-0.2972083450219238,0.6075568771898036,2.5198046865266517,-0.43833028785406036,0.38477542496519773,-0.7399547943354888,-0.6283329748795589,0.5292278805178383,0.8325247251028745,0.619738676953126,0.7245194944597522,2.326539981448034,2.582945611341937,-2.365515583375522,0.1256122571429262
2024-04-30,0.6914807015595921,0.29932561002361724,2.211433275883454,-1.1987278992240267,-1.6109942883761315,-0.6929615274794712,-0.652395854432636,0.23253155147659207,0.898325252585922,0.5955007654073721,0.8123290894479496,3.546396126177018,1.888392048919573,-1.9708264128267312,-0.08581973125045884
2024-05-31,-1.359638556434226,-0.5185123132670962,1.5847662357804566,0.3658550031392271,0.3682384397707795,-0.434385517056192,-0.675223802491604,0.8357429081810571,0.281620877356798,0.19245027562011222,-0.4487177893821724,1.275136813763493,1.5794760281399445,-0.976185485542508,-0.0489987606634494
2024-06-30,-1.0396268233006116,-0.9412324290487027,1.2675606255487304,0.5271889805623253,-0.08741938271781273,-0.5693954676512711,0.27878095894008836,3.140163271864218,-0.28395678642782346,-0.11240460723610939,-1.1397093273557102,1.1847765711184677,2.0914617723377833,-1.1046337620094622,0.005582312947102457
2024-07-31,-0.5339299419468357,-1.7164589550295375,0.5055258751069965,-1.444791172412364,-1.3891635101201383,-1.1364187792668625,-0.2768500553649624,2.6398142041052104,-0.5195400034576166,-0.37026921117018446,-1.3200011746670528,1.0150266096852425,1.0484962968086442,-1.4422209046702559,-0.06138630754945858
2024-08-31,-1.1522234626679488,-1.5655649601550579,0.15191037987047457,-1.6077975686408918,-1.2755957889967746,-1.6783949770318962,-1.1810868017327472,2.503241363385987,-1.0821785114905131,-0.9491753027711507,-1.7200604584913686,0.5711277564961192,0.7481090550372451,-1.6995850528931244,-0.08370242306359263
2024-09-30,-1.27275352591203,-1.6232709153007172,-0.9345734552792017,-1.1698029624466633,-1.0068718974730235,-1.1642302504026985,-0.8011376579388707,3.1436451597962143,-1.8644170062245455,-1.610567250418223,-1.9629744045113093,-0.7559047369691063,-0.32194016788277974,-0.36754318306791267,-0.09084297833168353
2024-10-31,-1.259665520939646,-1.954824180204712,-1.0139948941642816,-1.9491990493105036,-3.1076117120890405,0.10775495596861442,0.4245451136615085,2.4058164840239273,-2.4309518580808516,-2.1955355170400317,-1.93312235574213,0.1694142443896618,-0.26650313898970096,0.16986459471433543,0.06906096586578686
2024-11-30,0.31741748015642984,-1.1140716762381075,-1.064941239571741,0.051391775771672976,-1.4868636102177406,-0.4957548491403792,0.8553140434843757,1.5661466261478474,-1.9376848020745834,-1.7446739127157054,-1.143060717162877,-0.6515921215622987,-0.39285268574885635,-0.11871704227905279,-0.020416733838167955
2024-12-31,-0.48279996974329037,-0.7233668506938253,-1.669203089878903,-0.19689870095692022,-1.3706619831048865,-0.9274507914723311,0.1140869989427791,1.7254824028130826,-1.9941457070206305,-1.8214493712635509,-0.9986757226738842,-1.6228306494115827,-1.502523222936437,0.10847044364001956,-0.015492024710718337
2025-01-31,-0.39083022635898745,-0.2818325481357644,-1.9490304344492415,-0.9753549777021191,-1.4546652924810128,-0.4579616255672442,-0.5050913027456678,1.4118374511181548,-1.8884020180663332,-1.901597003310321,-0.8005097900774406,-2.1015109477313056,-2.3690012777899456,0.3967277624773997,-0.1467178972139123
2025-02-28,-1.6887601374487249,-1.3353348094099275,-2.1475661012894616,-0.306423916120018,-0.7442715606022702,-1.6803262597675617,-0.6952460999468619,1.5388266644037092,-2.240642332434997,-2.5651834779017175,-1.3304449749147433,-2.264615127561925,-3.1240455748550624,0.8917278670980023,0.09532058243827175
2025-03-31,0.6705094494128973,-0.7046668828709699,-1.8344144592891776,0.8741655950860451,-0.055061531959035785,-1.2491744743039401,-0.2769541044995718,1.1184701305991958,-1.7958878806949938,-1.8539671363027712,-0.5946473549654707,-1.8140690387821181,-2.3692789664326863,0.6777196149317273,0.04156654199251278
2025-04-30,0.10803890073266935,-0.46205306387342016,-1.8045965406416242,0.9527729622775392,-0.21167538439592665,-0.7730022260573501,-0.500181594041736,0.7267812517287606,-1.5806197437497804,-1.6011210633688893,-0.37358159441437866,-1.8312269748934185,-2.295930965741498,0.6472435445398629,0.05447155340574808
2025-05-31,0.262895405854551,0.5552075461727197,-1.4704648197032524,-1.5398205661654751,-0.25041860073439726,0.27450510218499835,0.7139491063022657,0.38448052961902,-1.3196780822498764,-1.2698010762179255,-0.02462356885893962,-1.494532628906962,-1.6174724161575094,0.26554530940074594,0.04327598348182187
2025-06-30,0.1304878468230317,0.26371833420563257,-1.23025606319522,-1.9180970911820048,-0.22121867645483687,0.28556702708613935,0.6658508107627643,-0.17990561337000816,-1.277723874478803,-1.0057934597601625,0.16778814068905065,-1.2321458263242169,-1.1890332969952313,0.21068261331355156,-0.0474426561766678
