OBER IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2014-09-30,-0.8473324941932824,-1.0466020830344251,1.3052922390476418,-0.6529831971107506,0.21308834912303765,-0.30320953072575313,-0.15362679875553498,-0.5388222677310276,0.352324705977173,-0.020470701424028334,-0.6939394550698845,1.163572697610559,1.1676939513808104,0.49561195806225283,0.1179868884753546
2014-10-31,1.3175757680058549,-0.3172613502589318,1.3082296481878573,0.814515675163339,0.4146565351673439,-0.7010084855995272,-0.43975249254522114,-0.7116916079219093,0.977622719952654,0.5911863244858955,0.07153580096791289,1.105016229986279,1.0858646123730387,-0.0700063206538983,0.07346715188187254
2014-11-30,0.7882924800240678,0.687221047147095,1.5028822744366577,0.4830234524713269,-0.05239917694413127,-0.36445515222831,0.9057418250030228,-0.7910724114155286,1.453173775879376,1.0253478033560952,0.5893008426800537,1.479656482967733,1.161560371097238,0.395409226090453,0.05955453075659039
2014-12-31,0.6304179385959973,1.5760401741698773,0.8164603138579635,-1.1256795246849467,-0.1436996092576154,-0.7162646335220529,-0.6556806825644558,-0.84075035435315,1.9059205445673013,1.4145904125737632,1.035711596797855,0.8422542047618655,0.7515520012056179,0.0672155903521969,0.010826266005209185
2015-01-31,0.11937563387805172,0.8636333447558202,1.6339859271476087,-1.1030110151730264,-0.17552605105186708,-0.19832246473065776,0.5368816794241311,-0.8197022962763554,2.068493482918929,1.5265839924711089,0.9814323047319612,1.7635361852425788,1.236762321443575,0.6892749450527405,0.1271340979488936
2015-02-28,1.2771142915403633,1.1345235179763244,2.681327251380883,-0.5794696064501373,-0.4986348984497779,0.936149337217809,0.8149573673875535,-0.9099629855272401,2.938762564483901,2.066064910709405,1.6497752589465755,3.2126991180322033,1.6902609905701593,4.586888944338361,-0.12325812410420058
2015-03-31,-1.258545742989063,0.057683434091735715,0.9999895085739983,0.8617104076808731,-0.04685379756748277,-0.27263064508265095,0.6238719202810973,-0.677216797020258,1.3453230616268284,1.2754174649182597,0.08583662968980169,0.9733954365511662,0.9399208339081121,0.34132585149414557,-0.05549449415096963
2015-04-30,-0.5655030113483344,-0.335320669069402,0.8824214169563506,0.8844464188728266,-0.13599065826197984,-1.0285101477525402,-0.7363515428450741,-0.5292734318331505,0.9156494690971562,0.925975493046571,-0.48068066192684455,0.8626489699206253,0.8931426304349225,-0.3849738532905457,0.13099565247015355
2015-05-31,1.2039593834889029,-0.3503110714960108,0.7435510632591652,0.8753000663032443,0.15027298108996062,-0.24442310992794122,-1.0133193026463774,-0.5856479180247006,1.5296872039362635,1.3229102925691592,0.3422283857390494,0.6382540735324694,0.7122522654007895,0.4299458125340395,-0.11953738628279195
2015-06-30,-1.2119839955452643,-0.36426215718209776,-0.04285071800206221,0.7814951302709696,0.6306976801419684,-1.138577065793816,-1.026742518185981,-0.3559482404323475,0.6821860138478459,0.6855471121778042,-0.6437542064550246,-0.09074748393272572,0.25167321974370066,0.0787928777181908,-0.03344543398941285
2015-07-31,-0.44483103321066414,-0.3082184071440903,-0.19437163568356802,0.6438641878849717,0.579600368763388,-0.8627177378114054,-0.09061779018811907,-0.20540654277623102,0.3996519852890108,0.5685154004981063,-0.9243946472645533,-0.23500646220267302,0.136402945017239,0.13334852914262493,-0.15729069858307151
2015-08-31,-1.6012058403469993,-2.2009338163232064,-0.4208997043556535,-1.030434919939827,-0.05222272718357421,-0.33206323287430156,-0.19023704933518068,0.1508416617610804,-0.5963770281184014,-0.2551890925740757,-1.7737873143870402,-0.4519408875664242,-0.04785413417480925,0.14862315218919078,0.1945875816250101
2015-09-30,1.7544813355420132,-0.21689251592173686,0.5533194087935239,1.9092111776206937,1.8988690197076887,-0.9434643190599609,0.018928665562224844,-0.039213492677426964,0.47351061203092726,0.6309205071644859,-0.11322415902415255,0.21419590195174884,0.5913965246030165,-0.3861735680541015,0.04509620783319348
2015-10-31,0.22783791529415295,0.25686575040774606,0.18122841815598137,1.6692329323257777,1.6538800056648688,-1.1330737773875061,-0.44657798266052756,0.03470292719614649,0.7231042056697278,0.8066223884801739,0.17448036628216318,-0.0686358615066422,0.29633353995299133,-0.4034941979514699,-0.09213063798417516
2015-11-30,-1.0065147415406124,0.6608523227036003,-0.5414481073463427,0.8337374957731843,1.0272401290596753,-0.9428610649131837,-0.8068063976051192,0.4851937968882268,-0.24487034653517586,-0.025061602464256184,-0.5400383981821543,-0.5921390372859345,-0.2352589858072324,0.06771605969853717,0.030236619398392384
2015-12-31,0.15945128486877075,-0.45163304779622154,-0.738935978329951,-0.7991933426216771,0.6140069720026436,-1.0039842087450015,-0.49774267012644036,0.616475576315271,-0.032535697066854274,0.09475393105154734,-0.17338733866604522,-0.7542507135924705,-0.4408235840453345,0.17642575683342754,-0.09913356302302287
