UTCEM IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2008-07-31,0.6798894024212113,-1.3876876528740592,-1.4605107969574411,0.6113728199725459,-0.19860183946002272,-1.0685850603188798,-0.1995651385485189,0.5045266390864035,-1.0460107873949673,-2.3463157761801807,-1.3423396994262877,-1.4483080568766693,-3.1527098451001647,1.4529087723729202,0.02397169832997219
2008-08-31,0.3234856002234266,-0.3832055297110756,-1.2873934553838753,0.9294811044723739,-0.160830266977187,0.4025518071390836,1.6303128515789402,0.16049360862200535,-0.8517672812456866,-1.76295429999368,-0.5949753740374831,-1.2882871087514818,-2.3448232359415777,0.23248127442103136,-0.1113848858358982
2008-09-30,-0.9831473379738064,0.012673680155369432,-1.4431159645854847,-0.02367711600146062,-0.15358363552564575,-0.9159954386307656,-0.5211232262760263,0.3816168690153712,-0.7661370156368016,-1.7468238820137933,-0.8321263100005148,-1.5103580697398191,-3.110548015736932,1.5371214264336843,-0.39825710573238504
2008-10-31,-3.8350063565583143,-2.4289544531122584,-1.609610667372489,3.3344748445903303,2.1505344791403096,1.0902458603831306,1.6545385777504669,1.614651069188418,-0.8118443846388438,-2.1720420542055248,-2.3551961644998047,-1.141812515747313,-4.981392799998514,-0.9622268421380413,-0.27754724502626354
2008-11-30,-1.9232839261399555,-3.652452656741025,-1.6819028464077725,1.0676404152508296,3.0183678848280064,3.045658986737563,1.8489750926024688,1.823066325521027,-0.7584122400015908,-1.908749199118747,-2.7170341306486527,-1.0930184990268041,-5.14161917897331,-5.126736052714711,0.3598298134015451
2008-12-31,3.079387866442732,-0.8629112048396717,-1.3465302176517875,6.64672490007433,5.562717158817371,1.7864211507187437,2.664430505369807,-0.17173335514182836,-0.521121149333472,-0.9384204560696816,-0.45578816768977937,-0.6362380713533916,-1.8880458250893057,-2.1715098993190587,0.026746747653037216
2009-01-31,0.47260269012286016,1.0371667624362633,-1.2749122905958252,2.6600414680249838,3.473183198212241,0.6808688696833315,0.29507800247137017,-0.4858412005224022,-0.4399607061400197,-0.7169805310655388,0.21165027858320695,-0.5903258615929072,-1.3839394719695801,-0.6728097800462678,0.17165749737366348
2009-02-28,1.4081348669698286,2.9798775306327276,-1.0726878662760855,0.5631496609786537,3.0008066126313655,-0.3888568970131549,-2.063278301772656,-1.2468462318558298,-0.12859396958812597,-0.3052476678805506,1.9311798655885237,-0.41910595757008534,-0.8026956289510006,0.49370112240032427,0.15942437817460262
2009-03-31,1.2057950383419018,1.723932218171566,-0.45740670053620425,-0.4055960003920012,2.576022945923509,-0.09858559648531408,-1.3205014129403512,-1.891543409900609,-0.04811597777158492,0.04657501382119461,3.0053303352526775,-0.09885917897058012,-0.09917132726719313,0.1706586225506172,0.03361736027388426
2009-04-30,0.3040568808247408,1.5771141099189583,-0.2703469190192877,-0.48940419262823814,1.1480744242356657,-0.5949567315563833,-1.2302621067750654,-2.0401588121273186,0.2232247942206119,0.1651135746876626,2.060676370211462,-0.12965143946721466,0.05553078655391243,0.4477553196976696,0.23020380223493506
2009-05-31,1.5708716805997367,1.6279683911454395,0.8647751157037786,-0.20540343953269427,-0.06532610601685897,-0.4106845741852916,0.11399417413824317,-2.4875262027614427,0.8921916276182178,0.6271714077816279,2.3375461848454964,0.6563689066794155,0.8229854353139658,-0.007388027166361024,-0.04007925936402343
2009-06-30,-0.2069939647780944,0.8357976536423286,1.466837842594505,0.2579031439953834,-0.33096355459766374,2.998479585895644,4.481196215547278,-2.0881149434034265,0.9207787295307522,0.59781334032707,1.1809199627820914,1.3809502893413703,1.1479092362708538,1.7495428770957298,0.14724922641679128
2009-07-31,0.970813293900536,1.1846107113416524,1.829948504281362,0.1971428406757112,-0.39792807950086273,0.009216716924925242,1.4629323244782406,-2.1571171184005236,1.4387027302621658,0.929539894444001,1.3173282508037465,1.8799460663268708,1.2487381459223263,0.07322980557016139,-0.047676891721771086
2009-08-31,-0.24807388295270527,0.2602823905427612,1.477308519229183,-0.18622538132950434,-0.20585607412524112,-0.18681413533699254,0.5979097979379621,-1.8372171602880576,1.3957891206438033,0.8801593421863353,0.59049787217654,1.3193099890101578,1.092203947289597,-0.07126263195259397,0.048427548581741316
2009-09-30,0.33861172504710146,0.5436288491700162,2.134312958479115,-0.38046137567752375,-0.3138091007464431,-0.04333406962088831,-2.426061193446796,-1.7646363552420485,1.627885521057481,1.0369218986944944,0.5254952101381117,2.1652230027008215,1.3928211837493012,-0.017031074462248618,-0.04038697576460772
2009-10-31,-0.1774926293688719,-0.04399788831969547,3.840732905653136,-0.9368537766095438,-0.24843271147983076,0.9570893606913782,1.0629523395598002,-1.572054899501267,1.6537698654691424,1.0263758868444555,0.12921369973384494,4.0044796304833215,2.3778954335970117,2.566692243195634,0.0856811960789453
2009-11-30,0.5884024501299755,0.38855889611601635,5.119157497493508,-0.7660351783235476,-0.7704208023825732,-0.13978414492919927,0.31198353817703484,-1.6022206933798095,2.069438528282423,1.273828387039612,0.4226140570435685,7.655491107647297,3.184510856708225,-0.6191790265755296,0.08864354295706152
2009-12-31,0.5772426562265234,0.5107344058754141,2.2337807431123258,-0.6376141233931518,-0.8388723327646289,-0.25811045732078974,-0.31154795168392757,-1.6130938492937363,2.564580307931145,1.499738761631804,0.6173181089703216,2.6838321567113055,1.64933952872733,-0.7327315518545634,0.017135220249657607
2010-01-31,0.12887724733600223,0.6657627105904759,1.9129568604927834,-1.0705111078039475,-1.101019108604714,0.13512846755914104,-0.8302900574633548,-1.5099466753022888,2.6743478933563316,1.5053390530693362,0.5484540034224438,2.907516816694377,1.4641719313396895,0.3560981170451968,0.11183948175553529
2010-02-28,0.6682304117656409,0.7009767327616667,1.5179727390102618,-0.9164210064722843,-1.1144059854708404,-0.02329608349776117,0.19656474464922372,-1.51233470846324,3.928805150834527,1.624534982271647,0.8042400173271563,2.2750660893701444,1.1126055291809747,-0.11688535603438102,0.10470167648933121
2010-03-31,0.5997872751148787,0.7056386119270255,1.2345116139812287,-0.8349775883156131,-1.0205711872460521,-0.1551279314583962,0.360175370751376,-1.3422324295005343,2.1326046896002717,1.6333912324644881,0.9617583763656252,1.6132787851292192,0.9619629347588164,-0.31472371020466505,-0.17159863252750523
