PGEL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2020-02-29,0.4374886563299623,3.9850914247647604,0.5880704118947747,1.2992556914984843,2.597514485306936,-0.6716246139461307,0.28188394128547545,-2.259596166668243,0.5854083557878821,0.895653238245435,2.816014105567843,0.8040533234011409,0.7630111226492797,0.19998056399226352,-0.9626087068981979
2020-03-31,-5.576265173992786,-1.771918961007147,-0.4691035338586865,6.81871310422381,7.63585277405594,-1.5438075625638679,-2.924612618249638,-3.6465757051968413,-0.1965616674808482,-1.0257549400462875,-1.4490033304800825,0.7495742953132242,0.27275432171009395,1.5362313111702923,0.37028560098699104
2020-04-30,1.9403827201401853,-1.1234858492823463,0.34248591605036904,4.300577647036175,4.338037464580465,-1.29758074618732,-2.037558588265565,-3.2175552126373654,0.3566531511000132,0.21776101403784393,-0.17396464658832975,1.067458834602385,0.8876794807963098,0.9102825723409133,-0.13389682292276067
2020-05-31,-0.20174915971639493,-1.488121745001489,0.252623090020868,3.004832573336856,3.113751615145024,-1.1235613961779214,-2.133720625695018,-2.519342156908197,0.30922037446684614,-0.0041836428993193816,-0.6136778987102338,1.2004722576193274,0.7820933352153008,0.9474365012607734,0.2655082149574589
2020-06-30,1.3235969176446025,2.2688417396029488,2.585134252518246,0.33538908062673833,2.311295494624294,-0.45254941089879575,0.6825878456993344,-2.3396046310647365,1.3647208929334782,1.4054215797910585,0.560787937025761,1.5251950127178227,1.3518556253982839,0.03766888228382242,-0.06723273022126258
2020-07-31,-0.026281130554399502,0.77980033570692,2.643302063973931,0.01873402670707187,1.8862371189080283,-0.6135441658637644,0.5598445134498289,-2.006569461503229,1.224516645561471,1.2172037548685921,0.6882340065133008,1.4683263909780422,1.3931537501702513,-0.0026511619875182538,0.13861437561211376
2020-08-31,0.7369363144647944,1.458461305739502,2.733473432337754,-0.2566816437836182,1.7321066590838112,0.2689170917433972,2.3105808772763177,-1.8505028818648606,1.81278737696448,2.0726820384175864,1.832423652777531,1.4160592291557774,1.4568918256402805,-0.06008028405078936,0.561701294426444
2020-09-30,2.26324529514533,2.1030468540456657,4.873263126445303,0.5470227487054592,0.2604050765166009,0.25639802028623343,0.6828437272594321,-1.808709107595135,6.160658646380055,5.183412529962362,3.8789325375545403,2.005750142771219,1.7110137004578512,0.05717563665611895,0.23073372058088537
2020-10-31,0.8445113809964585,2.5656908197252166,5.696875156794822,-0.016097841744857396,0.14126874895462876,-0.3900009764895624,0.2890565462282245,-1.627532966899768,5.601801048363305,4.224856570625803,3.084711656615583,2.6833415487339165,1.8310846687273399,-1.2601893575740593,0.31242079030046543
2020-11-30,1.0575766238024757,2.559979383143054,6.13626233937047,-0.3018847645176733,-0.16832633897110763,-0.33124426654831035,-0.733901097116574,-1.4756863017200126,5.240001701748609,3.654127075711855,2.756488095029625,4.109434390872951,1.8685422834974308,-2.226345701500827,-0.02947581813295369
