ITI IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2020-02-29,-1.1877876063111559,-1.084596910697378,-0.4761647745206783,-0.4732329470151767,-0.20561698883701912,-0.5700296645268227,-0.6877603513404594,0.43508833488772575,-2.155567549412097,-1.9175190048891604,-1.1516012473659925,-0.5727882650450883,-0.21790662373200745,0.6734462049819159,-0.12913929133364557
2020-03-31,-0.7538083595394148,-1.807999878014326,-1.0586168724119216,-1.0752983651825267,-0.6114988427772033,0.042025774238978415,-0.14428134854822225,1.7686905457726378,-3.686672600848201,-2.7593391087731467,-1.7611361424708718,-1.294944319636895,-0.8472199961493947,0.146319422560114,0.32617466278839874
2020-04-30,2.412846017771615,0.388973844779802,0.4369458022763801,1.8848286723407885,0.7832020798342034,0.8175391656420614,-0.7569917263122425,0.8255444144089544,-1.1151988155160995,0.09318226145406297,0.9421755358301155,0.3965390475914955,0.4527892249548763,-0.09034570174548985,-0.054962133117268004
2020-05-31,-0.2550800346815058,1.023315852423326,0.020817689172506877,1.2642664764276568,0.7346756601863369,-0.8176641237490175,-0.10811416348442314,0.9616645523699956,-1.2537622185195072,-0.1667238458498746,0.5791193376045496,0.1183518362025411,0.19265515919137013,0.5030121476394079,0.23498086793789902
2020-06-30,1.5751093593154506,2.7889187855075366,1.6331456191655294,0.6507788470505957,1.238120033331999,2.5790316299209777,1.9811079410546533,0.5384092740146251,0.5370305773393398,1.5101025129032073,2.602764823087116,1.2160890303392031,1.1243714310382515,1.6774625739133948,0.21407275670643058
2020-07-31,1.2963783651848475,1.862155428565573,4.4477609432290794,0.19042113000861233,1.2622378355636454,1.9256508223269106,1.6166791882833171,0.2692096356342967,2.3742085797998604,2.551723227695263,3.749728817569002,2.917160754121038,2.1656219744723373,6.809437378450882,0.03729503763900782
2020-08-31,0.14114308113812893,2.097250843007266,4.118311683420891,-0.4213595284563613,0.5157337244922899,0.014886665988871691,1.50535191207864,0.3012572775353653,2.497878216576824,1.947304571575137,2.1927293711033835,3.5893925549509325,2.312691594113152,0.4239186842400617,-0.06960675324057934
2020-09-30,-0.49507332174214286,0.6279073842282265,1.7897006827402377,0.03884362412697937,0.2506032397748815,-0.37068058139922755,-1.4296760105269959,0.4840350991215861,1.581469159151025,1.2279890049397943,0.69400118214306,1.8077516515778111,1.4179385368051893,-0.47808212025219005,-0.053466680765789296
2020-10-31,-0.526508768095061,-0.5167071037196252,0.9272769553526373,-1.007409411774725,-0.20722179592149664,-0.9477997523462132,-3.098088628103702,0.677281518716183,0.9970557285302345,0.8156658443398918,-0.040003444676405944,1.1195527494761512,0.9110034634438774,-0.8247392760145569,0.04824683353938553
2020-11-30,0.23011396022755462,-0.4846651296771435,1.0658123545724152,-0.8704590021325472,-0.34705152393852856,-0.8635888932743995,-1.4341125740117737,0.6826054132208565,1.242780540676993,0.8714507838971932,-0.14952351892325347,1.3471905329637648,1.0374561638243605,-0.8203809566796945,0.018744317491754533
2020-12-31,0.05755362451135319,-0.1381402731854798,1.0125912278916225,-1.009100286629386,-0.921377795180935,-0.49117795868383446,-0.3178034172935277,0.7255021142543204,1.2505067503250729,0.7257126573877187,-0.21272331069428735,1.6215622769978488,0.9823545691754506,-0.6000838779989751,-0.0440208364320865
2021-01-31,-0.43318540576735154,-0.07619459266141117,1.0789233208256988,-1.023676896533553,-2.024969691254881,-0.6711747191038289,0.3072960997976999,0.9541094727042131,0.879997923976464,0.3146471006108337,-0.42082524559676576,3.381641575708639,1.1027044556268701,-0.8507054740775739,0.041647417596422785
