NJCC IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2009-02-28,-0.6067588487118059,-0.46240415289631814,-1.6584729146584152,1.6829624239033356,1.6803599129655993,-0.5701169181313525,-1.1404154508779798,1.2331234223197782,-0.7216393630585334,-1.3901417537471152,-0.869377513440797,-1.256622661864741,-3.169067677243525,1.2285835816585946,0.3545618950806631
2009-03-31,2.1758800192566286,0.01663762211448786,-1.2711786227596154,2.9374795637212494,3.5650284184106074,-0.5162197547288039,-0.22450442347160002,0.5417594526934889,-0.5362677336510984,-0.8351402078331093,0.6384207591803568,-0.7838595301395438,-1.383382540407769,1.039261380115206,0.11313035786775204
2009-04-30,0.7474031883849743,1.2806485139269255,-1.118275773172274,1.1988456603422697,1.7550903976316472,0.44450833857332367,-0.7332630126923575,0.3046372210746444,-0.41092882940959263,-0.6144907674630474,1.0033856154987517,-0.8410858335948704,-0.9867194036492288,-0.22778115417473715,0.6983285393019429
2009-05-31,3.604954887357145,3.624290295186494,-0.39536989829902663,1.5104624432943348,3.836872441837561,1.6224105209360258,2.0385701673120242,-0.34970835081694707,0.021382099092347957,0.09828993010672515,3.759503705470384,-0.3115243383134356,0.2527723147236271,-0.5000556727248077,-0.03259017162471418
2009-06-30,-0.1043169968263545,1.9416641078586037,0.1364539732006852,2.513725891794718,2.9760951746867876,1.4541783553859504,1.9087000996795613,-0.3654572316662248,0.020310664610046995,0.08651024728592592,1.983658082343935,-0.09365411195683214,0.5976502572475259,0.550096659725587,0.056382856664431505
2009-07-31,0.2695991617451658,1.6314694333020874,0.3213179999554498,2.275007368977719,1.634531733460459,0.053932705993621426,0.12086118349883941,-0.44847377223085055,0.09586466784312749,0.16805789863852647,1.3034984554566924,0.009113717970382988,0.7058802480243829,0.5946259137156379,-0.04492106743466683
2009-08-31,-0.12896698593521214,0.018070414088652384,0.3489145027089998,-1.536633120009621,1.1673159968196978,-0.6648403466787836,-1.5075323411514445,-0.47820388255255486,0.10316418170179655,0.15975285235979703,0.5533925284464438,0.042614875756141556,0.7135980089039632,0.5583149336722318,0.09524474405675266
2009-09-30,0.4450598329187784,0.2950880485518051,1.2259274178945396,-1.4160813632956462,0.9525971804558516,-0.4524030791188814,-1.2904313419963054,-0.607378301052263,0.23673846439613638,0.4120453512445114,0.46368172194318386,0.5714583522002638,1.199243074602396,0.40456892261578764,-0.005029531704426355
2009-10-31,0.06786180571306744,0.19497272520028172,2.711651155985136,-1.399817031087675,0.9667302607411079,-0.05264775543911865,-0.18334105368682377,-0.6953209856035792,0.3367692580164248,0.4927457254267566,0.17495019606872542,1.4676397990366266,2.010054471600158,1.2730996841927742,0.05636645039944803
2009-11-30,0.36007085682855894,0.44976329029598205,2.8730281064523355,-1.6020951963947203,-2.0552881715133933,-0.8302837107734656,-0.19984436558523502,-0.850617094721989,0.5781076005930215,0.7051791085404349,0.3311920697553161,8.876342313049507,2.006069940853953,-1.3484676896891603,0.04981582551499281
