CU IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,-1.6021499055559865,-0.30017073912142167,0.6783897665648073,0.9105387942278335,-0.11636806058544562,-1.9269931975570274,-2.0798760038499493,0.6812374072716365,0.06627035992281616,-0.8994474078501029,-0.32755270418619803,-0.0008450601678337037,-1.4734490288469018,-2.3392449371509074,-0.0186368738406177
2006-03-31,-1.1226724556332115,-0.6111788485315888,-0.18645588180583741,1.3533888552254076,0.15192087877030305,-1.4030068312976929,-0.6078247473795401,2.9295906117301893,-1.0730037455261796,-1.477032659924543,-1.0768500164318104,-0.4800013374707324,-0.7742182898292101,-1.4173767800145696,0.09048656315002691
2006-04-30,0.08571926752165003,-1.8074102695329632,-0.01360671427520584,-0.1131292471813438,0.2382571174385618,-1.2173035923963738,-1.169481563784611,2.4507695456991763,-0.9687917412293463,-1.3380405919334815,-0.8867592189000716,-0.43440148847557697,-0.7627412446875681,-1.3019193349821416,-0.11053571797744405
2006-05-31,-2.1532787296365883,-2.1978352372002803,-0.8841822381428818,0.368464897666978,0.742641637823447,-1.1373353997167013,0.1361953823791661,2.953115820324896,-1.8743347505733414,-2.3741879137587243,-2.243321958445891,-0.9229185337619271,-1.1380280715354323,-0.9924209032213867,-0.11965440834888223
2006-06-30,-2.040487982103801,-2.8141201942180056,-1.9626123663012742,0.6983598981174145,1.3035096969739093,-0.8896091358275248,-0.01700475937381485,3.5530787147273686,-2.8674395502802352,-3.3851154736091527,-3.1851211226061125,-1.346670772040706,-1.6534636591368193,-0.6719014644023401,-0.0861031055573941
2006-07-31,-1.4792349969592113,-3.4845747800517315,-2.708525817108079,-1.5031349904109297,-0.3311251433504183,-1.2896678384067373,-1.4148998487827391,3.6612666599356616,-3.1145288400895237,-3.493780961298978,-2.8535908681843205,-1.360286356743626,-1.980011647557413,-0.6872838618874653,0.22541738695365246
2006-08-31,1.5402902004542736,-0.9807584228334633,-2.2455432062341614,2.1237045808130506,1.4468850906522486,-0.8927975992373333,-0.403516610162746,1.750348484435813,-1.6244831042778571,-1.579094035712027,-0.9535944619074556,-1.4315206932209206,-1.7622262698946183,-0.6346921969471593,0.14564141637650121
2006-09-30,0.7296497431082609,0.48087311997363935,-1.7447562347741863,1.335120805780546,1.678970741148747,-0.16084903683189933,0.22689890406830737,0.9300482736906572,-0.8328591535615579,-0.7936021441778537,-0.014397260639259855,-1.2861705916392185,-1.5320797927243728,-0.39062911388311466,-0.0022464347310771618
2006-10-31,-0.5767769735598345,1.016693305431618,-1.7499255719663684,0.3455498195506455,1.414467267619497,-0.27009198653978184,1.5355157781237487,0.9665844530048463,-0.8974467474299856,-0.9075313318144432,-0.04302267883722391,-1.2441377308523425,-1.4649588554856332,-0.4268851925737368,-0.03175958043761013
2006-11-30,-0.8674348260762968,-0.40934425145179265,-2.051883891736185,-0.03611119593640431,1.0402482158115567,-0.004127428150693592,0.4133739493144068,1.2087133403482813,-1.1331350000275466,-1.2760103015925,-0.45229183526407307,-1.3049300927961949,-1.6113376267527957,-0.3880199642531323,0.041495012334215174
2006-12-31,-0.0783219902366012,-0.9398672093021421,-1.772841080849961,-1.131395914424221,0.48515859686485835,-1.2804559663040378,-1.8158751319233966,0.9287374832833815,-0.9226664045175729,-1.146258865856436,-0.43515984809302977,-1.1764408743645203,-1.4622824012630484,-0.6044401930725599,0.0008904720089745749
2007-01-31,-0.4571832552860773,-0.8466151551977438,-2.000492362742393,-1.0491960469763875,0.0574869319600183,-0.2364272466982744,-0.49532056256039225,0.9665097227208713,-0.9700422402557748,-1.2860686653509241,-0.8569909071625369,-1.2709674730457832,-1.6195498454746056,-0.3291153041942964,-0.10612726357137545
