INDUSTOW IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2017-02-28,-0.2606331657853544,-2.076987130196861,-1.0140025175001137,-0.6725876706544169,-0.12704320817876782,2.3134716549872767,1.509658105889646,1.4010784948199266,-2.2164142685538626,-2.5145042659030175,-1.645417664605113,-0.8205733681850536,-1.3775650100138632,-0.9514855083722481,0.13673645321287028
2017-03-31,1.5776206659895162,-0.24337127760696134,-0.8148731568853599,1.5487626806541956,0.9228946782217285,3.01495927653057,5.514644800951808,0.5682857798079347,-0.39540710551448593,-1.1777920863152416,0.010882364992178326,-0.6278414104667019,-0.9248997635281301,-1.0376871658961255,0.08468177593606031
2017-04-30,0.9388962282206493,1.5852513530478214,-0.5106282521855915,-0.15942082035748922,1.2195500884415567,-0.42304070483500644,0.2695307028119425,0.18710777353808303,0.3230115369382601,-0.4974132126733532,1.001448280110662,-0.44141142426097085,-0.44409689164324534,-0.05411053802311786,0.03299897362602869
2017-05-31,0.3856231685741914,1.9799663645346706,-0.35350206799353584,-1.2937357850378446,1.0021791425440862,-0.40086735757470626,-1.0233006787223888,-0.024579136170816335,0.9566688211688571,-0.14387041591843094,1.5147142889774527,-0.33490927030533085,-0.23100901660304746,-0.02404704936902302,0.021453969988287327
2017-06-30,0.356116874631242,1.166997398028829,0.09603624205714953,-1.747832311526051,0.34313901861787016,-0.4082419235278818,-3.781877023826222,-0.3310136526616783,1.0064341775654766,0.17399592467803054,1.8961000539278057,0.0503832063478848,0.35730200664347045,0.2228292884749056,0.06923313096834573
2017-07-31,0.8429201377273097,1.0630843257882077,-0.061450596078081336,-1.8087832325074715,-3.266963640840493,-0.366446468827564,-0.14998327543692727,-0.7457757955026917,1.991414566080484,0.9948370205313118,2.081203109982697,-0.020908157131372642,0.10881388071270225,0.37872706485971397,-0.06749921923016813
2017-08-31,-0.6827719675650357,0.33207562382407,0.36211010779397623,-0.45947966282779734,-1.973671149965114,0.2930047194002815,1.194754336970012,-0.6163813525128753,1.0279000293985923,0.4016905545468412,0.48607069510868606,0.5315773111883922,0.5672344288106024,0.49515742279795116,0.05999730857837346
2017-09-30,0.693528688022377,0.5636040857482219,0.6849926124133396,-0.2906255803231257,-2.695285111007736,-0.4187722550434475,0.15895789738348004,-1.233672510676265,1.7494541417686191,1.040430134239768,0.7877767517171718,1.1099096216510462,0.7961326911321382,0.21227263805058882,0.10419266531130093
2017-10-31,1.1336040254633413,0.7737212878954046,1.916272363038325,0.03599788301522338,-2.0405754136762337,-0.025590149524874494,0.9184622522941874,-1.6756315725310413,2.3321564352083204,1.9693945116664495,1.6505656576432273,2.8808814489387564,1.803864647116646,0.4759846770427522,-0.14178819376883733
2017-11-30,-1.66611739097451,0.11832096029412291,0.3175581606885336,1.2007849786864337,0.16258829656875992,0.7176007523202361,0.4351076035979806,-1.0641031180860085,0.6910517791530378,0.5054248102634811,-0.43176930416374065,0.20756250852824323,0.4344114313492121,0.46216888449480503,-0.012984640429327732
2017-12-31,-0.13819143180243573,-0.4820321849692917,1.0270419826472867,0.929141358258762,0.13255940549727968,-0.6408828368517222,-0.17092313072295412,-1.1625656149095576,0.30060526148793765,0.4837990343852036,-0.6187496965137521,0.8130918366885319,1.0902798246997834,0.03112133974143782,-0.07452440817840855
