MSIL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2007-06-30,-1.3364106838830467,-1.1235413057962527,-1.5564410129970183,-0.4471440952997167,-1.2530427679314122,-0.675924318303459,-1.2004575582078392,2.2841244431214744,-1.9246992290553089,-2.2261148113946074,-1.461279163096802,-1.234316246267883,-1.7042493977860396,0.2917979076442222,0.12656131371118637
2007-07-31,1.180044432864851,-0.15478475411885403,-1.1026477150402456,0.8078045748372069,-0.05858453113232696,0.15031600909701434,-0.050611966102483655,1.1446411680989523,-1.3583600208569484,-1.2941816893095346,-0.19236580259642908,-0.7880558147244872,-1.0375938981274875,0.12947599430027515,0.027042091673090157
2007-08-31,0.04007111244878701,-0.03929299553753473,-1.262870254941149,0.7645966139675758,-0.33265775309522216,0.17323464211269002,1.386345949082252,0.9637839715087414,-1.3016679876146635,-1.1135214578874841,0.008728697611417658,-0.9122335814270349,-1.2607438419128791,0.1595727255362643,0.1406584642810403
2007-09-30,1.2436879720202696,1.4131549084241555,-1.1797969513299378,-0.36885378849666306,0.17234528086868328,2.0406243888658,1.4500076934202157,0.08681604506091416,-0.5870873990864118,0.009329582222136456,0.9862172416892344,-0.8651099685955662,-1.1623690638177646,0.17962143692491075,0.07250110342981912
2007-10-31,0.5349849444517542,1.0154817265114708,-0.8519308695926887,-0.43812446555718265,0.09079416857472883,3.1327253748927273,1.6106945124284797,-0.28859679554995105,-0.19027469664494337,0.7074342128714568,1.1965491125395864,-0.6317626620863976,-0.8175147003533776,0.5115722070410806,-0.05719949830550703
2007-11-30,-0.9411745052114263,0.466835111826859,-0.838467162705984,0.5844921283279504,0.395642629278078,-0.44593310792457264,-0.2696226212732128,0.038178006602534176,-0.631511407844649,0.08508149616593126,0.2524871183367238,-0.6442527619849269,-0.7870679054922648,0.009472505882837262,-0.019566003910769715
2007-12-31,-0.4487768787990105,-0.47131786911315693,-0.8507424837649982,-0.17715012889137624,-0.13812831778618184,-0.8679511280147146,-1.5217617776661705,0.11902201040160293,-0.7588476818267292,-0.09627366716461401,-0.27931475943642503,-0.6240018147801477,-0.805970069241982,-0.01715267803785103,-0.15676848236933705
2008-01-31,-1.9362827200077946,-1.8328381091019852,-1.181365489144284,-0.0850842028911038,0.6182230820915536,0.08227396515980726,-1.2501125751113311,1.0145460048563646,-1.5604732487729092,-2.250476379597477,-1.4982507675085617,-0.8610068265305783,-1.2434258276759265,0.12248087535196509,0.020950486940803318
2008-02-29,0.17823236920566868,-1.2038493297125532,-0.8111860939283891,0.4146106984091557,0.5901746145950706,-0.3489134108779384,0.17369152642640062,0.7228705274452019,-1.2410101020019333,-1.788642806643172,-1.242747409666204,-0.6254418099474556,-0.7726897392852248,0.03701758132900312,-0.04861740784180189
2008-03-31,-0.5683030010131449,-1.2979480019488194,-0.8011955892732708,0.3129528517834012,-0.2287601387178718,0.7376106639993314,1.513649553218693,1.7661014330603502,-2.1730343577120617,-2.3268442713976865,-1.320576476499908,-0.6010077580899009,-0.7846834198874916,0.08015792346199409,-0.10832069004760339
2008-04-30,-1.1887333083320115,-0.9094168664576463,-0.9722789796477372,-0.27004153275065973,-0.6928667808680141,0.19300220747715208,0.12642901057529624,2.0460558798730606,-2.044909431370565,-3.361414668687158,-1.6367075690180062,-0.7818324788863762,-1.1218088901842314,0.5461655344256048,0.027839554960795744
2008-05-31,0.4094711311922555,-0.7911787843499415,-0.9282581251850271,-0.25109505020419987,-0.41211056336855495,0.46496204642782496,0.8311667305588972,1.3557090889498729,-1.584262874144894,-2.484857716241766,-0.879135893951005,-0.9429658935804768,-1.0283981598854253,0.49189975634344946,-0.2131841376203443
2008-06-30,-2.7742857007609962,-1.867583776597395,-1.1835309255034145,1.2135243035519347,0.4427871830220889,-0.3566067725183512,-0.5621974583706703,2.074415799369364,-1.695545622568188,-3.662355476669466,-1.9745042697751383,-1.1424689390623186,-1.7063477658581772,0.7996807724388055,-0.06863958519686604
2008-07-31,-0.6662120436725487,-1.4557007417202594,-1.5793555359345717,1.4765561833660772,0.2694090183936251,1.3732468074070847,0.9914075844519243,1.694705239710007,-1.4234672649390911,-2.7615566323293077,-1.8214845416322762,-1.619421699200761,-2.696178093380828,-0.18444349844594393,0.12085695172779477
2008-08-31,1.5254453781696558,-0.8342132797614452,-1.2379420431964108,3.310902803351415,1.2610234952595178,1.8393180873445096,1.0336884599727307,0.755539983997171,-0.9485357562966149,-1.5214900424016373,-0.40944827171368603,-1.0501086940373503,-1.7183479160227633,-0.4643522326697185,0.06062462181643484
2008-09-30,0.8076269921072171,0.9044832153747034,-1.41383105478665,0.6091910080037065,1.6153868828749702,0.9456660940123285,1.126446437913292,0.3328785520075568,-0.675004828285425,-1.0133225445613694,0.40074088325805346,-1.0877725178423938,-1.8894896084782047,-0.14745693405499352,-0.20334660582007044
2008-10-31,-2.1974800586618035,0.1109257868223161,-2.060174917565301,2.719118031543009,2.3394314151269264,1.3056118361182647,0.05679545284331074,1.0095902852490382,-0.8987237832749744,-1.6513898624930765,-0.8569870782078638,-1.3144611176442709,-3.373993732585582,-1.1922170753523376,-0.05408201778125895
2008-11-30,-0.3349057873565027,-0.9842066902030864,-2.0944305139014703,1.2834236477632024,2.0728951735236647,0.2650172537058518,-0.7120633548050026,0.9488923749296634,-0.8116884627280834,-1.47901979316582,-0.7298842549787902,-1.277015594780894,-3.0017459202315195,0.3088564692451003,-0.025339434048022594
2008-12-31,-0.025057176008490684,-1.4760847545090348,-2.012602436039542,0.3206134325821705,1.024265236983685,3.0668681158543682,1.0543617761171398,0.7682384287102791,-0.6820444443382916,-1.2425848070469623,-0.6572430112138216,-1.5820361083358878,-2.619931094662998,-6.7012803360008775,0.08843609528852443
2009-01-31,1.1972258307491912,0.5000247674133226,-1.2117318057229811,-0.24650995461145553,1.1808104599101512,1.2076437883838207,0.5616663485642946,0.09731373067977521,-0.33675781403056876,-0.7321593781393723,0.16308342925892558,-0.9509883546579164,-1.2473439426056736,-1.1378877866755002,0.1754648579177822
2009-02-28,2.022778998241629,1.9341624043776517,-0.5480441279578079,0.35507339886094375,1.5136294349967687,0.7489115885187804,0.8090434674385717,-1.0022139029936146,0.36636994946995727,-0.02772457128849577,1.7964953601073061,-0.3111047604326834,-0.3596543863070669,-0.3013238567414546,0.14098728727697654
2009-03-31,1.4530781859724033,2.698150016527522,0.353343025712065,-1.2184151454641365,1.7070454891108147,1.4213175110176277,-0.20228889438197295,-3.230368492500217,0.7043669175224386,0.513521066629134,2.8281089099727623,0.40213608761020897,0.5217245298900894,0.07421365260035655,0.042858772504705794
2009-04-30,0.4178414116069596,2.024031873604731,1.1567150483180513,-0.5422282397562603,-0.09635336076729414,0.3115095957282787,-0.1599079074855759,-2.6257609191508027,0.9343611818156996,0.679171274838573,2.1157059146474566,1.1510616431383984,0.9219889779575918,0.6115117839789344,0.2325342101692183
2009-05-31,2.150669843961574,2.060396747829431,2.3453710115192825,0.12846142370401975,-0.10011118149617075,-0.3018687044232883,-0.3303968169508363,-2.5414407692836427,1.9949965609518248,1.4305664288634148,2.8995183706697985,2.4937068409067975,1.327978739924347,0.3857123873377713,0.03993756107465845
2009-06-30,0.25792878480972564,1.3679101193914378,3.9315140020337696,0.5148988854174814,-0.8605636005727102,-2.0549751638564793,-2.1065456284947257,-2.0980873096588755,1.9706779723178474,1.385530097016762,1.7558164730240446,5.402564697185701,2.002292001502952,-3.9810009491105895,0.2800639046908745
2009-07-31,2.285258640097791,2.2731168584037604,5.586637023585813,0.9769573874709317,-0.07271588388536561,-1.2174965757031178,-1.0115468741987845,-2.0169718287171605,3.1162982822294745,1.8654527456791676,2.534363841532499,5.3350184751290595,2.4403805621028956,-3.339931107337357,0.01633862865657203
2009-08-31,-0.04081289626706582,1.1343041985947357,2.9580606688876263,1.5114615014362123,0.47314745667745184,-0.33005598441798994,-0.13579617435267177,-1.6919166320403487,2.500402195647293,1.5531318219246877,1.4048062716891272,2.540349829155821,1.8181171902192184,0.3596761297760445,0.16837204994792043
