LAURUS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2020-11-30,-0.3987394738915811,0.5637458522100895,2.9469607549258976,-0.27520536289492303,0.7202474251929536,-0.3844936580259596,-0.737177997807617,-0.4224333528113846,1.3163156935598241,1.1587085519732523,0.6672913866457469,3.4338781671843552,2.1606360363321655,-1.061080333992389,0.1084644200854052
2020-12-31,0.2719857145887917,0.10563315643926781,2.7297508134885384,-0.7755290996179217,0.6626570726174966,-0.814453444526673,-0.7596094519652231,-0.38493490472535735,1.1814698954491096,0.9957251570912782,0.3744991884313699,3.032047311716874,1.8813219965372163,-3.1055177856715988,-0.022334500319949244
2021-01-31,-0.4765107529188787,-0.3520821996455108,1.6459323595595212,-0.6763684173441059,-0.6395781321923076,-1.0255559074355125,-0.7127097418238454,-0.26394146907593935,0.8823173808957298,0.7719582779795291,-0.15165733501057277,3.9568033401451164,1.2240439579960143,-2.5704495869036945,0.013803238566544687
2021-02-28,-0.27779577872419725,-0.2811238337750503,1.6364385073507792,-0.7109117160333038,-0.7043745338406958,-1.1127690265662593,-0.7838594687860585,-0.16438695861178984,0.7131999094399395,0.616529363417519,-0.38468702348805084,3.427972856907028,1.2226784792782543,-2.6486894417713844,0.03328257772424445
2021-03-31,-0.20116616468314882,-0.5687956436794134,2.362375387935151,-1.0884794069173358,-1.2011901662316822,-1.0027243166582804,-0.23437212353459613,1.8061175692039757,0.11286449966793802,0.49012806447951,-0.4353008213478288,7.400203760326419,8.770085862173035,-2.767908355733892,0.22369588493775164
2021-04-30,0.9105263144034301,0.24536621455460167,1.3422055145896556,-0.21796593718154933,-0.6836174999998831,-0.7162157746528046,0.2672608009610299,1.090215194281417,0.31698709110637197,0.5128042455200587,0.2615307269523728,1.5193734655800455,2.244137574842191,-1.1362018781150829,0.14567437447282466
2021-05-31,0.4021968847616919,0.6500992008168477,1.9223252575001122,-0.3890235084876475,-0.6814933679788676,-1.0210763743114708,-0.013744939634204265,0.6993440717243402,0.418218347995079,0.4621898840008624,0.49343301222066976,2.0601663460778306,2.3605976334911736,-2.442855251086447,0.2737186881269933
2021-06-30,1.0846016691953901,1.394906796223134,2.2972883013474026,-0.6563162097212935,-0.33406802382356887,-0.5035180628441596,0.020729523344232306,0.19702514760121734,0.7150091096149376,0.4866883506220281,1.2104001380679967,1.6534450158837237,1.8535944451797224,-0.8974117318215533,-0.07092397530764959
2021-07-31,-0.946514002790261,0.3126210030945754,0.33718616542731505,0.3254018536336606,-0.20537051397435158,-0.7795310512972949,-0.7269208728424518,0.2560554856036465,0.38749329347433376,0.26789953201548083,0.19148960019432626,0.17295633435085186,0.3792266072690877,-0.6438438136138664,0.03838098181794831
2021-08-31,-0.3099783149382775,-0.11045587866488878,0.02055320698690253,0.295378421069618,-0.2575390647763265,-0.7505540435412502,-0.28732570279180647,0.15644167563827893,0.29601402262589555,0.14003725921824875,-0.15379366388481167,-0.027780598774660308,0.07083014223691307,-0.4070037674821344,-0.07821294955907754
2021-09-30,-0.980384278786859,-1.4102089481585327,-0.4668418354994291,-0.8251217218779544,-0.04636784266994755,-1.3035845404867896,-0.9516826626790168,0.23080932763942758,0.0016552933794561871,-0.08523020637095263,-0.8886227849425323,-0.41479149837197865,-0.28562104980342945,-0.5070774312014436,-0.17825812286731751
2021-10-31,-1.4656409174326623,-1.7019177742240754,-0.8104797586325476,-0.39961424269695495,0.11810384422666333,-0.5441711054481341,-0.3550903923527398,0.4811499598972315,-0.42611640719112415,-0.37572419106509924,-1.6166540688545676,-0.6350995539756191,-0.5208208531915245,0.16556899021657076,-0.013958936207487093
2021-11-30,-0.5031857582367257,-1.7455540302691057,-0.8390324704890711,-0.6586927694116192,-0.0738572972336678,0.21903058139534873,-0.20380449565667483,0.4320464796479056,-0.5546160613132313,-0.5233998021405983,-1.5504581738441923,-0.6321847593652604,-0.5406701653889662,0.4659752492886494,0.05776986769969373
2021-12-31,-0.13247192634449967,-1.192426132206107,-0.9178019645775676,-0.28318176818266677,-1.0023852071928825,-1.3958231939360326,-0.3847356116123238,0.24870724315357562,-0.56387015034799,-0.6305379279862801,-1.1461303090852408,-0.5426551513153967,-0.6321840431511973,-0.10258311436076076,-0.06953645424092146
2022-01-31,-0.8196761971453921,-0.8332659311692175,-0.9889357998427033,-0.8866105836190111,-1.0320733204742374,-0.346672152993785,-0.23412249877218488,0.3134172866156349,-0.8360665607718282,-0.8985707021886781,-1.2132988321885647,-0.6032860247607273,-0.6754488272248038,0.25921720233382395,0.07444182758321648
2022-02-28,0.004810733398136195,-0.5341682647197475,-0.949992479674708,-0.7069761933495569,-0.9266546482677362,-0.7537678431157768,-0.4956081206123013,0.0706635275105296,-0.7319343312770479,-0.8690549682280859,-0.754889874768751,-0.5861126044410788,-0.6576152921052314,0.09120736663366431,0.08585661578137715
2022-03-31,0.04043006640287184,-0.43441371650689264,-0.9153409255892117,-0.6124200434947783,-0.8166086790554725,-1.1441767559951923,-0.20297624650735363,-0.3998663816949998,-1.214369249982702,-0.8029911364896025,-0.3855966600962491,-0.5782003943259332,-0.7089356219052807,-0.12031051604764795,-0.011504664793257097
2022-04-30,-0.5939297851010036,-0.2900200759466706,-1.171836361934506,-0.8851615827413346,-1.3282468675714836,-1.248219542830099,-0.7631284649536292,-0.2314423534863542,-1.5795789278790255,-1.2026294818206507,-0.5645047934820598,-0.6761720317541037,-0.907064928992746,0.12223693003089339,-0.027634709522717946
2022-05-31,-0.6376604712826374,-0.5979181786015176,-1.29532205596106,-0.7487859727560072,-1.1942207556073814,-1.2628694309417814,-0.8434162662926564,0.012304689379801677,-1.6606898997848651,-1.2016430973148728,-0.7030116872279552,-0.8617198648978365,-0.9917764086842573,0.33999644505682747,-0.19976060365621548
2022-06-30,-1.7768231477404326,-1.4523396408127627,-1.5314869931854571,-0.18619831918091506,-0.5618880841192269,-1.1932917629767814,-0.4823264159706745,1.0186773024269866,-2.3493744641946996,-1.7600326696760176,-1.285620804412075,-1.091138160882619,-1.204792478248109,0.7319564365837741,0.11761564962794366
2022-07-31,0.3358971039975107,-0.9418734998572369,-1.3837379701473334,0.6300552886449041,-0.3523086425906221,-0.1839574577808988,0.6174659886316899,0.4990318946954854,-1.806579020758159,-1.2688125102763663,-0.8438865191023522,-0.9903588431470405,-1.058778637299292,0.5411225214112625,0.1023811439115104
2022-08-31,0.4884844203678233,-0.47817926191046073,-1.25430588937034,1.3436260153948667,-0.21701296412318777,-0.44835768818118515,1.1003944153990906,-0.003994446535217197,-1.4104949158521232,-0.8766874961445241,-0.4414188114842759,-0.9379530990837632,-0.9659809110078655,0.6340777674310034,-0.12111298445961709
2022-09-30,-1.3554992381767486,-0.15138690300649688,-1.1774792210029026,0.6759223528066627,-0.036566895366550375,-0.8347581710810349,0.2516374876928846,0.39345473342975884,-1.8006591097372915,-1.616035921361696,-0.7944890365013018,-0.9198925721941946,-0.9351933296777046,0.9222545909255883,-0.12096792660290231
2022-10-31,-1.26548265378117,-1.039815543365891,-1.0571243152059602,0.7397708775174779,0.19943908283175796,0.9326000618491187,0.5278871188268388,0.8773569569063886,-2.0098603691544397,-2.527674666465397,-1.1377119851127144,-0.856917679431082,-0.8664923645851738,0.8758590994325979,-0.08514314192785785
2022-11-30,-0.8535618689185213,-1.8188013940732084,-1.00544151103315,-1.8920730510031512,0.3524585882774529,1.9021783715852854,1.2787443715735622,1.263527725293183,-1.9576891510228287,-3.0940183032747575,-1.2888957661311162,-0.8346294799358746,-0.858932081971899,0.8146932480361841,-0.10657230612643813
2022-12-31,-0.9948384464825908,-1.5755044368865734,-0.9926610797532346,-1.743077677188156,0.00442714037230352,3.2158547819048278,2.5715444129524734,1.924415670278658,-1.8507585054095559,-3.384880472766285,-1.5465926397058478,-0.8479946513695099,-0.8994965441817182,0.6032038449031377,-0.1275911381168273
2023-01-31,-1.0920660709055146,-1.4541927910515606,-0.9374593820057597,-1.5430209940169726,-0.733908050158216,0.382605013463869,-0.10170019379110623,2.8679308559545746,-1.7461455956308711,-3.433608740898852,-1.659833370106835,-0.8495943516013313,-0.8977557075484738,0.8935301223441403,-0.049494317567673786
2023-02-28,-0.3904466532058951,-1.1865916364105917,-0.9047435613204085,-1.0454694722677227,-2.7730035609670955,-1.0681971283033318,-1.3880819295573084,2.898511685226047,-1.4967920830731738,-2.8504563043988114,-1.2718185659036976,-1.2621302192301327,-0.9161396100019701,1.1540621969421896,-0.07050506883827261
2023-03-31,-0.5395760854351626,-0.953543991256381,-0.8788275068522567,-1.0044797367665148,-2.3104275026384,0.5564781579414239,-1.2005745942429153,2.7859575383802224,-1.54699844201722,-2.4639707465393594,-1.067042591697911,-1.2729516295471341,-0.9304165265197851,0.7520586766426045,0.04879829164069142
2023-04-30,0.4692716225970076,-0.21524051489720208,-0.8061167638695743,-0.5581484016930218,-1.2331838987033348,5.284237810327756,2.477920043733876,1.814253211444558,-1.1975563556897526,-1.7586585098135987,-0.475323897399885,-0.8823338391027288,-0.9149530058971314,-0.7072454986127485,0.072411382356258
2023-05-31,0.7819904483055745,0.31637258200980384,-0.7053781130545113,-0.25384160790634563,-0.607076098057593,2.03612957806865,2.6435614977057362,0.9438538105233052,-0.9086639943276865,-1.2457793972889184,0.16908484375405208,-0.6572919830413199,-0.7848329835309372,-0.039037167788500075,0.10319609455206136
2023-06-30,1.1166579831612382,1.1338033982850866,-0.514137290855442,-1.229922767536643,-0.3285920012050477,1.0673369367856178,1.244224762801802,0.08062248238437726,-0.6558738728833667,-0.7768523624981873,0.9067099011862478,-0.41311150554242315,-0.5312899248854686,0.37244726397671024,-0.04077653894171139
2023-07-31,-0.15405529489462838,1.0025379151701006,-0.7364883755601572,-0.2165574218634786,-0.8084006764018583,1.5544450425456497,-0.2904133302662622,0.239089617075319,-0.5809200386400643,-0.7707615954454232,0.8602175348937147,-0.6602448012550375,-0.7811883574587878,-0.1300126879075162,0.12683287117630138
2023-08-31,1.6190260866286843,1.437210978906766,-0.7095162036568493,0.1670571683966965,-0.5693992058717874,1.4214880350999837,0.28611896575213486,-0.7401369260281391,-0.26938187033604083,-0.23523842597508257,1.7972997817069387,-0.5280541346909429,-0.6547397027087417,-0.20245453270250746,-0.010566136037882071
2023-09-30,0.10972346095637446,0.8363162893325071,-0.5437771368538671,0.23381728099449656,-0.9164165923188162,-0.2126824468362973,-0.5054410378204871,-0.7381071626167314,-0.15561028010604783,-0.16380688685703754,1.2870196075288622,-0.40364340617793515,-0.445689606315724,0.6959510064393091,-0.08894454522492329
2023-10-31,-0.7240401785041846,0.5137216631810236,-0.424901636115582,0.6711161580892955,-0.22374101237847988,0.4964004091536244,-0.31567799256101,-0.14154058544251283,-0.18568471608173848,-0.3963595661065101,0.27513606976895266,-0.14342224895455924,-0.36320453932806746,0.23109137474590163,0.05145223130720395
2023-11-30,0.7160205717163237,0.03694545970418622,-0.04427732166781245,-0.22868250220973343,-0.20049679411059632,-0.8491922561288792,-1.9331379042457928,-0.5458163555290121,0.09039286266056815,-0.09199747825747764,0.4692510052396291,0.13012235545764916,0.056086961160538594,0.5871759402803515,0.12184462001483246
2023-12-31,1.4322989210879522,0.7576078394009174,0.7271164151929567,0.6371542684467507,0.01966961730063267,0.5316142973636805,0.773228783515469,-1.3507600131223891,0.6086345272055554,0.5047351378293788,1.2485210279883217,0.6516494705121765,0.8015053702417702,0.46161896658598645,-0.12053262822338195
2024-01-31,-1.1525360792644732,0.5171958064650769,0.8539337726002688,1.06337307056293,0.6221595160253958,0.7266065042576139,0.3178586676167604,-0.5088831200302397,0.4070097637816526,0.0702822778442889,0.02907712122480601,0.6760651748192323,0.977670572658333,0.5118342705275493,0.06275871611817224
