RBK IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2024-02-29,-0.18114861808864838,0.1485305287682702,0.7636252274698672,-0.05005871066251628,-0.9815201510861944,-0.38079357164202354,0.11321192050611384,-0.9446644125597569,1.0206891092440216,0.9119066013642244,-0.12057424044628351,0.7087393781172848,0.6844806887487086,-0.32786361082540894,-0.07937024499388916
2024-03-31,-0.7914966230555248,-1.0054991527030812,0.7543471364778424,-1.3922716898724938,-0.805676086677698,-0.457657818801408,-0.7792688890643373,-0.46625538765063607,0.5570067611485626,0.6108387865738842,-0.5866486288091324,0.6691774987911381,0.8359666524032022,-0.4408122453645122,0.07994666925809651
2024-04-30,0.397618848453412,-0.3271792154565902,0.5304577284503299,-0.6626844240087529,-1.1923249369702023,-0.42605993700684636,-0.07113418162965794,-0.9944940478117676,0.6835872234714456,0.646956341207706,-0.3089222329904665,0.6164649222972398,0.5132586735028619,-0.31194106496493035,-0.05772353247338635
2024-05-31,-0.6642267948873547,-0.6188999823487987,0.3130447170408845,-0.5931724426626707,-0.9880245492587495,-1.0106254992304433,-0.743112298255455,-0.776989777572766,0.3758603426679811,0.40304413269737527,-0.7537567304339025,0.3335443927488893,0.35635298990275305,-0.686284799420784,0.06796670413163956
2024-06-30,0.2616956647366421,-0.000713910929407704,0.12594584453859767,-0.8454301121207005,-1.777523181147527,-0.4714247915466323,-0.07850634249036667,-1.0627573894664741,0.41001808104003823,0.4657817578980335,-0.3020845352220273,0.5202021210315834,0.1392159292722363,-0.20930768337467545,-0.11164176763430109
2024-07-31,-1.381094632214788,-1.0952955316255952,-0.753225120012819,-0.5158709329177801,-1.359245687860592,1.0367700826794026,0.5739982113622304,-0.05012796845499553,-0.17995465938085334,0.02089162410716233,-1.1430160445186839,-0.8000935897257702,-0.7303723952652301,0.28977781588113377,-0.033505782008458704
2024-08-31,-0.6076416331961817,-1.0672512543932573,-1.0179334953858692,-0.49355368554679285,-1.260187748572854,0.28256275133970227,1.1641052662441165,0.35868257980211304,-0.5123405061755957,-0.30186757422523064,-1.335683126354901,-1.1146475654655508,-1.0301640410507642,0.2668811026544115,-0.10743883223656985
2024-09-30,-1.2313118789157436,-1.9379120918483055,-1.3702036312396972,-1.6327371796388,-1.0538517779189347,-0.9293025613216568,0.11044633295715214,0.748622845931159,-1.2970431346708873,-1.022090269132989,-1.7851734578716651,-1.5157021392796775,-1.4291642834785327,0.5913883403799662,-0.18516483534063763
2024-10-31,-1.9075988717857773,-2.1014857353155176,-1.5192844028749022,-0.6985513735359974,-0.9357719222517065,2.266829590729676,0.371774248666661,3.0487947792554646,-2.32920495818363,-2.4444667679113676,-2.3002857840218387,-1.596396656703383,-1.7423958914268698,-0.1822840114235863,-0.09103069010300151
2024-11-30,-0.8887671066705679,-2.165169383883988,-1.7677443770478676,-1.364754292792176,-0.9269944264354252,-0.7164639649295972,-0.3233269021865083,2.8145354450135263,-2.4366830000919895,-2.874536667161803,-2.1086897935023843,-1.8333798900004008,-2.1601965621504076,0.8286495273632267,0.01929895669116279
2024-12-31,0.16845632182921977,-1.32102945067252,-1.9102152661825211,0.19746078728548505,-1.7110835443531358,4.1456553369447615,1.767064395293167,0.3340804083277572,-1.9911187681814826,-2.305174066253674,-1.371287490629775,-2.1992278895351847,-2.0527521997274323,-1.724285598867185,0.04195552904237331
2025-01-31,0.44113196338198135,-0.16469558879624077,-1.5752381165360356,-0.839817856863815,-0.9042247553444235,1.350903760421455,0.1329443030299653,-0.08913464284138799,-1.6196499470053873,-1.8432830018426,-0.6849097698871277,-1.5692821137456352,-1.6213068507382253,-0.31179651409217995,-0.03980594232605239
2025-02-28,-0.4074394931826061,0.11581981367856956,-1.5259049197725563,-1.754965006401218,-0.8900689203385321,-0.903705131677098,-0.16838168619310173,0.18820774059182263,-1.5793742374707056,-1.885129054739968,-0.4679846331585843,-1.5253230310665253,-1.6007945216245318,1.0295199142997329,0.09160587535912465
