NTCPH IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2010-02-28,0.5364245278835066,0.4586713193354731,1.9572006854195416,-1.1658877490367057,-0.8479700261405902,-0.5923414268621264,-0.41068364833805376,-1.566456717488767,2.3622983505232598,1.6236473604273651,0.18508380502479058,2.3550912341628307,1.6524427190024353,-1.1299323820574465,0.07717111571337547
2010-03-31,0.39901108177662414,0.31262428928942626,2.26256043561883,-1.253113227268613,-2.0589909443834746,0.10352212111710542,0.5413690505464482,-1.3619189925561506,1.6384845072572332,1.5481635499811517,0.5207738853889513,3.4773418043412945,1.927760205903907,0.5691092080218081,0.23995567086839736
2010-04-30,1.2785311236853463,1.376737551458776,1.8141804378768478,-1.3282624295702266,-2.1328748550629535,0.2809008724785777,0.3439852543706389,-1.5166160945834142,2.435607631283176,1.7166484513432583,1.3269964540868955,2.731735385027515,1.2705763101837335,0.911196118207392,0.00029502876744464437
2010-05-31,-0.1325390518737355,0.9305180762802501,0.8212994025570868,-0.704315651282932,-1.9883644774647917,-1.0119058901852154,-0.5371828069747921,-1.32675597160548,1.9414297460442822,1.412891308630642,0.800314378030639,1.2421161080308252,0.6773313414520704,-1.4045464831674508,0.1689583289817876
2010-06-30,0.7985282225204268,1.1742399109822597,1.2817580682014678,-0.6475583981768269,-1.5960921668119044,-0.7587365946180091,-0.7688158780436006,-1.2852006821481736,2.127763165102676,1.3874850675228876,1.1735232160214384,1.730567934167928,0.7949712803690553,-1.3494866207789862,-0.02701843430121282
2010-07-31,-0.39242223954067507,0.16534916311593859,1.2341595377129442,-0.8968181005475024,-1.8873304067415106,-1.0054087506676135,-1.2877468158018115,-1.0964251170948625,1.5867256144981485,1.1156120001257983,0.4434321543086757,1.9374645363261112,0.7869643273181234,-2.0258607010885483,0.25185462304846684
2010-08-31,1.2084872960429052,1.0029199501805461,1.0047293793424552,-0.36701371827959484,-1.2606313211468605,1.0439761752613275,1.470508412530705,-1.1022401603354963,1.976411896381566,1.203745772000813,1.1401540618474768,1.2149563941537007,0.47273042459722553,1.4876567641127811,0.14753456033036383
2010-09-30,0.5478857777953747,0.848177804647518,0.6691061533109721,-0.44421571397786785,-1.2599819253739548,0.5938155999420374,0.5967307782487872,-1.000732357326798,1.8368190368575754,1.1203111672804278,1.1433101337117615,0.8397453980340647,0.24951518671105552,0.5453867882407216,-0.07631575581525853
2010-10-31,-0.808701328455392,0.6028634239567835,0.9126293389917364,-0.011084117799289932,-0.9538133942961629,-0.6442871276191026,0.29356583623363336,-0.8344077632967916,1.2077297140506784,0.8493838655020662,0.1760856525146049,0.9647999486612202,0.36317746292994324,-1.1982156041239724,0.15977289838226003
2010-11-30,0.5638279434222815,0.17392124081483143,1.3865658739441535,-0.5584226200142549,-0.9862027818428458,0.177462302235619,-0.6197316304823537,-0.8117380428283257,1.3337026523819329,0.879350399604729,0.4540264764127486,1.5137923562108937,0.38804308270247706,0.33744338963193293,-0.02042189670447339
2010-12-31,-0.6484151094938322,-0.7321998618908228,0.8717779145779032,-0.6683668693625787,-0.7997510935757316,-0.9732677410777153,-1.1172482017794951,-0.6586818839553904,0.9692697263015988,0.6753078817898391,-0.22352935723984474,0.8933296758873336,0.18271261952637474,-1.6517111671325526,-0.10385724038278324
2011-01-31,-1.1749606674773374,-0.9609733362145675,0.7446377429595792,-0.3853158393789873,-0.34487368312125105,-1.0424292759563984,-0.668797498454509,-0.47042249922744755,0.49820031619443506,0.38406635660733485,-1.278444338376506,0.5760907627607956,0.1588166384407908,-1.5700817155254732,-0.18253617209684944
2011-02-28,-1.7335805110521953,-2.6667938274167953,-0.11199300822912223,-1.4744789472097517,-0.4756364200440888,-1.15598146989512,-1.6708621249227975,-0.15958902030116026,-0.09214074226592196,-0.06997415974072316,-2.383305521158183,-0.14179428032942487,-0.1886447406985378,-1.0225173237005536,0.16667426779638278
