TELX IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2001-05-31,0.6292944106570434,-0.7845650020386525,-0.7052924603635008,1.4412674949319506,0.34053494691318925,-0.5282297926967717,-1.5710157558752826,0.8123388834103324,-1.1558951607006442,-1.3204158795492187,-0.2561668225319814,-0.4674136626691274,-0.9328258243731528,-0.37052368536156743,-0.26609548236773584
2001-06-30,-1.1070947317617357,-0.0737885280203382,-0.9452162966802112,-0.013869106457775261,0.6139285101032583,-0.5686124563833207,-1.037410555227637,1.0592160685435694,-1.0756112191073384,-1.9015450401087053,-0.8219609850637388,-0.6289136173130307,-2.893160322819036,-0.327074906626589,-0.32447089245488037
2001-07-31,-1.2806700531475628,-1.055863584478128,-0.9113148294380312,0.35249951581130834,0.6368715177187163,-1.2850465805634859,-2.6565863402778223,1.2946119037882107,-0.9907017543142858,-2.224689665671375,-1.2423022716293897,-0.6149623332121977,-3.6724341018014104,-0.13393560240047148,-0.014721611825359738
2001-08-31,0.03955581818272567,-1.3704231157603524,-0.8818229729105858,-0.5356489991934725,0.42808379236207145,-1.0994299631171105,-2.4528121428217284,0.9004755945172035,-0.8853159848364686,-1.750593541964847,-0.8271220898939612,-0.6228246517775494,-3.1372675112920954,-0.150645634596409,-0.17809322068443353
2001-09-30,-0.5749947054088044,-1.0504364141171258,-0.8565085778472414,-0.6216294823150793,-0.6217030744126247,-0.9853615641307947,-2.2704542303508184,0.8956421092486826,-0.7618736657537241,-1.6544962271913288,-0.9670608278705584,-0.7869526912225373,-3.328616980149555,-0.17105784009943237,0.07696104113612819
2001-10-31,0.5747738932905606,0.002464391056776759,-0.7149830048852284,-0.8909826235495177,-0.5258292599601894,-0.8629135011836312,0.3460209877016722,0.4620349130156286,-0.6553946142270702,-1.23576943499409,-0.520318491356051,-0.6434224302246095,-2.048464605359163,-0.17130935048813242,0.37644999301618753
2001-11-30,1.8081658642902672,1.1035713712433388,-0.4902236752810304,0.514956397712588,0.3880551077264704,-0.5964205790279389,1.2876049652137078,-0.32393469077313375,-0.5403777031320002,-0.4860535588953734,1.062469184622363,-0.3254093571485984,-0.5453073882218775,-0.232857637472809,-0.04272749824358372
2001-12-31,0.03630945355793886,1.6415070989848046,-0.46583707991838297,-0.03977049596689898,0.08132319080265167,-0.518571807145571,1.4218734470066674,-0.4226242876502624,-0.5737157534540522,-0.47133650463089566,1.180934197927595,-0.29543486263043295,-0.6202785267363033,-0.1313439081590805,-0.055224520785328864
2002-01-31,0.0506299915448664,1.3540199031019355,-0.6714141254166432,0.25382033021061223,-0.6067878704767813,-0.4204617785375133,0.8691539341810718,-0.5421642631389056,-0.6024480743821479,-0.4760493310377952,1.2053338490029872,-0.6159512927146951,-0.9966387894839961,0.33880237384088163,0.19273555965666644
2002-02-28,1.174660190157428,0.8063888809571574,-0.5240873879606793,-0.7110879998776538,-0.4136659007338361,1.245965930829702,1.4415625442190811,-1.2134115390925158,-0.7900478306347791,0.1920632658861515,1.9467824916449918,-0.4019971908416808,-0.49027865319273684,-1.2714250339054463,0.11723009121321011
2002-03-31,0.7474390020640334,1.2524967867246208,0.9389586192127343,-0.7819035411731242,-0.9080798723935267,0.6635394504421606,0.9718751372316977,-1.6794505594645543,-2.6388056978472205,0.7791859894957781,1.813863202331154,1.072815193838448,1.1491466343947674,-0.05940299541844471,0.4537345745308668
2002-04-30,2.3473449523461962,2.8366573908333574,2.291081204806335,-0.2104625233732305,-0.07984363588626091,3.047773727501771,2.312253983508833,-2.4280040635745745,2.7461271081943095,2.4917060906123876,3.3624308671246763,2.200575136190577,1.971916085646767,4.0886755106865325,-0.1922917291138046
2002-05-31,-0.898733957630625,1.2865738960836441,0.9682313904409422,1.3403058106203989,0.31151846224467267,1.08785314587489,0.19087163993433803,-1.8327876676564516,0.33903547257663097,1.5941288352579477,1.1634531249309656,0.9672182636366619,1.0868332611305997,0.06469741555189924,0.13565838748334666
