ICICIGI IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2022-05-31,-0.1703802517279284,-0.08918231695917418,-1.818884788699596,-0.5691885113300198,-1.202952724492896,-0.8903476514972956,-0.34854470045820923,0.09159885032834858,-0.8651495718198043,-2.4487586200298104,-0.7748015219586376,-1.9617761081264269,-1.830071224556956,0.35622582537772757,-0.12156729322767629
2022-06-30,-1.8760894299144912,-2.1122608290654816,-2.7527453133188304,-0.15841427810637737,-0.45808490091859677,1.2012225619305121,0.5486635227952736,3.0069306445031296,-1.6274362080642728,-4.19308968947781,-2.027069881045585,-2.3976401764059685,-3.446156772302932,-2.4235486985283443,0.08459234811028321
2022-07-31,1.307154544479466,-0.4918614348034981,-1.5370011003488617,1.1414657562433248,0.347432494934353,-0.4547040826163028,0.814986156787055,1.4368941209986663,-0.6731222809434435,-1.926234992983717,-0.3034363880766543,-1.0419865072257493,-1.6424845328875173,0.18907690497912027,0.05455463164278704
2022-08-31,0.8105166945296343,0.3121948771534824,-1.5215941762844776,1.2731396662492576,0.34140941788833956,-0.12387152594406818,0.6720155484219595,0.7916736476133098,-0.08327703743950744,-1.0959612415153723,0.5347117518995265,-1.0852315341260113,-1.54825751313408,-0.1470494933783078,-0.11256207710709965
2022-09-30,-1.5939283083722597,0.39262464114870727,-1.9262778660973632,1.0285099978343475,0.7795207013347922,0.07135699307101444,-0.5982257294175727,2.218051198371141,-0.7984700250131479,-2.407199177763332,-0.831236741294851,-1.2958325797792598,-2.355136632705865,-0.42740201521238996,0.016199570145519416
2022-10-31,0.2850965750167448,-0.4116084578560563,-1.331220741387037,0.44931162632806093,0.8087713351108603,0.9783299303813534,0.42238360547713194,1.6780124563623977,-0.4445596721409221,-1.9247811731152622,-0.3208389546225784,-0.8983468638106744,-1.5279482655465049,-1.3956886522143437,0.034609308621342094
2022-11-30,0.49846874429594856,-0.653434934664399,-0.9625571228086562,0.2076318985054326,0.8499429096867241,-0.3725720518112798,-0.35441987953050336,1.1817014992535835,-0.09430369805493242,-1.285299998155002,0.3145130117696804,-0.6503634586881787,-1.0262914238354361,-0.02269964798880846,0.020957077375916545
2022-12-31,0.4318033432388866,1.0937949553092945,-0.6733917310489609,-1.6866974110911377,-0.06925252245369144,-1.0791140308309177,-0.8518876255138921,0.985428518436537,0.13626313600648587,-0.9092725202778199,0.4911903992456987,-0.5848188131050158,-0.6917977724250961,0.3629145717296796,-0.0905310295417684
2023-01-31,-1.2548666166433158,-0.22696254412877373,-0.939992786723627,0.033834150979020886,0.05134715033469267,0.9897442310845962,0.057376725716172285,1.3415361410374096,-0.18653126250109076,-1.6711948129378154,-0.7919592928251851,-0.8113236621452836,-1.1191849584355715,-1.1371056377419462,-0.02500578399562367
2023-02-28,-0.3052428447284937,-1.018350248514437,-0.6305517148890374,-0.23411685783930833,-0.26655375127040365,-2.347801568703028,-1.9008242509832958,1.2445677322938191,-0.1556095014689107,-1.5625508005176905,-0.7335981918886141,-0.614286524695967,-0.7403474906009134,1.262816231891636,-0.029799335773305107
